Fecha,INF_ALL
2013-09-29,1.0
2013-10-06,1.0
2013-10-13,0.0
2013-10-20,1.0
2013-10-27,0.0
2013-11-03,1.0
2013-11-10,0.0
2013-11-17,3.0
2013-11-24,6.0
2013-12-01,11.0
2013-12-08,28.0
2013-12-15,46.0
2013-12-22,46.0
2013-12-29,83.0
2014-01-05,243.0
2014-01-12,492.0
2014-01-19,494.0
2014-01-26,361.0
2014-02-02,241.0
2014-02-09,163.0
2014-02-16,120.0
2014-02-23,70.0
2014-03-02,37.0
2014-03-09,26.0
2014-03-16,23.0
2014-03-23,12.0
2014-03-30,12.0
2014-04-06,7.0
2014-04-13,4.0
2014-04-20,3.0
2014-04-27,1.0
2014-05-04,1.0
2014-05-11,1.0
2014-05-18,0.0
2014-05-25,0.0
2014-06-01,0.0
2014-06-08,0.0
2014-06-15,0.0
2014-06-22,0.0
2014-06-29,0.0
2014-07-06,0.0
2014-07-13,0.0
2014-07-20,0.0
2014-07-27,0.0
2014-08-03,0.0
2014-08-10,0.0
2014-08-17,0.0
2014-08-24,0.0
2014-08-31,0.0
2014-09-07,0.0
2014-09-14,0.0
2014-09-21,0.0
2014-09-28,1.0
2014-10-05,2.0
2014-10-12,1.0
2014-10-19,4.0
2014-10-26,3.0
2014-11-02,3.0
2014-11-09,3.0
2014-11-16,2.0
2014-11-23,16.0
2014-11-30,22.0
2014-12-07,17.0
2014-12-14,53.0
2014-12-21,35.0
2016-01-03,23.0
2016-01-10,67.0
2016-01-17,144.0
2016-01-24,225.0
2016-01-31,280.0
2016-02-07,296.0
2016-02-14,272.0
2016-02-21,287.0
2016-02-28,220.0
2016-03-06,234.0
2016-03-13,249.0
2016-03-20,105.0
2016-03-27,75.0
2016-04-03,63.0
2016-04-10,56.0
2016-04-17,33.0
2016-04-24,17.0
2016-05-01,11.0
2016-05-08,8.0
2016-05-15,4.0
2016-05-22,0.0
2016-05-29,0.0
2016-06-05,0.0
2016-06-12,0.0
2016-06-19,0.0
2016-10-02,0.0
2016-10-09,4.0
2016-10-16,5.0
2016-10-23,4.0
2016-10-30,5.0
2016-11-06,15.0
2016-11-13,24.0
2016-11-20,41.0
2016-11-27,47.0
2016-12-04,31.0
2016-12-11,107.0
2016-12-18,167.0
2016-12-25,163.0
2017-01-01,175.0
2017-01-08,314.0
2017-01-15,323.0
2017-01-22,294.0
2017-01-29,171.0
2017-02-05,117.0
2017-02-12,64.0
2017-02-19,27.0
2017-02-26,16.0
2017-03-05,8.0
2017-03-12,4.0
2017-03-19,3.0
2017-03-26,1.0
2017-04-02,1.0
2017-04-09,0.0
2017-04-16,2.0
2017-04-23,2.0
2017-04-30,0.0
2017-05-07,1.0
2017-05-14,0.0
2017-05-21,0.0
2017-05-28,0.0
2017-06-04,1.0
2017-06-11,0.0
2017-06-18,0.0
2017-06-25,0.0
2017-07-02,0.0
2017-07-09,0.0
2017-07-16,0.0
2017-07-23,0.0
2017-07-30,0.0
2017-08-06,0.0
2017-08-13,0.0
2017-08-20,0.0
2017-08-27,0.0
2017-09-03,0.0
2017-09-10,0.0
2017-09-17,0.0
2017-09-24,0.0
2017-10-01,0.0
2017-10-08,1.0
2017-10-15,1.0
2017-10-22,1.0
2017-10-29,1.0
2017-11-05,10.0
2017-11-12,5.0
2017-11-19,22.0
2017-11-26,39.0
2017-12-03,30.0
2017-12-10,132.0
2017-12-17,226.0
2017-12-24,189.0
2017-12-31,222.0
2018-01-07,446.0
2018-01-14,469.0
2018-01-21,385.0
2018-01-28,334.0
2018-02-04,238.0
2018-02-11,238.0
2018-02-18,176.0
2018-02-25,106.0
2018-03-04,94.0
2018-03-11,66.0
2018-03-18,41.0
2018-03-25,5.0
2018-04-01,11.0
2018-04-08,7.0
2018-04-15,5.0
2018-04-22,2.0
2018-04-29,3.0
2018-05-06,1.0
2018-05-13,1.0
2018-05-20,0.0
2018-05-27,0.0
2018-06-03,0.0
2018-06-10,0.0
2018-06-17,0.0
2018-06-24,0.0
2018-07-01,1.0
2018-07-08,0.0
2018-07-15,0.0
2018-07-22,0.0
2018-07-29,0.0
2018-08-05,0.0
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.0
2018-09-02,0.0
2018-09-09,0.0
2018-09-16,0.0
2018-09-23,0.0
2018-09-30,0.0
2018-10-07,0.0
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,1.0
2018-11-11,4.0
2018-11-18,6.0
2018-11-25,6.0
2018-12-02,14.0
2018-12-09,19.0
2018-12-16,36.0
2018-12-23,27.0
2018-12-30,49.0
2019-01-06,164.0
2019-01-13,338.0
2019-01-20,398.0
2019-01-27,393.0
2019-02-03,357.0
2019-02-10,307.0
2019-02-17,177.0
2019-02-24,93.0
2019-03-03,71.0
2019-03-10,42.0
2019-03-17,25.0
2019-03-24,16.0
2019-03-31,9.0
2019-04-07,5.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,1.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,0.0
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,0.0
