Semana,malaria_trends
2007-12-01,26
2008-01-01,92
2008-02-01,81
2008-03-01,102
2008-04-01,104
2008-05-01,105
2008-06-01,114
2008-07-01,118
2008-08-01,119
2008-09-01,85
2008-10-01,122
2008-11-01,168
2008-12-01,195
2009-01-01,354
2009-02-01,313
2009-03-01,369
2009-04-01,310
2009-05-01,350
2009-06-01,266
2009-07-01,244
2009-08-01,303
2009-09-01,234
2009-10-01,338
2009-11-01,401
2009-12-01,212
2010-01-01,265
2010-02-01,232
2010-03-01,208
2010-04-01,234
2010-05-01,284
2010-06-01,173
2010-07-01,304
2010-08-01,257
2010-09-01,192
2010-10-01,327
2010-11-01,293
2010-12-01,180
2011-01-01,320
2011-02-01,209
2011-03-01,214
2011-04-01,198
2011-05-01,244
2011-06-01,160
2011-07-01,201
2011-08-01,141
2011-09-01,185
2011-10-01,316
2011-11-01,227
2011-12-01,178
2012-01-01,312
2012-02-01,321
2012-03-01,242
2012-04-01,347
2012-05-01,291
2012-06-01,234
2012-07-01,323
2012-08-01,240
2012-09-01,320
2012-10-01,259
2012-11-01,292
2012-12-01,309
2013-01-01,263
2013-02-01,270
2013-03-01,265
2013-04-01,287
2013-05-01,264
2013-06-01,278
2013-07-01,251
2013-08-01,280
2013-09-01,282
2013-10-01,289
2013-11-01,324
2013-12-01,274
2014-01-01,87
2014-02-01,79
2014-03-01,98
2014-04-01,89
2014-05-01,91
2014-06-01,97
2014-07-01,83
2014-08-01,165
2014-09-01,93
2014-10-01,268
2014-11-01,131
2014-12-01,70
2015-01-01,332
2015-02-01,346
2015-03-01,394
2015-04-01,347
2015-05-01,431
2015-06-01,283
2015-07-01,312
2015-08-01,321
2015-09-01,248
2015-10-01,339
2015-11-01,377
2015-12-01,208
2016-01-01,250
2016-02-01,206
2016-03-01,252
2016-04-01,224
2016-05-01,249
2016-06-01,199
2016-07-01,226
2016-08-01,221
2016-09-01,151
2016-10-01,258
2016-11-01,194
2016-12-01,132
2017-01-01,348
2017-02-01,334
2017-03-01,315
2017-04-01,393
2017-05-01,328
2017-06-01,321
2017-07-01,372
2017-08-01,258
2017-09-01,280
2017-10-01,372
2017-11-01,290
2017-12-01,306
2018-01-01,98
2018-02-01,125
2018-03-01,103
2018-04-01,129
2018-05-01,199
2018-06-01,100
2018-07-01,128
2018-08-01,105
2018-09-01,109
2018-10-01,101
2018-11-01,98
2018-12-01,88
2019-01-01,212
2019-02-01,258
2019-03-01,306
2019-04-01,281
2019-05-01,258
2019-06-01,275
2019-07-01,228
2019-08-01,228
2019-09-01,274
2019-10-01,233
2019-11-01,232
2019-12-01,219
2020-01-01,69
2020-02-01,91
2020-03-01,293
2020-04-01,166
2020-05-01,139
2020-06-01,53
2020-07-01,41
2020-08-01,61
2020-09-01,42
2020-10-01,59
2020-11-01,80
2020-12-01,51
2021-01-01,116
2021-02-01,91
2021-03-01,95
2021-04-01,185
2021-05-01,126
2021-06-01,71
2021-07-01,77
2021-08-01,83
2021-09-01,69
2021-10-01,192
2021-11-01,104
2021-12-01,83
2022-01-01,333
2022-02-01,235
2022-03-01,251
2022-04-01,222
2022-05-01,334
2022-06-01,185
2022-07-01,242
2022-08-01,187
2022-09-01,215
2022-10-01,352
2022-11-01,251
2022-12-01,189
2023-01-01,345
2023-02-01,287
2023-03-01,282
2023-04-01,326
2023-05-01,326
2023-06-01,265
2023-07-01,310
2023-08-01,228
2023-09-01,238
2023-10-01,427
2023-11-01,327
2023-12-01,270
2024-01-01,328
2024-02-01,312
2024-03-01,339
2024-04-01,331
2024-05-01,304
2024-06-01,343
2024-07-01,254
2024-08-01,272
2024-09-01,324
2024-10-01,349
2024-11-01,372
2024-12-01,322
