Semana,mosquito_esp_trends
2007-12-01,16
2008-01-01,101
2008-02-01,104
2008-03-01,165
2008-04-01,118
2008-05-01,142
2008-06-01,278
2008-07-01,328
2008-08-01,398
2008-09-01,217
2008-10-01,142
2008-11-01,109
2008-12-01,85
2009-01-01,88
2009-02-01,102
2009-03-01,157
2009-04-01,178
2009-05-01,248
2009-06-01,247
2009-07-01,262
2009-08-01,368
2009-09-01,165
2009-10-01,276
2009-11-01,157
2009-12-01,98
2010-01-01,154
2010-02-01,140
2010-03-01,158
2010-04-01,179
2010-05-01,253
2010-06-01,245
2010-07-01,352
2010-08-01,454
2010-09-01,263
2010-10-01,218
2010-11-01,137
2010-12-01,122
2011-01-01,130
2011-02-01,117
2011-03-01,111
2011-04-01,157
2011-05-01,259
2011-06-01,298
2011-07-01,395
2011-08-01,341
2011-09-01,253
2011-10-01,218
2011-11-01,125
2011-12-01,105
2012-01-01,119
2012-02-01,106
2012-03-01,114
2012-04-01,142
2012-05-01,202
2012-06-01,282
2012-07-01,336
2012-08-01,335
2012-09-01,242
2012-10-01,146
2012-11-01,120
2012-12-01,123
2013-01-01,85
2013-02-01,88
2013-03-01,132
2013-04-01,156
2013-05-01,165
2013-06-01,324
2013-07-01,333
2013-08-01,346
2013-09-01,279
2013-10-01,180
2013-11-01,125
2013-12-01,125
2014-01-01,74
2014-02-01,77
2014-03-01,113
2014-04-01,148
2014-05-01,169
2014-06-01,302
2014-07-01,320
2014-08-01,369
2014-09-01,212
2014-10-01,208
2014-11-01,139
2014-12-01,79
2015-01-01,30
2015-02-01,34
2015-03-01,54
2015-04-01,56
2015-05-01,106
2015-06-01,126
2015-07-01,134
2015-08-01,292
2015-09-01,133
2015-10-01,76
2015-11-01,65
2015-12-01,38
2016-01-01,253
2016-02-01,146
2016-03-01,112
2016-04-01,126
2016-05-01,239
2016-06-01,333
2016-07-01,418
2016-08-01,305
2016-09-01,196
2016-10-01,189
2016-11-01,80
2016-12-01,68
2017-01-01,93
2017-02-01,86
2017-03-01,116
2017-04-01,187
2017-05-01,234
2017-06-01,327
2017-07-01,448
2017-08-01,337
2017-09-01,234
2017-10-01,216
2017-11-01,101
2017-12-01,98
2018-01-01,55
2018-02-01,59
2018-03-01,64
2018-04-01,122
2018-05-01,164
2018-06-01,252
2018-07-01,403
2018-08-01,300
2018-09-01,301
2018-10-01,153
2018-11-01,78
2018-12-01,78
2019-01-01,74
2019-02-01,84
2019-03-01,123
2019-04-01,119
2019-05-01,190
2019-06-01,451
2019-07-01,348
2019-08-01,340
2019-09-01,344
2019-10-01,193
2019-11-01,90
2019-12-01,98
2020-01-01,28
2020-02-01,35
2020-03-01,42
2020-04-01,50
2020-05-01,126
2020-06-01,115
2020-07-01,117
2020-08-01,296
2020-09-01,95
2020-10-01,45
2020-11-01,37
2020-12-01,23
2021-01-01,102
2021-02-01,95
2021-03-01,123
2021-04-01,130
2021-05-01,270
2021-06-01,317
2021-07-01,309
2021-08-01,438
2021-09-01,240
2021-10-01,225
2021-11-01,95
2021-12-01,90
2022-01-01,109
2022-02-01,100
2022-03-01,107
2022-04-01,151
2022-05-01,342
2022-06-01,346
2022-07-01,443
2022-08-01,320
2022-09-01,249
2022-10-01,273
2022-11-01,119
2022-12-01,99
2023-01-01,88
2023-02-01,74
2023-03-01,102
2023-04-01,178
2023-05-01,147
2023-06-01,364
2023-07-01,408
2023-08-01,310
2023-09-01,256
2023-10-01,263
2023-11-01,102
2023-12-01,104
2024-01-01,63
2024-02-01,80
2024-03-01,119
2024-04-01,130
2024-05-01,160
2024-06-01,269
2024-07-01,300
2024-08-01,348
2024-09-01,285
2024-10-01,139
2024-11-01,88
2024-12-01,79
