Semana,mosquito_it_trends
2007-12-01,47
2008-01-01,168
2008-02-01,190
2008-03-01,275
2008-04-01,229
2008-05-01,250
2008-06-01,394
2008-07-01,271
2008-08-01,283
2008-09-01,193
2008-10-01,177
2008-11-01,143
2008-12-01,144
2009-01-01,150
2009-02-01,135
2009-03-01,178
2009-04-01,211
2009-05-01,289
2009-06-01,216
2009-07-01,307
2009-08-01,327
2009-09-01,187
2009-10-01,130
2009-11-01,118
2009-12-01,58
2010-01-01,127
2010-02-01,102
2010-03-01,103
2010-04-01,120
2010-05-01,231
2010-06-01,202
2010-07-01,232
2010-08-01,247
2010-09-01,119
2010-10-01,126
2010-11-01,90
2010-12-01,65
2011-01-01,130
2011-02-01,119
2011-03-01,151
2011-04-01,155
2011-05-01,214
2011-06-01,230
2011-07-01,340
2011-08-01,321
2011-09-01,169
2011-10-01,147
2011-11-01,95
2011-12-01,100
2012-01-01,195
2012-02-01,110
2012-03-01,162
2012-04-01,201
2012-05-01,210
2012-06-01,298
2012-07-01,422
2012-08-01,391
2012-09-01,246
2012-10-01,171
2012-11-01,120
2012-12-01,127
2013-01-01,87
2013-02-01,94
2013-03-01,138
2013-04-01,202
2013-05-01,163
2013-06-01,292
2013-07-01,340
2013-08-01,328
2013-09-01,211
2013-10-01,154
2013-11-01,121
2013-12-01,120
2014-01-01,114
2014-02-01,93
2014-03-01,149
2014-04-01,152
2014-05-01,198
2014-06-01,293
2014-07-01,282
2014-08-01,386
2014-09-01,219
2014-10-01,164
2014-11-01,161
2014-12-01,107
2015-01-01,89
2015-02-01,114
2015-03-01,179
2015-04-01,157
2015-05-01,260
2015-06-01,267
2015-07-01,351
2015-08-01,425
2015-09-01,185
2015-10-01,133
2015-11-01,124
2015-12-01,97
2016-01-01,153
2016-02-01,132
2016-03-01,142
2016-04-01,163
2016-05-01,257
2016-06-01,304
2016-07-01,444
2016-08-01,306
2016-09-01,256
2016-10-01,216
2016-11-01,135
2016-12-01,123
2017-01-01,120
2017-02-01,124
2017-03-01,118
2017-04-01,182
2017-05-01,210
2017-06-01,267
2017-07-01,422
2017-08-01,306
2017-09-01,187
2017-10-01,185
2017-11-01,103
2017-12-01,96
2018-01-01,98
2018-02-01,79
2018-03-01,80
2018-04-01,167
2018-05-01,215
2018-06-01,275
2018-07-01,454
2018-08-01,356
2018-09-01,315
2018-10-01,138
2018-11-01,89
2018-12-01,105
2019-01-01,77
2019-02-01,105
2019-03-01,124
2019-04-01,123
2019-05-01,134
2019-06-01,311
2019-07-01,311
2019-08-01,358
2019-09-01,264
2019-10-01,152
2019-11-01,92
2019-12-01,108
2020-01-01,121
2020-02-01,134
2020-03-01,141
2020-04-01,183
2020-05-01,329
2020-06-01,292
2020-07-01,334
2020-08-01,407
2020-09-01,240
2020-10-01,139
2020-11-01,156
2020-12-01,107
2021-01-01,155
2021-02-01,117
2021-03-01,132
2021-04-01,164
2021-05-01,314
2021-06-01,308
2021-07-01,326
2021-08-01,365
2021-09-01,205
2021-10-01,184
2021-11-01,120
2021-12-01,104
2022-01-01,106
2022-02-01,114
2022-03-01,132
2022-04-01,149
2022-05-01,298
2022-06-01,357
2022-07-01,477
2022-08-01,353
2022-09-01,266
2022-10-01,260
2022-11-01,141
2022-12-01,130
2023-01-01,109
2023-02-01,89
2023-03-01,116
2023-04-01,165
2023-05-01,204
2023-06-01,319
2023-07-01,422
2023-08-01,307
2023-09-01,226
2023-10-01,224
2023-11-01,94
2023-12-01,104
2024-01-01,95
2024-02-01,105
2024-03-01,163
2024-04-01,153
2024-05-01,214
2024-06-01,376
2024-07-01,358
2024-08-01,351
2024-09-01,286
2024-10-01,185
2024-11-01,114
2024-12-01,118
