"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","AT","Austria",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","BE","Belgium",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","BG","Bulgaria",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","CY","Cyprus",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","CZ","Czechia",0.048339900,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","DE","Germany",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","EE","Estonia",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","EL","Greece",0.081367420,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","ES","Spain",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","EU27_21","EU (without UK)",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","EU27_UK_21","EU (with UK until 2019)",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","EUEEA30_21","EU/EEA (without UK)",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","FI","Finland",0.056598600,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","FR","France",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","HU","Hungary",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","IE","Ireland",0.201894890,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","IT","Italy",0.049151060,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","LT","Lithuania",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","LU","Luxembourg",0.206697400,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","LV","Latvia",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","MT","Malta",0.245199000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","NL","Netherlands",0.121911080,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","NO","Norway",0.021109640,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","PL","Poland",0.007870780,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","PT","Portugal",0.066329710,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","RO","Romania",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","SE","Sweden",0.108897740,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","SI","Slovenia",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","SK","Slovakia",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-01","UK","United Kingdom",0.253363370,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","AT","Austria",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","BE","Belgium",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","BG","Bulgaria",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","CY","Cyprus",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","CZ","Czechia",0.009667980,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","DE","Germany",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","EE","Estonia",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","EL","Greece",0.018081650,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","ES","Spain",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","EU27_21","EU (without UK)",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","EU27_UK_21","EU (with UK until 2019)",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","EUEEA30_21","EU/EEA (without UK)",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","FI","Finland",0.018866200,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","FR","France",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","HU","Hungary",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","IE","Ireland",0.089731060,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","IT","Italy",0.038981880,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","LT","Lithuania",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","LU","Luxembourg",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","LV","Latvia",-,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","MT","Malta",0.000000000,""
"Malaria","Confirmed cases","Notification rate","N/100000","2008-02","NL","Netherlands",0.060955540,""
