STAID,SOUID,DATE,FG,Q_FG
   170,123418,19730601,-9999,    9
   170,123418,19730602,-9999,    9
   170,123418,19730603,-9999,    9
   170,123418,19730604,-9999,    9
   170,123418,19730605,-9999,    9
   170,123418,19730606,-9999,    9
   170,123418,19730607,-9999,    9
   170,123418,19730608,-9999,    9
   170,123418,19730609,-9999,    9
   170,123418,19730610,-9999,    9
   170,123418,19730611,-9999,    9
   170,123418,19730612,-9999,    9
   170,123418,19730613,-9999,    9
   170,123418,19730614,-9999,    9
   170,123418,19730615,-9999,    9
   170,123418,19730616,-9999,    9
   170,123418,19730617,-9999,    9
   170,123418,19730618,-9999,    9
   170,123418,19730619,   24,    0
   170,123418,19730620,-9999,    9
   170,123418,19730621,-9999,    9
   170,123418,19730622,-9999,    9
   170,123418,19730623,-9999,    9
   170,123418,19730624,-9999,    9
   170,123418,19730625,-9999,    9
   170,123418,19730626,-9999,    9
   170,123418,19730627,-9999,    9
   170,123418,19730628,-9999,    9
   170,123418,19730629,-9999,    9
   170,123418,19730630,-9999,    9
   170,123418,19730701,-9999,    9
   170,123418,19730702,-9999,    9
   170,123418,19730703,-9999,    9
   170,123418,19730704,-9999,    9
   170,123418,19730705,-9999,    9
   170,123418,19730706,    2,    0
   170,123418,19730707,-9999,    9
   170,123418,19730708,-9999,    9
   170,123418,19730709,-9999,    9
   170,123418,19730710,-9999,    9
   170,123418,19730711,-9999,    9
   170,123418,19730712,-9999,    9
   170,123418,19730713,-9999,    9
   170,123418,19730714,-9999,    9
   170,123418,19730715,-9999,    9
   170,123418,19730716,-9999,    9
   170,123418,19730717,-9999,    9
   170,123418,19730718,-9999,    9
   170,123418,19730719,-9999,    9
   170,123418,19730720,-9999,    9
   170,123418,19730721,-9999,    9
   170,123418,19730722,-9999,    9
   170,123418,19730723,-9999,    9
   170,123418,19730724,   15,    0
   170,123418,19730725,-9999,    9
   170,123418,19730726,-9999,    9
   170,123418,19730727,-9999,    9
   170,123418,19730728,-9999,    9
   170,123418,19730729,-9999,    9
   170,123418,19730730,-9999,    9
   170,123418,19730731,-9999,    9
   170,123418,19730801,    0,    0
   170,123418,19730802,-9999,    9
   170,123418,19730803,-9999,    9
   170,123418,19730804,-9999,    9
   170,123418,19730805,-9999,    9
   170,123418,19730806,-9999,    9
   170,123418,19730807,-9999,    9
   170,123418,19730808,-9999,    9
   170,123418,19730809,-9999,    9
   170,123418,19730810,-9999,    9
   170,123418,19730811,-9999,    9
   170,123418,19730812,-9999,    9
   170,123418,19730813,-9999,    9
   170,123418,19730814,-9999,    9
   170,123418,19730815,-9999,    9
   170,123418,19730816,-9999,    9
   170,123418,19730817,-9999,    9
   170,123418,19730818,-9999,    9
   170,123418,19730819,-9999,    9
   170,123418,19730820,-9999,    9
   170,123418,19730821,-9999,    9
   170,123418,19730822,-9999,    9
   170,123418,19730823,-9999,    9
   170,123418,19730824,-9999,    9
   170,123418,19730825,-9999,    9
   170,123418,19730826,-9999,    9
   170,123418,19730827,-9999,    9
   170,123418,19730828,-9999,    9
   170,123418,19730829,-9999,    9
   170,123418,19730830,-9999,    9
   170,123418,19730831,-9999,    9
   170,123418,19730901,-9999,    9
   170,123418,19730902,-9999,    9
   170,123418,19730903,-9999,    9
   170,123418,19730904,-9999,    9
   170,123418,19730905,-9999,    9
   170,123418,19730906,-9999,    9
   170,123418,19730907,-9999,    9
   170,123418,19730908,-9999,    9
   170,123418,19730909,-9999,    9
   170,123418,19730910,-9999,    9
   170,123418,19730911,-9999,    9
   170,123418,19730912,-9999,    9
   170,123418,19730913,-9999,    9
   170,123418,19730914,-9999,    9
   170,123418,19730915,-9999,    9
   170,123418,19730916,-9999,    9
   170,123418,19730917,-9999,    9
   170,123418,19730918,-9999,    9
   170,123418,19730919,-9999,    9
   170,123418,19730920,-9999,    9
   170,123418,19730921,-9999,    9
   170,123418,19730922,-9999,    9
   170,123418,19730923,-9999,    9
   170,123418,19730924,-9999,    9
   170,123418,19730925,-9999,    9
   170,123418,19730926,-9999,    9
   170,123418,19730927,-9999,    9
   170,123418,19730928,-9999,    9
   170,123418,19730929,-9999,    9
