STAID,SOUID,DATE,FG,Q_FG
   176,123439,19511001,   20,    0
   176,123439,19511002,    8,    0
   176,123439,19511003,   13,    0
   176,123439,19511004,   16,    0
   176,123439,19511005,   29,    0
   176,123439,19511006,   20,    0
   176,123439,19511007,   18,    0
   176,123439,19511008,   34,    0
   176,123439,19511009,   52,    0
   176,123439,19511010,   40,    0
   176,123439,19511011,   24,    0
   176,123439,19511012,    9,    0
   176,123439,19511013,   18,    0
   176,123439,19511014,   17,    0
   176,123439,19511015,   43,    0
   176,123439,19511016,   57,    0
   176,123439,19511017,   44,    0
   176,123439,19511018,   34,    0
   176,123439,19511019,   20,    0
   176,123439,19511020,   19,    0
   176,123439,19511021,   21,    0
   176,123439,19511022,   46,    0
   176,123439,19511023,   37,    0
   176,123439,19511024,   29,    0
   176,123439,19511025,   37,    0
   176,123439,19511026,   27,    0
   176,123439,19511027,   23,    0
   176,123439,19511028,   20,    0
   176,123439,19511029,   26,    0
   176,123439,19511030,   19,    0
   176,123439,19511031,   76,    0
   176,123439,19511101,   74,    0
   176,123439,19511102,   25,    0
   176,123439,19511103,   19,    0
   176,123439,19511104,   21,    0
   176,123439,19511105,   51,    0
   176,123439,19511106,   46,    0
   176,123439,19511107,   95,    0
   176,123439,19511108,  122,    0
   176,123439,19511109,   54,    0
   176,123439,19511110,   86,    0
   176,123439,19511111,  132,    0
   176,123439,19511112,   75,    0
   176,123439,19511113,   67,    0
   176,123439,19511114,   32,    0
   176,123439,19511115,   28,    0
   176,123439,19511116,   41,    0
   176,123439,19511117,   32,    0
   176,123439,19511118,   60,    0
   176,123439,19511119,   83,    0
   176,123439,19511120,   54,    0
   176,123439,19511121,   48,    0
   176,123439,19511122,   57,    0
   176,123439,19511123,   59,    0
   176,123439,19511124,   23,    0
   176,123439,19511125,   30,    0
   176,123439,19511126,   20,    0
   176,123439,19511127,   47,    0
   176,123439,19511128,   14,    0
   176,123439,19511129,   62,    0
   176,123439,19511130,   36,    0
   176,123439,19511201,   13,    0
   176,123439,19511202,   13,    0
   176,123439,19511203,   59,    0
   176,123439,19511204,   32,    0
   176,123439,19511205,   23,    0
   176,123439,19511206,   21,    0
   176,123439,19511207,   87,    0
   176,123439,19511208,   41,    0
   176,123439,19511209,   18,    0
   176,123439,19511210,   44,    0
   176,123439,19511211,   42,    0
   176,123439,19511212,   32,    0
   176,123439,19511213,   33,    0
   176,123439,19511214,   34,    0
   176,123439,19511215,   17,    0
   176,123439,19511216,   15,    0
   176,123439,19511217,   37,    0
   176,123439,19511218,   23,    0
   176,123439,19511219,   19,    0
   176,123439,19511220,   25,    0
   176,123439,19511221,   27,    0
   176,123439,19511222,   20,    0
   176,123439,19511223,   14,    0
   176,123439,19511224,   39,    0
