EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GENOA, ITALY (STAID: 171)
Blended and updated with sources:123410 916121 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
   171,123410,19511001,   70,    0
   171,123410,19511002,   65,    0
   171,123410,19511003,   55,    0
   171,123410,19511004,   62,    0
   171,123410,19511005,   84,    0
   171,123410,19511006,   76,    0
   171,123410,19511007,   70,    0
   171,123410,19511008,   69,    0
   171,123410,19511009,   48,    0
   171,123410,19511010,   64,    0
   171,123410,19511011,   67,    0
   171,123410,19511012,   76,    0
   171,123410,19511013,   75,    0
   171,123410,19511014,   85,    0
   171,123410,19511015,   83,    0
   171,123410,19511016,   98,    0
   171,123410,19511017,  100,    0
   171,123410,19511018,   92,    0
   171,123410,19511019,   87,    0
   171,123410,19511020,   73,    0
   171,123410,19511021,   29,    0
   171,123410,19511022,   27,    0
   171,123410,19511023,   42,    0
   171,123410,19511024,   74,    0
   171,123410,19511025,   40,    0
   171,123410,19511026,   72,    0
   171,123410,19511027,   57,    0
   171,123410,19511028,   49,    0
   171,123410,19511029,   50,    0
   171,123410,19511030,   66,    0
   171,123410,19511031,   55,    0
   171,123410,19511101,   28,    0
   171,123410,19511102,   27,    0
   171,123410,19511103,   49,    0
   171,123410,19511104,   43,    0
   171,123410,19511105,   68,    0
   171,123410,19511106,   57,    0
   171,123410,19511107,   68,    0
   171,123410,19511108,   60,    0
   171,123410,19511109,   56,    0
   171,123410,19511110,  100,    0
   171,123410,19511111,   62,    0
   171,123410,19511112,   57,    0
   171,123410,19511113,   48,    0
   171,123410,19511114,   30,    0
   171,123410,19511115,   35,    0
   171,123410,19511116,   18,    0
   171,123410,19511117,   36,    0
   171,123410,19511118,   62,    0
   171,123410,19511119,   98,    0
   171,123410,19511120,   78,    0
   171,123410,19511121,   68,    0
   171,123410,19511122,   58,    0
   171,123410,19511123,   59,    0
   171,123410,19511124,   17,    0
   171,123410,19511125,   39,    0
   171,123410,19511126,   46,    0
   171,123410,19511127,   75,    0
   171,123410,19511128,   58,    0
   171,123410,19511129,   75,    0
   171,123410,19511130,   32,    0
   171,123410,19511201,   39,    0
   171,123410,19511202,   42,    0
   171,123410,19511203,   80,    0
   171,123410,19511204,   70,    0
   171,123410,19511205,   32,    0
   171,123410,19511206,   76,    0
   171,123410,19511207,   65,    0
   171,123410,19511208,-9999,    9
   171,123410,19511209,-9999,    9
   171,123410,19511210,-9999,    9
   171,123410,19511211,-9999,    9
   171,123410,19511212,-9999,    9
   171,123410,19511213,   22,    0
   171,123410,19511214,   39,    0
   171,123410,19511215,   25,    0
   171,123410,19511216,   16,    0
   171,123410,19511217,   26,    0
   171,123410,19511218,   55,    0
   171,123410,19511219,   22,    0
   171,123410,19511220,   44,    0
   171,123410,19511221,   19,    0
   171,123410,19511222,   15,    0
   171,123410,19511223,    8,    0
   171,123410,19511224,   63,    0
   171,123410,19511225,   57,    0
   171,123410,19511226,   93,    0
   171,123410,19511227,   48,    0
   171,123410,19511228,   59,    0
   171,123410,19511229,   43,    0
   171,123410,19511230,   62,    0
   171,123410,19511231,   54,    0
   171,123410,19520101,   35,    0
   171,123410,19520102,   37,    0
   171,123410,19520103,   65,    0
   171,123410,19520104,   56,    0
   171,123410,19520105,   35,    0
   171,123410,19520106,   60,    0
   171,123410,19520107,   65,    0
   171,123410,19520108,   23,    0
   171,123410,19520109,   67,    0
   171,123410,19520110,   51,    0
   171,123410,19520111,   34,    0
   171,123410,19520112,   21,    0
   171,123410,19520113,   83,    0
   171,123410,19520114,   52,    0
   171,123410,19520115,   19,    0
   171,123410,19520116,   52,    0
   171,123410,19520117,   57,    0
   171,123410,19520118,   54,    0
   171,123410,19520119,   50,    0
   171,123410,19520120,   61,    0
   171,123410,19520121,   65,    0
   171,123410,19520122,   77,    0
   171,123410,19520123,   97,    0
   171,123410,19520124,   98,    0
   171,123410,19520125,   83,    0
   171,123410,19520126,   23,    0
   171,123410,19520127,   56,    0
   171,123410,19520128,   79,    0
   171,123410,19520129,   64,    0
   171,123410,19520130,   67,    0
   171,123410,19520131,   50,    0
   171,123410,19520201,   72,    0
   171,123410,19520202,   65,    0
   171,123410,19520203,   35,    0
   171,123410,19520204,   42,    0
   171,123410,19520205,   75,    0
   171,123410,19520206,   62,    0
   171,123410,19520207,   70,    0
   171,123410,19520208,   46,    0
   171,123410,19520209,   60,    0
   171,123410,19520210,   39,    0
   171,123410,19520211,   67,    0
   171,123410,19520212,   62,    0
   171,123410,19520213,   70,    0
   171,123410,19520214,   53,    0
   171,123410,19520215,   50,    0
   171,123410,19520216,   96,    0
   171,123410,19520217,   79,    0
   171,123410,19520218,   64,    0
   171,123410,19520219,   67,    0
   171,123410,19520220,   14,    0
   171,123410,19520221,   13,    0
   171,123410,19520222,   23,    0
   171,123410,19520223,   26,    0
   171,123410,19520224,   10,    0
   171,123410,19520225,   32,    0
   171,123410,19520226,   52,    0
   171,123410,19520227,   30,    0
   171,123410,19520228,   10,    0
   171,123410,19520229,   28,    0
   171,123410,19520301,   17,    0
   171,123410,19520302,   41,    0
   171,123410,19520303,   31,    0
   171,123410,19520304,   20,    0
   171,123410,19520305,   22,    0
   171,123410,19520306,   22,    0
   171,123410,19520307,   59,    0
   171,123410,19520308,  101,    0
   171,123410,19520309,   90,    0
   171,123410,19520310,   55,    0
   171,123410,19520311,   63,    0
   171,123410,19520312,   35,    0
   171,123410,19520313,   65,    0
   171,123410,19520314,   35,    0
   171,123410,19520315,   41,    0
   171,123410,19520316,   26,    0
   171,123410,19520317,   21,    0
   171,123410,19520318,   15,    0
   171,123410,19520319,    5,    0
   171,123410,19520320,   20,    0
   171,123410,19520321,   34,    0
   171,123410,19520322,   38,    0
   171,123410,19520323,   14,    0
   171,123410,19520324,   22,    0
   171,123410,19520325,   21,    0
   171,123410,19520326,   31,    0
   171,123410,19520327,   54,    0
   171,123410,19520328,   66,    0
   171,123410,19520329,  106,    0
   171,123410,19520330,   45,    0
   171,123410,19520331,   56,    0
   171,123410,19520401,   75,    0
   171,123410,19520402,   62,    0
   171,123410,19520403,   70,    0
   171,123410,19520404,   67,    0
   171,123410,19520405,   44,    0
   171,123410,19520406,   34,    0
   171,123410,19520407,   18,    0
   171,123410,19520408,   19,    0
   171,123410,19520409,    9,    0
   171,123410,19520410,   15,    0
   171,123410,19520411,   14,    0
   171,123410,19520412,   33,    0
   171,123410,19520413,   41,    0
   171,123410,19520414,   68,    0
   171,123410,19520415,   69,    0
   171,123410,19520416,   52,    0
   171,123410,19520417,   22,    0
   171,123410,19520418,   13,    0
   171,123410,19520419,   15,    0
   171,123410,19520420,   42,    0
   171,123410,19520421,   54,    0
   171,123410,19520422,   43,    0
   171,123410,19520423,   17,    0
   171,123410,19520424,   37,    0
   171,123410,19520425,   66,    0
   171,123410,19520426,   55,    0
   171,123410,19520427,   20,    0
   171,123410,19520428,   16,    0
   171,123410,19520429,   19,    0
   171,123410,19520430,   13,    0
   171,123410,19520501,   16,    0
   171,123410,19520502,   30,    0
   171,123410,19520503,   56,    0
   171,123410,19520504,   69,    0
   171,123410,19520505,   57,    0
   171,123410,19520506,   33,    0
   171,123410,19520507,   24,    0
   171,123410,19520508,   42,    0
   171,123410,19520509,   57,    0
   171,123410,19520510,   10,    0
   171,123410,19520511,   24,    0
   171,123410,19520512,   36,    0
   171,123410,19520513,   45,    0
   171,123410,19520514,   15,    0
   171,123410,19520515,   19,    0
   171,123410,19520516,   23,    0
   171,123410,19520517,   19,    0
   171,123410,19520518,   48,    0
   171,123410,19520519,   34,    0
   171,123410,19520520,   40,    0
   171,123410,19520521,   59,    0
   171,123410,19520522,   41,    0
   171,123410,19520523,   27,    0
   171,123410,19520524,   21,    0
   171,123410,19520525,   15,    0
   171,123410,19520526,   20,    0
   171,123410,19520527,   26,    0
   171,123410,19520528,   34,    0
   171,123410,19520529,   40,    0
   171,123410,19520530,   15,    0
   171,123410,19520531,   13,    0
   171,123410,19520601,   28,    0
   171,123410,19520602,   13,    0
   171,123410,19520603,   16,    0
   171,123410,19520604,   24,    0
   171,123410,19520605,   31,    0
   171,123410,19520606,   23,    0
   171,123410,19520607,   52,    0
   171,123410,19520608,   21,    0
   171,123410,19520609,   24,    0
   171,123410,19520610,   29,    0
   171,123410,19520611,   28,    0
   171,123410,19520612,   15,    0
   171,123410,19520613,   22,    0
   171,123410,19520614,   44,    0
   171,123410,19520615,   58,    0
   171,123410,19520616,   50,    0
   171,123410,19520617,    8,    0
   171,123410,19520618,   29,    0
   171,123410,19520619,   52,    0
   171,123410,19520620,   47,    0
   171,123410,19520621,   23,    0
   171,123410,19520622,   13,    0
   171,123410,19520623,   32,    0
   171,123410,19520624,   19,    0
   171,123410,19520625,   21,    0
   171,123410,19520626,   14,    0
   171,123410,19520627,   38,    0
   171,123410,19520628,   35,    0
   171,123410,19520629,   25,    0
   171,123410,19520630,   10,    0
   171,123410,19520701,   14,    0
   171,123410,19520702,   18,    0
   171,123410,19520703,   30,    0
   171,123410,19520704,   47,    0
   171,123410,19520705,   28,    0
   171,123410,19520706,   26,    0
   171,123410,19520707,   19,    0
   171,123410,19520708,   23,    0
   171,123410,19520709,   38,    0
   171,123410,19520710,   44,    0
   171,123410,19520711,   24,    0
   171,123410,19520712,   26,    0
   171,123410,19520713,   21,    0
   171,123410,19520714,   42,    0
   171,123410,19520715,   43,    0
   171,123410,19520716,   35,    0
   171,123410,19520717,   23,    0
   171,123410,19520718,   23,    0
   171,123410,19520719,   19,    0
   171,123410,19520720,   17,    0
   171,123410,19520721,   40,    0
   171,123410,19520722,   58,    0
   171,123410,19520723,   45,    0
   171,123410,19520724,   25,    0
   171,123410,19520725,   54,    0
   171,123410,19520726,   46,    0
   171,123410,19520727,   26,    0
   171,123410,19520728,   40,    0
   171,123410,19520729,   41,    0
   171,123410,19520730,   19,    0
   171,123410,19520731,   26,    0
   171,123410,19520801,   21,    0
   171,123410,19520802,   25,    0
   171,123410,19520803,   28,    0
   171,123410,19520804,   16,    0
   171,123410,19520805,   17,    0
   171,123410,19520806,   18,    0
   171,123410,19520807,   37,    0
   171,123410,19520808,   22,    0
   171,123410,19520809,   44,    0
   171,123410,19520810,   52,    0
   171,123410,19520811,   15,    0
   171,123410,19520812,   18,    0
   171,123410,19520813,   15,    0
   171,123410,19520814,   18,    0
   171,123410,19520815,   21,    0
   171,123410,19520816,   54,    0
   171,123410,19520817,   46,    0
   171,123410,19520818,   40,    0
   171,123410,19520819,   48,    0
   171,123410,19520820,   50,    0
   171,123410,19520821,   55,    0
   171,123410,19520822,   31,    0
   171,123410,19520823,   51,    0
   171,123410,19520824,   57,    0
   171,123410,19520825,   33,    0
   171,123410,19520826,   20,    0
   171,123410,19520827,   20,    0
   171,123410,19520828,   13,    0
   171,123410,19520829,   10,    0
   171,123410,19520830,   21,    0
   171,123410,19520831,   46,    0
   171,123410,19520901,   11,    0
   171,123410,19520902,   10,    0
   171,123410,19520903,   19,    0
   171,123410,19520904,   29,    0
   171,123410,19520905,   48,    0
   171,123410,19520906,   74,    0
   171,123410,19520907,   63,    0
   171,123410,19520908,   34,    0
   171,123410,19520909,   38,    0
   171,123410,19520910,   44,    0
   171,123410,19520911,   30,    0
   171,123410,19520912,   49,    0
   171,123410,19520913,   35,    0
   171,123410,19520914,   57,    0
   171,123410,19520915,   49,    0
   171,123410,19520916,   60,    0
   171,123410,19520917,   80,    0
   171,123410,19520918,   49,    0
   171,123410,19520919,   31,    0
   171,123410,19520920,   67,    0
   171,123410,19520921,   42,    0
   171,123410,19520922,   22,    0
   171,123410,19520923,   28,    0
   171,123410,19520924,   15,    0
   171,123410,19520925,   35,    0
   171,123410,19520926,   59,    0
   171,123410,19520927,   44,    0
   171,123410,19520928,   41,    0
   171,123410,19520929,   34,    0
   171,123410,19520930,   52,    0
   171,123410,19521001,   46,    0
   171,123410,19521002,   30,    0
   171,123410,19521003,   33,    0
   171,123410,19521004,   35,    0
   171,123410,19521005,   42,    0
   171,123410,19521006,   28,    0
   171,123410,19521007,   20,    0
   171,123410,19521008,   40,    0
   171,123410,19521009,   27,    0
   171,123410,19521010,   25,    0
   171,123410,19521011,   57,    0
   171,123410,19521012,   34,    0
   171,123410,19521013,   51,    0
   171,123410,19521014,   42,    0
   171,123410,19521015,   24,    0
   171,123410,19521016,   21,    0
   171,123410,19521017,   25,    0
   171,123410,19521018,   45,    0
   171,123410,19521019,   44,    0
   171,123410,19521020,   69,    0
   171,123410,19521021,   47,    0
   171,123410,19521022,   32,    0
   171,123410,19521023,   48,    0
   171,123410,19521024,   20,    0
   171,123410,19521025,   65,    0
   171,123410,19521026,   37,    0
   171,123410,19521027,   13,    0
   171,123410,19521028,   33,    0
   171,123410,19521029,   30,    0
   171,123410,19521030,   40,    0
   171,123410,19521031,   30,    0
   171,123410,19521101,   50,    0
   171,123410,19521102,   17,    0
   171,123410,19521103,   26,    0
   171,123410,19521104,   55,    0
   171,123410,19521105,   35,    0
   171,123410,19521106,   42,    0
   171,123410,19521107,   45,    0
   171,123410,19521108,   50,    0
   171,123410,19521109,   49,    0
   171,123410,19521110,   33,    0
   171,123410,19521111,   16,    0
   171,123410,19521112,   47,    0
   171,123410,19521113,   48,    0
   171,123410,19521114,   46,    0
   171,123410,19521115,-9999,    9
   171,123410,19521116,   70,    0
   171,123410,19521117,   79,    0
   171,123410,19521118,   82,    0
   171,123410,19521119,   67,    0
   171,123410,19521120,   47,    0
   171,123410,19521121,   34,    0
   171,123410,19521122,   50,    0
   171,123410,19521123,   31,    0
   171,123410,19521124,   45,    0
   171,123410,19521125,   64,    0
   171,123410,19521126,   41,    0
   171,123410,19521127,   33,    0
   171,123410,19521128,   26,    0
   171,123410,19521129,   25,    0
   171,123410,19521130,   33,    0
   171,123410,19521201,   21,    0
   171,123410,19521202,   19,    0
   171,123410,19521203,   35,    0
   171,123410,19521204,  106,    0
   171,123410,19521205,   88,    0
   171,123410,19521206,   80,    0
   171,123410,19521207,   82,    0
   171,123410,19521208,   91,    0
   171,123410,19521209,   92,    0
   171,123410,19521210,   80,    0
   171,123410,19521211,   74,    0
   171,123410,19521212,   46,    0
   171,123410,19521213,   40,    0
   171,123410,19521214,   52,    0
   171,123410,19521215,   21,    0
   171,123410,19521216,   25,    0
   171,123410,19521217,   59,    0
   171,123410,19521218,   57,    0
   171,123410,19521219,   59,    0
   171,123410,19521220,   31,    0
   171,123410,19521221,   11,    0
   171,123410,19521222,   72,    0
   171,123410,19521223,   23,    0
   171,123410,19521224,   39,    0
   171,123410,19521225,   23,    0
   171,123410,19521226,   37,    0
   171,123410,19521227,   63,    0
   171,123410,19521228,   52,    0
   171,123410,19521229,   89,    0
   171,123410,19521230,   95,    0
   171,123410,19521231,   89,    0
   171,123410,19530101,   62,    0
   171,123410,19530102,   34,    0
   171,123410,19530103,   45,    0
   171,123410,19530104,   39,    0
   171,123410,19530105,   85,    0
   171,123410,19530106,   78,    0
   171,123410,19530107,   77,    0
   171,123410,19530108,   81,    0
   171,123410,19530109,   62,    0
   171,123410,19530110,   29,    0
   171,123410,19530111,   49,    0
   171,123410,19530112,   28,    0
   171,123410,19530113,   56,    0
   171,123410,19530114,   55,    0
   171,123410,19530115,   61,    0
   171,123410,19530116,   22,    0
   171,123410,19530117,   60,    0
   171,123410,19530118,   66,    0
   171,123410,19530119,   54,    0
   171,123410,19530120,   28,    0
   171,123410,19530121,   87,    0
   171,123410,19530122,   28,    0
   171,123410,19530123,   27,    0
   171,123410,19530124,   65,    0
   171,123410,19530125,   45,    0
   171,123410,19530126,   79,    0
   171,123410,19530127,   77,    0
   171,123410,19530128,   26,    0
   171,123410,19530129,   21,    0
   171,123410,19530130,    6,    0
   171,123410,19530131,   34,    0
   171,123410,19530201,   41,    0
   171,123410,19530202,   24,    0
   171,123410,19530203,   58,    0
   171,123410,19530204,   41,    0
   171,123410,19530205,   58,    0
   171,123410,19530206,   32,    0
   171,123410,19530207,   42,    0
   171,123410,19530208,   56,    0
