EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRINDISI, ITALY (STAID: 174)
Blended and updated with sources:5253 146008 916320 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   HU, Q_HU
   174,  5253,19990101,   83,    0
   174,  5253,19990102,   83,    0
   174,  5253,19990103,   81,    0
   174,  5253,19990104,   81,    0
   174,  5253,19990105,   80,    0
   174,  5253,19990106,   82,    0
   174,  5253,19990107,   79,    0
   174,  5253,19990108,   78,    0
   174,  5253,19990109,   80,    0
   174,  5253,19990110,   81,    0
   174,  5253,19990111,   82,    0
   174,  5253,19990112,   78,    0
   174,  5253,19990113,   80,    0
   174,  5253,19990114,   81,    0
   174,  5253,19990115,   78,    0
   174,  5253,19990116,   82,    0
   174,  5253,19990117,   81,    0
   174,  5253,19990118,   81,    0
   174,  5253,19990119,   81,    0
   174,  5253,19990120,   93,    0
   174,  5253,19990121,   93,    0
   174,  5253,19990122,   88,    0
   174,  5253,19990123,   78,    0
   174,  5253,19990124,   77,    0
   174,  5253,19990125,   78,    0
   174,  5253,19990126,   74,    0
   174,  5253,19990127,   78,    0
   174,  5253,19990128,   75,    0
   174,  5253,19990129,   75,    0
   174,  5253,19990130,   68,    0
   174,  5253,19990131,   75,    0
   174,  5253,19990201,   75,    0
   174,  5253,19990202,   77,    0
   174,  5253,19990203,   75,    0
   174,  5253,19990204,   78,    0
   174,  5253,19990205,   76,    0
   174,  5253,19990206,   76,    0
   174,  5253,19990207,   63,    0
   174,  5253,19990208,   70,    0
   174,  5253,19990209,   70,    0
   174,  5253,19990210,   74,    0
   174,  5253,19990211,   77,    0
   174,  5253,19990212,   89,    0
   174,  5253,19990213,   85,    0
   174,  5253,19990214,   86,    0
   174,  5253,19990215,   86,    0
   174,  5253,19990216,   84,    0
   174,  5253,19990217,   80,    0
   174,  5253,19990218,   61,    0
   174,  5253,19990219,   51,    0
   174,  5253,19990220,   70,    0
   174,  5253,19990221,   86,    0
   174,  5253,19990222,   80,    0
   174,  5253,19990223,   77,    0
   174,  5253,19990224,   69,    0
   174,  5253,19990225,   84,    0
   174,  5253,19990226,   77,    0
   174,  5253,19990227,   86,    0
   174,  5253,19990228,   83,    0
   174,  5253,19990301,   89,    0
   174,  5253,19990302,   86,    0
   174,  5253,19990303,   81,    0
   174,  5253,19990304,   87,    0
   174,  5253,19990305,   77,    0
   174,  5253,19990306,   69,    0
   174,  5253,19990307,   72,    0
   174,  5253,19990308,   83,    0
   174,  5253,19990309,   81,    0
   174,  5253,19990310,   87,    0
   174,  5253,19990311,   89,    0
   174,  5253,19990312,   88,    0
   174,  5253,19990313,   89,    0
   174,  5253,19990314,   88,    0
   174,  5253,19990315,   88,    0
   174,  5253,19990316,   88,    0
   174,  5253,19990317,   72,    0
   174,  5253,19990318,   87,    0
   174,  5253,19990319,   75,    0
   174,  5253,19990320,   64,    0
   174,  5253,19990321,   64,    0
   174,  5253,19990322,   68,    0
   174,  5253,19990323,   89,    0
   174,  5253,19990324,   88,    0
   174,  5253,19990325,   85,    0
   174,  5253,19990326,   84,    0
   174,  5253,19990327,   90,    0
   174,  5253,19990328,   75,    0
