EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CAGLIARI, ITALY (STAID: 175)
Blended and updated with sources:5258 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   HU, Q_HU
   175,  5258,19990101,   88,    0
   175,  5258,19990102,   88,    0
   175,  5258,19990103,   75,    0
   175,  5258,19990104,   76,    0
   175,  5258,19990105,   90,    0
   175,  5258,19990106,   91,    0
   175,  5258,19990107,   85,    0
   175,  5258,19990108,   79,    0
   175,  5258,19990109,   77,    0
   175,  5258,19990110,   91,    0
   175,  5258,19990111,   68,    0
   175,  5258,19990112,   85,    0
   175,  5258,19990113,   76,    0
   175,  5258,19990114,   75,    0
   175,  5258,19990115,   79,    0
   175,  5258,19990116,   86,    0
   175,  5258,19990117,   82,    0
   175,  5258,19990118,   73,    0
   175,  5258,19990119,   74,    0
   175,  5258,19990120,   78,    0
   175,  5258,19990121,   86,    0
   175,  5258,19990122,   84,    0
   175,  5258,19990123,   83,    0
   175,  5258,19990124,   91,    0
   175,  5258,19990125,   86,    0
   175,  5258,19990126,   79,    0
   175,  5258,19990127,   68,    0
   175,  5258,19990128,   67,    0
   175,  5258,19990129,   60,    0
   175,  5258,19990130,   63,    0
   175,  5258,19990131,   65,    0
   175,  5258,19990201,   65,    0
   175,  5258,19990202,   67,    0
   175,  5258,19990203,   77,    0
   175,  5258,19990204,   79,    0
   175,  5258,19990205,   81,    0
   175,  5258,19990206,   65,    0
   175,  5258,19990207,   58,    0
   175,  5258,19990208,   58,    0
   175,  5258,19990209,   69,    0
   175,  5258,19990210,   75,    0
   175,  5258,19990211,   86,    0
   175,  5258,19990212,   80,    0
   175,  5258,19990213,   74,    0
   175,  5258,19990214,   68,    0
   175,  5258,19990215,   80,    0
   175,  5258,19990216,   74,    0
   175,  5258,19990217,   71,    0
   175,  5258,19990218,   60,    0
   175,  5258,19990219,   74,    0
   175,  5258,19990220,   78,    0
   175,  5258,19990221,   71,    0
   175,  5258,19990222,   65,    0
   175,  5258,19990223,   49,    0
   175,  5258,19990224,   64,    0
   175,  5258,19990225,   83,    0
   175,  5258,19990226,   84,    0
   175,  5258,19990227,   80,    0
   175,  5258,19990228,   81,    0
   175,  5258,19990301,   69,    0
   175,  5258,19990302,   72,    0
   175,  5258,19990303,   79,    0
   175,  5258,19990304,   85,    0
   175,  5258,19990305,   72,    0
   175,  5258,19990306,   73,    0
   175,  5258,19990307,   72,    0
   175,  5258,19990308,   77,    0
   175,  5258,19990309,   84,    0
   175,  5258,19990310,   87,    0
   175,  5258,19990311,   82,    0
   175,  5258,19990312,   80,    0
   175,  5258,19990313,   81,    0
   175,  5258,19990314,   61,    0
   175,  5258,19990315,   47,    0
   175,  5258,19990316,   47,    0
   175,  5258,19990317,   70,    0
   175,  5258,19990318,   54,    0
   175,  5258,19990319,   60,    0
   175,  5258,19990320,   60,    0
   175,  5258,19990321,   65,    0
   175,  5258,19990322,   78,    0
   175,  5258,19990323,   64,    0
   175,  5258,19990324,   72,    0
   175,  5258,19990325,   81,    0
   175,  5258,19990326,   87,    0
   175,  5258,19990327,   67,    0
   175,  5258,19990328,   77,    0
   175,  5258,19990329,   83,    0
   175,  5258,19990330,   73,    0
   175,  5258,19990331,   72,    0
   175,  5258,19990401,   69,    0
   175,  5258,19990402,   66,    0
   175,  5258,19990403,   74,    0
   175,  5258,19990404,   76,    0
   175,  5258,19990405,   64,    0
   175,  5258,19990406,   79,    0
   175,  5258,19990407,   77,    0
   175,  5258,19990408,   66,    0
   175,  5258,19990409,   76,    0
   175,  5258,19990410,   72,    0
   175,  5258,19990411,   70,    0
   175,  5258,19990412,   65,    0
   175,  5258,19990413,   70,    0
   175,  5258,19990414,   65,    0
   175,  5258,19990415,   84,    0
   175,  5258,19990416,   78,    0
   175,  5258,19990417,   71,    0
   175,  5258,19990418,   61,    0
   175,  5258,19990419,   61,    0
   175,  5258,19990420,   77,    0
   175,  5258,19990421,   67,    0
   175,  5258,19990422,   75,    0
   175,  5258,19990423,   64,    0
   175,  5258,19990424,   62,    0
   175,  5258,19990425,   55,    0
   175,  5258,19990426,   74,    0
   175,  5258,19990427,   83,    0
   175,  5258,19990428,   68,    0
   175,  5258,19990429,   67,    0
   175,  5258,19990430,   87,    0
   175,  5258,19990501,   70,    0
   175,  5258,19990502,   79,    0
   175,  5258,19990503,   85,    0
   175,  5258,19990504,   85,    0
   175,  5258,19990505,   74,    0
   175,  5258,19990506,   78,    0
