EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VERONA VILLAFRANCA, ITALY (STAID: 177)
Blended and updated with sources:5268 176714 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   HU, Q_HU
   177,  5268,19990101,   89,    0
   177,  5268,19990102,   98,    0
   177,  5268,19990103,   96,    0
   177,  5268,19990104,   95,    0
   177,  5268,19990105,   91,    0
   177,  5268,19990106,   93,    0
   177,  5268,19990107,   97,    0
   177,  5268,19990108,   98,    0
   177,  5268,19990109,   97,    0
   177,  5268,19990110,   91,    0
   177,  5268,19990111,   98,    0
   177,  5268,19990112,   95,    0
   177,  5268,19990113,   96,    0
   177,  5268,19990114,   86,    0
   177,  5268,19990115,   83,    0
   177,  5268,19990116,   93,    0
   177,  5268,19990117,   90,    0
   177,  5268,19990118,   94,    0
   177,  5268,19990119,   98,    0
   177,  5268,19990120,   98,    0
   177,  5268,19990121,   96,    0
   177,  5268,19990122,   88,    0
   177,  5268,19990123,   87,    0
   177,  5268,19990124,   87,    0
   177,  5268,19990125,   87,    0
   177,  5268,19990126,   94,    0
   177,  5268,19990127,   94,    0
   177,  5268,19990128,   78,    0
   177,  5268,19990129,   54,    0
   177,  5268,19990130,   16,    0
   177,  5268,19990131,   51,    0
   177,  5268,19990201,   71,    0
   177,  5268,19990202,   64,    0
   177,  5268,19990203,   68,    0
   177,  5268,19990204,   72,    0
   177,  5268,19990205,   87,    0
   177,  5268,19990206,   61,    0
   177,  5268,19990207,   84,    0
   177,  5268,19990208,   59,    0
   177,  5268,19990209,   96,    0
   177,  5268,19990210,   98,    0
   177,  5268,19990211,   72,    0
   177,  5268,19990212,   60,    0
   177,  5268,19990213,   77,    0
   177,  5268,19990214,   98,    0
   177,  5268,19990215,   87,    0
   177,  5268,19990216,   80,    0
   177,  5268,19990217,   71,    0
   177,  5268,19990218,   73,    0
   177,  5268,19990219,   68,    0
   177,  5268,19990220,   82,    0
   177,  5268,19990221,   83,    0
   177,  5268,19990222,   71,    0
   177,  5268,19990223,   21,    0
   177,  5268,19990224,   44,    0
   177,  5268,19990225,   44,    0
   177,  5268,19990226,   50,    0
   177,  5268,19990227,   54,    0
   177,  5268,19990228,   68,    0
   177,  5268,19990301,   72,    0
   177,  5268,19990302,   84,    0
   177,  5268,19990303,   89,    0
   177,  5268,19990304,   79,    0
   177,  5268,19990305,   87,    0
   177,  5268,19990306,   94,    0
   177,  5268,19990307,   96,    0
   177,  5268,19990308,   73,    0
   177,  5268,19990309,   94,    0
   177,  5268,19990310,   96,    0
   177,  5268,19990311,   91,    0
   177,  5268,19990312,   87,    0
   177,  5268,19990313,   86,    0
   177,  5268,19990314,   87,    0
