STAID,SOUID,DATE,RR,Q_RR
   170,   551,18790101,    0,    0
   170,   551,18790102,    0,    0
   170,   551,18790103,    0,    0
   170,   551,18790104,    0,    0
   170,   551,18790105,    0,    0
   170,   551,18790106,    0,    0
   170,   551,18790107,    0,    0
   170,   551,18790108,   13,    0
   170,   551,18790109,   13,    0
   170,   551,18790110,    1,    0
   170,   551,18790111,    0,    0
   170,   551,18790112,    0,    0
   170,   551,18790113,    0,    0
   170,   551,18790114,    0,    0
   170,   551,18790115,    0,    0
   170,   551,18790116,    0,    0
   170,   551,18790117,    0,    0
   170,   551,18790118,    0,    0
   170,   551,18790119,    0,    0
   170,   551,18790120,    0,    0
   170,   551,18790121,    0,    0
   170,   551,18790122,    1,    0
   170,   551,18790123,    0,    0
   170,   551,18790124,    1,    0
   170,   551,18790125,    1,    0
   170,   551,18790126,    3,    0
   170,   551,18790127,    4,    0
   170,   551,18790128,  138,    0
   170,   551,18790129,   73,    0
   170,   551,18790130,  130,    0
   170,   551,18790131,    9,    0
   170,   551,18790201,    0,    0
   170,   551,18790202,   68,    0
   170,   551,18790203,   29,    0
   170,   551,18790204,   17,    0
   170,   551,18790205,   49,    0
   170,   551,18790206,    4,    0
   170,   551,18790207,    2,    0
   170,   551,18790208,    0,    0
   170,   551,18790209,    0,    0
   170,   551,18790210,    0,    0
   170,   551,18790211,    0,    0
   170,   551,18790212,    1,    0
   170,   551,18790213,    0,    0
   170,   551,18790214,    0,    0
   170,   551,18790215,  680,    0
   170,   551,18790216,  192,    0
   170,   551,18790217,  106,    0
   170,   551,18790218,    0,    0
   170,   551,18790219,    0,    0
   170,   551,18790220,   19,    0
   170,   551,18790221,    0,    0
   170,   551,18790222,   92,    0
   170,   551,18790223,    4,    0
   170,   551,18790224,  164,    0
   170,   551,18790225,  284,    0
   170,   551,18790226,    0,    0
   170,   551,18790227,    0,    0
   170,   551,18790228,    8,    0
   170,   551,18790301,    0,    0
   170,   551,18790302,    0,    0
   170,   551,18790303,    0,    0
   170,   551,18790304,    1,    0
   170,   551,18790305,    0,    0
   170,   551,18790306,    0,    0
   170,   551,18790307,    0,    0
   170,   551,18790308,    0,    0
   170,   551,18790309,    0,    0
   170,   551,18790310,    0,    0
   170,   551,18790311,    0,    0
   170,   551,18790312,    2,    0
   170,   551,18790313,    0,    0
   170,   551,18790314,    0,    0
   170,   551,18790315,    0,    0
   170,   551,18790316,    3,    0
   170,   551,18790317,    0,    0
   170,   551,18790318,    0,    0
   170,   551,18790319,   18,    0
   170,   551,18790320,   32,    0
   170,   551,18790321,   20,    0
   170,   551,18790322,   10,    0
   170,   551,18790323,  163,    0
   170,   551,18790324,    3,    0
   170,   551,18790325,    0,    0
   170,   551,18790326,    0,    0
   170,   551,18790327,  303,    0
   170,   551,18790328,   16,    0
   170,   551,18790329,    0,    0
   170,   551,18790330,    0,    0
   170,   551,18790331,    0,    0
   170,   551,18790401,    0,    0
   170,   551,18790402,  145,    0
   170,   551,18790403,  467,    0
   170,   551,18790404,   15,    0
   170,   551,18790405,    0,    0
   170,   551,18790406,    0,    0
   170,   551,18790407,   17,    0
