EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOLOGNA, ITALY (STAID: 169)
Blended and updated with sources:550 94651 95203 95699 97915 916140 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   169,   550,18130101,    0,    0
   169,   550,18130102,   55,    0
   169,   550,18130103,  100,    0
   169,   550,18130104,   65,    0
   169,   550,18130105,   55,    0
   169,   550,18130106,    2,    0
   169,   550,18130107,    0,    0
   169,   550,18130108,    5,    0
   169,   550,18130109,    2,    0
   169,   550,18130110,   18,    0
   169,   550,18130111,    5,    0
   169,   550,18130112,    0,    0
   169,   550,18130113,    0,    0
   169,   550,18130114,    0,    0
   169,   550,18130115,    0,    0
   169,   550,18130116,  105,    0
   169,   550,18130117,    4,    0
   169,   550,18130118,    0,    0
   169,   550,18130119,    0,    0
   169,   550,18130120,    0,    0
   169,   550,18130121,    0,    0
   169,   550,18130122,    0,    0
   169,   550,18130123,    0,    0
   169,   550,18130124,    0,    0
   169,   550,18130125,    0,    0
   169,   550,18130126,    0,    0
   169,   550,18130127,    0,    0
   169,   550,18130128,    0,    0
   169,   550,18130129,    0,    0
   169,   550,18130130,    0,    0
   169,   550,18130131,    0,    0
   169,   550,18130201,    0,    0
   169,   550,18130202,    0,    0
   169,   550,18130203,    0,    0
   169,   550,18130204,    0,    0
   169,   550,18130205,    0,    0
   169,   550,18130206,    0,    0
   169,   550,18130207,    0,    0
   169,   550,18130208,    4,    0
