EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GENOA, ITALY (STAID: 171)
Blended and updated with sources:552 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   171,   552,18330101,    0,    0
   171,   552,18330102,    0,    0
   171,   552,18330103,    3,    0
   171,   552,18330104,    0,    0
   171,   552,18330105,    0,    0
   171,   552,18330106,    0,    0
   171,   552,18330107,    0,    0
   171,   552,18330108,    0,    0
   171,   552,18330109,    0,    0
   171,   552,18330110,    0,    0
   171,   552,18330111,    0,    0
   171,   552,18330112,    0,    0
   171,   552,18330113,  230,    0
   171,   552,18330114,  270,    0
   171,   552,18330115,   30,    0
   171,   552,18330116,   20,    0
   171,   552,18330117,    0,    0
   171,   552,18330118,    0,    0
   171,   552,18330119,    0,    0
   171,   552,18330120,    0,    0
   171,   552,18330121,    0,    0
   171,   552,18330122,    0,    0
   171,   552,18330123,    0,    0
   171,   552,18330124,    0,    0
   171,   552,18330125,    0,    0
   171,   552,18330126,    0,    0
   171,   552,18330127,   80,    0
   171,   552,18330128,  106,    0
   171,   552,18330129,  100,    0
   171,   552,18330130,  120,    0
   171,   552,18330131,    0,    0
   171,   552,18330201,    2,    0
   171,   552,18330202,    0,    0
   171,   552,18330203,   17,    0
   171,   552,18330204,    0,    0
   171,   552,18330205,    0,    0
   171,   552,18330206,    3,    0
   171,   552,18330207,    0,    0
   171,   552,18330208,    0,    0
   171,   552,18330209,    0,    0
   171,   552,18330210,   21,    0
   171,   552,18330211,   17,    0
   171,   552,18330212,    2,    0
   171,   552,18330213,    1,    0
   171,   552,18330214,    8,    0
   171,   552,18330215,    2,    0
   171,   552,18330216,    0,    0
   171,   552,18330217,    0,    0
   171,   552,18330218,    0,    0
   171,   552,18330219,    0,    0
   171,   552,18330220,    0,    0
   171,   552,18330221,    0,    0
   171,   552,18330222,    0,    0
   171,   552,18330223,   31,    0
   171,   552,18330224,   54,    0
   171,   552,18330225,  635,    0
   171,   552,18330226,    0,    0
   171,   552,18330227,  170,    0
   171,   552,18330228,   61,    0
   171,   552,18330301,  340,    0
   171,   552,18330302,    0,    0
   171,   552,18330303,    0,    0
   171,   552,18330304,    0,    0
   171,   552,18330305,    0,    0
   171,   552,18330306,    0,    0
   171,   552,18330307,    0,    0
   171,   552,18330308,    0,    0
   171,   552,18330309,  181,    0
   171,   552,18330310,    0,    0
   171,   552,18330311,   40,    0
   171,   552,18330312,  379,    0
   171,   552,18330313,   20,    0
   171,   552,18330314,   17,    0
   171,   552,18330315,   52,    0
   171,   552,18330316,  277,    0
   171,   552,18330317,  235,    0
   171,   552,18330318,   22,    0
   171,   552,18330319,    0,    0
   171,   552,18330320,    0,    0
   171,   552,18330321,    0,    0
   171,   552,18330322,    0,    0
   171,   552,18330323,    0,    0
   171,   552,18330324,    9,    0
   171,   552,18330325,   72,    0
   171,   552,18330326,  173,    0
   171,   552,18330327,   11,    0
   171,   552,18330328,    0,    0
   171,   552,18330329,    0,    0
   171,   552,18330330,    0,    0
   171,   552,18330331,   14,    0
   171,   552,18330401,  100,    0
   171,   552,18330402,  196,    0
   171,   552,18330403,    0,    0
   171,   552,18330404,    0,    0
   171,   552,18330405,    0,    0
   171,   552,18330406,    0,    0
   171,   552,18330407,   95,    0
   171,   552,18330408,  152,    0
   171,   552,18330409,    0,    0
   171,   552,18330410,    0,    0
   171,   552,18330411,    0,    0
   171,   552,18330412,   12,    0
   171,   552,18330413,  219,    0
   171,   552,18330414,    1,    0
   171,   552,18330415,    0,    0
   171,   552,18330416,   61,    0
   171,   552,18330417,   88,    0
   171,   552,18330418,  205,    0
   171,   552,18330419,    0,    0
   171,   552,18330420,    0,    0
   171,   552,18330421,    0,    0
   171,   552,18330422,    0,    0
   171,   552,18330423,    0,    0
   171,   552,18330424,    0,    0
   171,   552,18330425,  341,    0
   171,   552,18330426,   19,    0
   171,   552,18330427,    4,    0
   171,   552,18330428,    0,    0
   171,   552,18330429,  131,    0
   171,   552,18330430,  106,    0
   171,   552,18330501,    0,    0
   171,   552,18330502,    0,    0
   171,   552,18330503,    0,    0
   171,   552,18330504,    0,    0
   171,   552,18330505,    0,    0
   171,   552,18330506,    0,    0
   171,   552,18330507,   27,    0
   171,   552,18330508,    0,    0
   171,   552,18330509,    0,    0
   171,   552,18330510,    0,    0
   171,   552,18330511,    0,    0
   171,   552,18330512,    0,    0
   171,   552,18330513,    0,    0
   171,   552,18330514,    0,    0
   171,   552,18330515,    0,    0
   171,   552,18330516,    0,    0
   171,   552,18330517,    0,    0
   171,   552,18330518,    0,    0
   171,   552,18330519,    0,    0
   171,   552,18330520,   16,    0
   171,   552,18330521,   24,    0
   171,   552,18330522,    0,    0
   171,   552,18330523,  406,    0
   171,   552,18330524,    9,    0
   171,   552,18330525,    0,    0
   171,   552,18330526,    0,    0
   171,   552,18330527,   71,    0
   171,   552,18330528,    0,    0
   171,   552,18330529,    0,    0
   171,   552,18330530,    0,    0
   171,   552,18330531,    0,    0
   171,   552,18330601,    0,    0
   171,   552,18330602,    0,    0
   171,   552,18330603,   18,    0
   171,   552,18330604,    0,    0
   171,   552,18330605,    0,    0
   171,   552,18330606,   34,    0
   171,   552,18330607,    0,    0
   171,   552,18330608,    1,    0
   171,   552,18330609,    0,    0
   171,   552,18330610,    0,    0
   171,   552,18330611,    0,    0
   171,   552,18330612,    0,    0
   171,   552,18330613,    1,    0
   171,   552,18330614,   70,    0
   171,   552,18330615,    7,    0
   171,   552,18330616,    0,    0
   171,   552,18330617,    0,    0
   171,   552,18330618,    0,    0
   171,   552,18330619,    1,    0
   171,   552,18330620,    0,    0
   171,   552,18330621,   10,    0
   171,   552,18330622,    0,    0
   171,   552,18330623,    0,    0
   171,   552,18330624,    0,    0
   171,   552,18330625,    0,    0
   171,   552,18330626,    0,    0
   171,   552,18330627,    0,    0
   171,   552,18330628,    0,    0
   171,   552,18330629,    0,    0
   171,   552,18330630,  427,    0
   171,   552,18330701,  155,    0
   171,   552,18330702,    9,    0
   171,   552,18330703,  120,    0
   171,   552,18330704,    0,    0
   171,   552,18330705,    0,    0
   171,   552,18330706,    0,    0
   171,   552,18330707,  786,    0
   171,   552,18330708,    3,    0
   171,   552,18330709,  204,    0
   171,   552,18330710,  153,    0
   171,   552,18330711,    0,    0
   171,   552,18330712,    0,    0
   171,   552,18330713,  464,    0
   171,   552,18330714,    0,    0
   171,   552,18330715,   20,    0
   171,   552,18330716,   11,    0
   171,   552,18330717,    0,    0
   171,   552,18330718,    0,    0
   171,   552,18330719,    1,    0
   171,   552,18330720,   11,    0
   171,   552,18330721,   25,    0
   171,   552,18330722,    0,    0
   171,   552,18330723,    0,    0
   171,   552,18330724,    0,    0
   171,   552,18330725,    2,    0
   171,   552,18330726,    0,    0
   171,   552,18330727,    0,    0
   171,   552,18330728,    0,    0
   171,   552,18330729,  183,    0
   171,   552,18330730,   20,    0
   171,   552,18330731,    0,    0
   171,   552,18330801,    0,    0
   171,   552,18330802,    0,    0
   171,   552,18330803,    0,    0
   171,   552,18330804,    0,    0
