EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MANTOVA, ITALY (STAID: 172)
Blended and updated with sources:553 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   172,   553,18400101,-9999,    9
   172,   553,18400102,-9999,    9
   172,   553,18400103,-9999,    9
   172,   553,18400104,-9999,    9
   172,   553,18400105,-9999,    9
   172,   553,18400106,-9999,    9
   172,   553,18400107,-9999,    9
   172,   553,18400108,-9999,    9
   172,   553,18400109,-9999,    9
   172,   553,18400110,-9999,    9
   172,   553,18400111,-9999,    9
   172,   553,18400112,-9999,    9
   172,   553,18400113,-9999,    9
   172,   553,18400114,-9999,    9
   172,   553,18400115,-9999,    9
   172,   553,18400116,-9999,    9
   172,   553,18400117,-9999,    9
   172,   553,18400118,-9999,    9
   172,   553,18400119,-9999,    9
   172,   553,18400120,-9999,    9
   172,   553,18400121,-9999,    9
   172,   553,18400122,-9999,    9
   172,   553,18400123,-9999,    9
   172,   553,18400124,-9999,    9
   172,   553,18400125,-9999,    9
   172,   553,18400126,-9999,    9
   172,   553,18400127,-9999,    9
   172,   553,18400128,-9999,    9
   172,   553,18400129,-9999,    9
   172,   553,18400130,-9999,    9
   172,   553,18400131,-9999,    9
   172,   553,18400201,-9999,    9
   172,   553,18400202,-9999,    9
   172,   553,18400203,-9999,    9
   172,   553,18400204,-9999,    9
   172,   553,18400205,-9999,    9
   172,   553,18400206,-9999,    9
   172,   553,18400207,-9999,    9
   172,   553,18400208,-9999,    9
   172,   553,18400209,-9999,    9
   172,   553,18400210,-9999,    9
   172,   553,18400211,-9999,    9
   172,   553,18400212,-9999,    9
   172,   553,18400213,-9999,    9
   172,   553,18400214,-9999,    9
   172,   553,18400215,-9999,    9
   172,   553,18400216,-9999,    9
   172,   553,18400217,-9999,    9
   172,   553,18400218,-9999,    9
   172,   553,18400219,-9999,    9
   172,   553,18400220,-9999,    9
   172,   553,18400221,-9999,    9
   172,   553,18400222,-9999,    9
   172,   553,18400223,-9999,    9
   172,   553,18400224,-9999,    9
   172,   553,18400225,-9999,    9
   172,   553,18400226,-9999,    9
   172,   553,18400227,-9999,    9
   172,   553,18400228,-9999,    9
   172,   553,18400229,-9999,    9
   172,   553,18400301,-9999,    9
   172,   553,18400302,-9999,    9
   172,   553,18400303,-9999,    9
   172,   553,18400304,-9999,    9
   172,   553,18400305,-9999,    9
   172,   553,18400306,-9999,    9
   172,   553,18400307,-9999,    9
   172,   553,18400308,-9999,    9
   172,   553,18400309,-9999,    9
   172,   553,18400310,-9999,    9
   172,   553,18400311,-9999,    9
   172,   553,18400312,-9999,    9
   172,   553,18400313,-9999,    9
   172,   553,18400314,-9999,    9
   172,   553,18400315,-9999,    9
   172,   553,18400316,-9999,    9
   172,   553,18400317,-9999,    9
   172,   553,18400318,-9999,    9
   172,   553,18400319,-9999,    9
   172,   553,18400320,-9999,    9
   172,   553,18400321,-9999,    9
   172,   553,18400322,-9999,    9
   172,   553,18400323,-9999,    9
   172,   553,18400324,-9999,    9
   172,   553,18400325,-9999,    9
   172,   553,18400326,-9999,    9
   172,   553,18400327,-9999,    9
   172,   553,18400328,-9999,    9
   172,   553,18400329,-9999,    9
   172,   553,18400330,-9999,    9
   172,   553,18400331,-9999,    9
   172,   553,18400401,    0,    0
   172,   553,18400402,    0,    0
   172,   553,18400403,    0,    0
   172,   553,18400404,    0,    0
   172,   553,18400405,  140,    0
   172,   553,18400406,    0,    0
   172,   553,18400407,    0,    0
   172,   553,18400408,   46,    0
   172,   553,18400409,  394,    0
   172,   553,18400410,  110,    0
   172,   553,18400411,    0,    0
   172,   553,18400412,    0,    0
   172,   553,18400413,    0,    0
   172,   553,18400414,    0,    0
   172,   553,18400415,    0,    0
   172,   553,18400416,    0,    0
   172,   553,18400417,    0,    0
   172,   553,18400418,    0,    0
   172,   553,18400419,   40,    0
   172,   553,18400420,    0,    0
   172,   553,18400421,   25,    0
   172,   553,18400422,    0,    0
   172,   553,18400423,    0,    0
   172,   553,18400424,    0,    0
   172,   553,18400425,    0,    0
   172,   553,18400426,    0,    0
   172,   553,18400427,    0,    0
   172,   553,18400428,    0,    0
   172,   553,18400429,    0,    0
   172,   553,18400430,    0,    0
   172,   553,18400501,    0,    0
   172,   553,18400502,    0,    0
   172,   553,18400503,    0,    0
   172,   553,18400504,    0,    0
   172,   553,18400505,    0,    0
   172,   553,18400506,    0,    0
   172,   553,18400507,    0,    0
   172,   553,18400508,    0,    0
   172,   553,18400509,  160,    0
   172,   553,18400510,   64,    0
   172,   553,18400511,    6,    0
   172,   553,18400512,    0,    0
   172,   553,18400513,    0,    0
   172,   553,18400514,   35,    0
   172,   553,18400515,  186,    0
   172,   553,18400516,    0,    0
   172,   553,18400517,   64,    0
   172,   553,18400518,    0,    0
   172,   553,18400519,   75,    0
   172,   553,18400520,    9,    0
   172,   553,18400521,    0,    0
   172,   553,18400522,    0,    0
   172,   553,18400523,    0,    0
   172,   553,18400524,    0,    0
   172,   553,18400525,    0,    0
   172,   553,18400526,    0,    0
   172,   553,18400527,    0,    0
   172,   553,18400528,    0,    0
   172,   553,18400529,    0,    0
   172,   553,18400530,    0,    0
   172,   553,18400531,    0,    0
   172,   553,18400601,    0,    0
   172,   553,18400602,    0,    0
   172,   553,18400603,    0,    0
   172,   553,18400604,    9,    0
   172,   553,18400605,    0,    0
   172,   553,18400606,    0,    0
   172,   553,18400607,    0,    0
   172,   553,18400608,    0,    0
   172,   553,18400609,    0,    0
   172,   553,18400610,   54,    0
   172,   553,18400611,   20,    0
   172,   553,18400612,    0,    0
   172,   553,18400613,    0,    0
   172,   553,18400614,    0,    0
   172,   553,18400615,    0,    0
   172,   553,18400616,    0,    0
   172,   553,18400617,    0,    0
   172,   553,18400618,    0,    0
   172,   553,18400619,    0,    0
   172,   553,18400620,    0,    0
   172,   553,18400621,    0,    0
   172,   553,18400622,    0,    0
   172,   553,18400623,    0,    0
   172,   553,18400624,    0,    0
   172,   553,18400625,    0,    0
   172,   553,18400626,    0,    0
   172,   553,18400627,    0,    0
   172,   553,18400628,    0,    0
   172,   553,18400629,    0,    0
   172,   553,18400630,    0,    0
   172,   553,18400701,    0,    0
   172,   553,18400702,    0,    0
   172,   553,18400703,    0,    0
   172,   553,18400704,    0,    0
   172,   553,18400705,    0,    0
   172,   553,18400706,    0,    0
   172,   553,18400707,    0,    0
   172,   553,18400708,    0,    0
   172,   553,18400709,    0,    0
