EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VERONA VILLAFRANCA, ITALY (STAID: 177)
Blended and updated with sources:566 176715 916090 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   177,   566,19510101,    0,    0
   177,   566,19510102,   64,    0
   177,   566,19510103,  246,    0
   177,   566,19510104,   20,    0
   177,   566,19510105,    0,    0
   177,   566,19510106,    0,    0
   177,   566,19510107,    0,    0
   177,   566,19510108,    0,    0
   177,   566,19510109,    0,    0
   177,   566,19510110,    0,    0
   177,   566,19510111,    2,    0
   177,   566,19510112,   12,    0
   177,   566,19510113,   66,    0
   177,   566,19510114,    0,    0
   177,   566,19510115,    0,    0
   177,   566,19510116,    0,    0
   177,   566,19510117,    0,    0
   177,   566,19510118,    0,    0
   177,   566,19510119,    0,    0
   177,   566,19510120,    0,    0
   177,   566,19510121,    0,    0
   177,   566,19510122,    0,    0
   177,   566,19510123,    4,    0
   177,   566,19510124,   14,    0
   177,   566,19510125,  214,    0
   177,   566,19510126,    0,    0
   177,   566,19510127,    0,    0
   177,   566,19510128,   22,    0
   177,   566,19510129,   58,    0
   177,   566,19510130,   14,    0
   177,   566,19510131,   10,    0
   177,   566,19510201,    6,    0
   177,   566,19510202,    0,    0
   177,   566,19510203,    0,    0
   177,   566,19510204,   60,    0
   177,   566,19510205,   96,    0
   177,   566,19510206,   88,    0
   177,   566,19510207,   32,    0
   177,   566,19510208,   58,    0
   177,   566,19510209,    0,    0
   177,   566,19510210,    0,    0
   177,   566,19510211,    0,    0
   177,   566,19510212,   40,    0
   177,   566,19510213,   59,    0
   177,   566,19510214,    0,    0
   177,   566,19510215,   10,    0
   177,   566,19510216,    6,    0
   177,   566,19510217,    0,    0
   177,   566,19510218,   36,    0
   177,   566,19510219,   30,    0
   177,   566,19510220,    0,    0
   177,   566,19510221,   94,    0
   177,   566,19510222,    0,    0
   177,   566,19510223,    0,    0
   177,   566,19510224,   50,    0
   177,   566,19510225,   28,    0
   177,   566,19510226,   76,    0
   177,   566,19510227,    0,    0
   177,   566,19510228,    0,    0
   177,   566,19510301,    0,    0
   177,   566,19510302,    0,    0
   177,   566,19510303,   86,    0
   177,   566,19510304,    2,    0
   177,   566,19510305,    0,    0
   177,   566,19510306,   56,    0
   177,   566,19510307,   26,    0
   177,   566,19510308,  126,    0
   177,   566,19510309,   58,    0
