STAID,SOUID,DATE,FG,Q_FG
   236, 55241,19050101,-9999,    9
   236, 55241,19050102,-9999,    9
   236, 55241,19050103,-9999,    9
   236, 55241,19050104,-9999,    9
   236, 55241,19050105,-9999,    9
   236, 55241,19050106,-9999,    9
   236, 55241,19050107,-9999,    9
   236, 55241,19050108,-9999,    9
   236, 55241,19050109,-9999,    9
   236, 55241,19050110,-9999,    9
   236, 55241,19050111,-9999,    9
   236, 55241,19050112,-9999,    9
   236, 55241,19050113,-9999,    9
   236, 55241,19050114,-9999,    9
   236, 55241,19050115,-9999,    9
   236, 55241,19050116,-9999,    9
   236, 55241,19050117,-9999,    9
   236, 55241,19050118,-9999,    9
   236, 55241,19050119,-9999,    9
   236, 55241,19050120,-9999,    9
   236, 55241,19050121,-9999,    9
   236, 55241,19050122,-9999,    9
   236, 55241,19050123,-9999,    9
   236, 55241,19050124,-9999,    9
   236, 55241,19050125,-9999,    9
   236, 55241,19050126,-9999,    9
   236, 55241,19050127,-9999,    9
   236, 55241,19050128,-9999,    9
   236, 55241,19050129,-9999,    9
   236, 55241,19050130,-9999,    9
   236, 55241,19050131,-9999,    9
   236, 55241,19050201,-9999,    9
   236, 55241,19050202,-9999,    9
   236, 55241,19050203,-9999,    9
   236, 55241,19050204,-9999,    9
   236, 55241,19050205,-9999,    9
   236, 55241,19050206,-9999,    9
   236, 55241,19050207,-9999,    9
   236, 55241,19050208,-9999,    9
   236, 55241,19050209,-9999,    9
   236, 55241,19050210,-9999,    9
   236, 55241,19050211,-9999,    9
   236, 55241,19050212,-9999,    9
   236, 55241,19050213,-9999,    9
   236, 55241,19050214,-9999,    9
   236, 55241,19050215,-9999,    9
   236, 55241,19050216,-9999,    9
   236, 55241,19050217,-9999,    9
   236, 55241,19050218,-9999,    9
   236, 55241,19050219,-9999,    9
   236, 55241,19050220,-9999,    9
   236, 55241,19050221,-9999,    9
   236, 55241,19050222,-9999,    9
   236, 55241,19050223,-9999,    9
   236, 55241,19050224,-9999,    9
   236, 55241,19050225,-9999,    9
   236, 55241,19050226,-9999,    9
   236, 55241,19050227,-9999,    9
   236, 55241,19050228,-9999,    9
   236, 55241,19050301,-9999,    9
   236, 55241,19050302,-9999,    9
   236, 55241,19050303,-9999,    9
   236, 55241,19050304,-9999,    9
   236, 55241,19050305,-9999,    9
   236, 55241,19050306,-9999,    9
   236, 55241,19050307,-9999,    9
   236, 55241,19050308,-9999,    9
   236, 55241,19050309,-9999,    9
   236, 55241,19050310,-9999,    9
   236, 55241,19050311,-9999,    9
   236, 55241,19050312,-9999,    9
   236, 55241,19050313,-9999,    9
   236, 55241,19050314,-9999,    9
   236, 55241,19050315,-9999,    9
   236, 55241,19050316,-9999,    9
   236, 55241,19050317,-9999,    9
   236, 55241,19050318,-9999,    9
   236, 55241,19050319,-9999,    9
   236, 55241,19050320,-9999,    9
   236, 55241,19050321,-9999,    9
   236, 55241,19050322,-9999,    9
   236, 55241,19050323,-9999,    9
   236, 55241,19050324,-9999,    9
   236, 55241,19050325,-9999,    9
   236, 55241,19050326,-9999,    9
   236, 55241,19050327,-9999,    9
   236, 55241,19050328,-9999,    9
   236, 55241,19050329,-9999,    9
   236, 55241,19050330,-9999,    9
   236, 55241,19050331,-9999,    9
   236, 55241,19050401,-9999,    9
   236, 55241,19050402,-9999,    9
   236, 55241,19050403,-9999,    9
   236, 55241,19050404,-9999,    9
   236, 55241,19050405,-9999,    9
   236, 55241,19050406,-9999,    9
   236, 55241,19050407,-9999,    9
   236, 55241,19050408,-9999,    9
   236, 55241,19050409,-9999,    9
   236, 55241,19050410,-9999,    9
   236, 55241,19050411,-9999,    9
   236, 55241,19050412,-9999,    9
   236, 55241,19050413,-9999,    9
   236, 55241,19050414,-9999,    9
   236, 55241,19050415,-9999,    9
   236, 55241,19050416,-9999,    9
   236, 55241,19050417,-9999,    9
   236, 55241,19050418,-9999,    9
   236, 55241,19050419,-9999,    9
   236, 55241,19050420,-9999,    9
   236, 55241,19050421,-9999,    9
   236, 55241,19050422,-9999,    9
   236, 55241,19050423,-9999,    9
   236, 55241,19050424,-9999,    9
   236, 55241,19050425,-9999,    9
   236, 55241,19050426,-9999,    9
   236, 55241,19050427,-9999,    9
   236, 55241,19050428,-9999,    9
   236, 55241,19050429,-9999,    9
   236, 55241,19050430,-9999,    9
   236, 55241,19050501,-9999,    9
   236, 55241,19050502,-9999,    9
   236, 55241,19050503,-9999,    9
   236, 55241,19050504,-9999,    9
   236, 55241,19050505,-9999,    9
   236, 55241,19050506,-9999,    9
   236, 55241,19050507,-9999,    9
   236, 55241,19050508,-9999,    9
   236, 55241,19050509,-9999,    9
   236, 55241,19050510,-9999,    9
   236, 55241,19050511,-9999,    9
   236, 55241,19050512,-9999,    9
   236, 55241,19050513,-9999,    9
   236, 55241,19050514,-9999,    9
   236, 55241,19050515,-9999,    9
   236, 55241,19050516,-9999,    9
   236, 55241,19050517,-9999,    9
   236, 55241,19050518,-9999,    9
   236, 55241,19050519,-9999,    9
   236, 55241,19050520,-9999,    9
   236, 55241,19050521,-9999,    9
   236, 55241,19050522,-9999,    9
   236, 55241,19050523,-9999,    9
   236, 55241,19050524,-9999,    9
   236, 55241,19050525,-9999,    9
   236, 55241,19050526,-9999,    9
   236, 55241,19050527,-9999,    9
   236, 55241,19050528,-9999,    9
   236, 55241,19050529,-9999,    9
   236, 55241,19050530,-9999,    9
   236, 55241,19050531,-9999,    9
   236, 55241,19050601,-9999,    9
   236, 55241,19050602,-9999,    9
   236, 55241,19050603,-9999,    9
   236, 55241,19050604,-9999,    9
   236, 55241,19050605,-9999,    9
   236, 55241,19050606,-9999,    9
   236, 55241,19050607,-9999,    9
   236, 55241,19050608,-9999,    9
   236, 55241,19050609,-9999,    9
   236, 55241,19050610,-9999,    9
   236, 55241,19050611,-9999,    9
   236, 55241,19050612,-9999,    9
   236, 55241,19050613,-9999,    9
   236, 55241,19050614,-9999,    9
   236, 55241,19050615,-9999,    9
   236, 55241,19050616,-9999,    9
   236, 55241,19050617,-9999,    9
   236, 55241,19050618,-9999,    9
   236, 55241,19050619,-9999,    9
