STAID,SOUID,DATE,FG,Q_FG
   230, 15611,19200101,-9999,    9
   230, 15611,19200102,-9999,    9
   230, 15611,19200103,-9999,    9
   230, 15611,19200104,-9999,    9
   230, 15611,19200105,-9999,    9
   230, 15611,19200106,-9999,    9
   230, 15611,19200107,-9999,    9
   230, 15611,19200108,-9999,    9
   230, 15611,19200109,-9999,    9
   230, 15611,19200110,-9999,    9
   230, 15611,19200111,-9999,    9
   230, 15611,19200112,-9999,    9
   230, 15611,19200113,-9999,    9
   230, 15611,19200114,-9999,    9
   230, 15611,19200115,-9999,    9
   230, 15611,19200116,-9999,    9
   230, 15611,19200117,-9999,    9
   230, 15611,19200118,-9999,    9
   230, 15611,19200119,-9999,    9
   230, 15611,19200120,-9999,    9
   230, 15611,19200121,-9999,    9
   230, 15611,19200122,-9999,    9
   230, 15611,19200123,-9999,    9
   230, 15611,19200124,-9999,    9
   230, 15611,19200125,-9999,    9
   230, 15611,19200126,-9999,    9
   230, 15611,19200127,-9999,    9
   230, 15611,19200128,-9999,    9
   230, 15611,19200129,-9999,    9
   230, 15611,19200130,-9999,    9
   230, 15611,19200131,-9999,    9
   230, 15611,19200201,-9999,    9
   230, 15611,19200202,-9999,    9
   230, 15611,19200203,-9999,    9
   230, 15611,19200204,-9999,    9
   230, 15611,19200205,-9999,    9
   230, 15611,19200206,-9999,    9
   230, 15611,19200207,-9999,    9
   230, 15611,19200208,-9999,    9
   230, 15611,19200209,-9999,    9
   230, 15611,19200210,-9999,    9
   230, 15611,19200211,-9999,    9
   230, 15611,19200212,-9999,    9
   230, 15611,19200213,-9999,    9
   230, 15611,19200214,-9999,    9
   230, 15611,19200215,-9999,    9
   230, 15611,19200216,-9999,    9
   230, 15611,19200217,-9999,    9
   230, 15611,19200218,-9999,    9
   230, 15611,19200219,-9999,    9
   230, 15611,19200220,-9999,    9
   230, 15611,19200221,-9999,    9
   230, 15611,19200222,-9999,    9
   230, 15611,19200223,-9999,    9
   230, 15611,19200224,-9999,    9
   230, 15611,19200225,-9999,    9
   230, 15611,19200226,-9999,    9
   230, 15611,19200227,-9999,    9
   230, 15611,19200228,-9999,    9
   230, 15611,19200229,-9999,    9
   230, 15611,19200301,-9999,    9
   230, 15611,19200302,-9999,    9
   230, 15611,19200303,-9999,    9
   230, 15611,19200304,-9999,    9
   230, 15611,19200305,-9999,    9
   230, 15611,19200306,-9999,    9
   230, 15611,19200307,-9999,    9
   230, 15611,19200308,-9999,    9
   230, 15611,19200309,-9999,    9
   230, 15611,19200310,-9999,    9
   230, 15611,19200311,-9999,    9
   230, 15611,19200312,-9999,    9
   230, 15611,19200313,-9999,    9
   230, 15611,19200314,-9999,    9
   230, 15611,19200315,-9999,    9
   230, 15611,19200316,-9999,    9
   230, 15611,19200317,-9999,    9
   230, 15611,19200318,-9999,    9
   230, 15611,19200319,-9999,    9
   230, 15611,19200320,-9999,    9
   230, 15611,19200321,-9999,    9
   230, 15611,19200322,-9999,    9
   230, 15611,19200323,-9999,    9
   230, 15611,19200324,-9999,    9
   230, 15611,19200325,-9999,    9
   230, 15611,19200326,-9999,    9
   230, 15611,19200327,-9999,    9
   230, 15611,19200328,-9999,    9
   230, 15611,19200329,-9999,    9
   230, 15611,19200330,-9999,    9
   230, 15611,19200331,-9999,    9
   230, 15611,19200401,-9999,    9
   230, 15611,19200402,-9999,    9
   230, 15611,19200403,-9999,    9
   230, 15611,19200404,-9999,    9
   230, 15611,19200405,-9999,    9
   230, 15611,19200406,-9999,    9
   230, 15611,19200407,-9999,    9
   230, 15611,19200408,-9999,    9
   230, 15611,19200409,-9999,    9
   230, 15611,19200410,-9999,    9
   230, 15611,19200411,-9999,    9
   230, 15611,19200412,-9999,    9
   230, 15611,19200413,-9999,    9
   230, 15611,19200414,-9999,    9
   230, 15611,19200415,-9999,    9
   230, 15611,19200416,-9999,    9
   230, 15611,19200417,-9999,    9
   230, 15611,19200418,-9999,    9
   230, 15611,19200419,-9999,    9
   230, 15611,19200420,-9999,    9
   230, 15611,19200421,-9999,    9
   230, 15611,19200422,-9999,    9
   230, 15611,19200423,-9999,    9
   230, 15611,19200424,-9999,    9
   230, 15611,19200425,-9999,    9
   230, 15611,19200426,-9999,    9
   230, 15611,19200427,-9999,    9
   230, 15611,19200428,-9999,    9
   230, 15611,19200429,-9999,    9
   230, 15611,19200430,-9999,    9
   230, 15611,19200501,-9999,    9
   230, 15611,19200502,-9999,    9
   230, 15611,19200503,-9999,    9
   230, 15611,19200504,-9999,    9
   230, 15611,19200505,-9999,    9
   230, 15611,19200506,-9999,    9
   230, 15611,19200507,-9999,    9
   230, 15611,19200508,-9999,    9
   230, 15611,19200509,-9999,    9
   230, 15611,19200510,-9999,    9
   230, 15611,19200511,-9999,    9
   230, 15611,19200512,-9999,    9
   230, 15611,19200513,-9999,    9
   230, 15611,19200514,-9999,    9
   230, 15611,19200515,-9999,    9
   230, 15611,19200516,-9999,    9
   230, 15611,19200517,-9999,    9
   230, 15611,19200518,-9999,    9
   230, 15611,19200519,-9999,    9
   230, 15611,19200520,-9999,    9
   230, 15611,19200521,-9999,    9
   230, 15611,19200522,-9999,    9
   230, 15611,19200523,-9999,    9
   230, 15611,19200524,-9999,    9
   230, 15611,19200525,-9999,    9
   230, 15611,19200526,-9999,    9
   230, 15611,19200527,-9999,    9
   230, 15611,19200528,-9999,    9
   230, 15611,19200529,-9999,    9
   230, 15611,19200530,-9999,    9
   230, 15611,19200531,-9999,    9
