STAID,SOUID,DATE,FG,Q_FG
   231, 15613,19420501,   47,    0
   231, 15613,19420502,   50,    0
   231, 15613,19420503,   33,    0
   231, 15613,19420504,   42,    0
   231, 15613,19420505,   53,    0
   231, 15613,19420506,   39,    0
   231, 15613,19420507,   50,    0
   231, 15613,19420508,   33,    0
   231, 15613,19420509,   33,    0
   231, 15613,19420510,   50,    0
   231, 15613,19420511,   44,    0
   231, 15613,19420512,   39,    0
   231, 15613,19420513,   58,    0
   231, 15613,19420514,   72,    0
   231, 15613,19420515,   61,    0
   231, 15613,19420516,   58,    0
   231, 15613,19420517,   33,    0
   231, 15613,19420518,   47,    0
   231, 15613,19420519,   22,    0
   231, 15613,19420520,   39,    0
   231, 15613,19420521,   89,    0
   231, 15613,19420522,   61,    0
   231, 15613,19420523,   25,    0
   231, 15613,19420524,   33,    0
   231, 15613,19420525,    8,    0
   231, 15613,19420526,   39,    0
   231, 15613,19420527,   39,    0
   231, 15613,19420528,   56,    0
   231, 15613,19420529,   69,    0
   231, 15613,19420530,   53,    0
   231, 15613,19420531,   22,    0
   231, 15613,19420601,   33,    0
   231, 15613,19420602,   39,    0
   231, 15613,19420603,   39,    0
   231, 15613,19420604,   39,    0
   231, 15613,19420605,   39,    0
   231, 15613,19420606,   44,    0
   231, 15613,19420607,   39,    0
   231, 15613,19420608,   47,    0
   231, 15613,19420609,   56,    0
   231, 15613,19420610,   67,    0
   231, 15613,19420611,   44,    0
   231, 15613,19420612,   56,    0
   231, 15613,19420613,   75,    0
   231, 15613,19420614,   33,    0
   231, 15613,19420615,   89,    0
   231, 15613,19420616,   53,    0
   231, 15613,19420617,   44,    0
   231, 15613,19420618,   69,    0
   231, 15613,19420619,   53,    0
   231, 15613,19420620,   33,    0
   231, 15613,19420621,   36,    0
   231, 15613,19420622,   33,    0
   231, 15613,19420623,   53,    0
   231, 15613,19420624,   53,    0
   231, 15613,19420625,   39,    0
   231, 15613,19420626,   39,    0
   231, 15613,19420627,   75,    0
   231, 15613,19420628,   22,    0
   231, 15613,19420629,   25,    0
   231, 15613,19420630,   33,    0
   231, 15613,19420701,   72,    0
   231, 15613,19420702,   44,    0
   231, 15613,19420703,   25,    0
   231, 15613,19420704,   47,    0
   231, 15613,19420705,   50,    0
   231, 15613,19420706,   69,    0
   231, 15613,19420707,   33,    0
   231, 15613,19420708,   33,    0
   231, 15613,19420709,   33,    0
   231, 15613,19420710,   25,    0
   231, 15613,19420711,   47,    0
   231, 15613,19420712,   42,    0
   231, 15613,19420713,   19,    0
   231, 15613,19420714,   33,    0
   231, 15613,19420715,   39,    0
   231, 15613,19420716,   39,    0
   231, 15613,19420717,   44,    0
   231, 15613,19420718,   44,    0
   231, 15613,19420719,   44,    0
   231, 15613,19420720,   39,    0
   231, 15613,19420721,   47,    0
   231, 15613,19420722,   53,    0
   231, 15613,19420723,   33,    0
   231, 15613,19420724,   47,    0
   231, 15613,19420725,   44,    0
   231, 15613,19420726,   31,    0
   231, 15613,19420727,   47,    0
   231, 15613,19420728,   31,    0
   231, 15613,19420729,   33,    0
   231, 15613,19420730,   47,    0
   231, 15613,19420731,   50,    0
   231, 15613,19420801,   44,    0
   231, 15613,19420802,   39,    0
   231, 15613,19420803,   61,    0
   231, 15613,19420804,   36,    0
   231, 15613,19420805,   36,    0
   231, 15613,19420806,   39,    0
   231, 15613,19420807,   31,    0
   231, 15613,19420808,   39,    0
   231, 15613,19420809,   39,    0
   231, 15613,19420810,   39,    0
   231, 15613,19420811,   44,    0
   231, 15613,19420812,   44,    0
   231, 15613,19420813,   36,    0
   231, 15613,19420814,   44,    0
   231, 15613,19420815,   33,    0
   231, 15613,19420816,   44,    0
