STAID,SOUID,DATE,FG,Q_FG
   232, 15615,19460101,-9999,    9
   232, 15615,19460102,-9999,    9
   232, 15615,19460103,-9999,    9
   232, 15615,19460104,-9999,    9
   232, 15615,19460105,-9999,    9
   232, 15615,19460106,-9999,    9
   232, 15615,19460107,-9999,    9
   232, 15615,19460108,-9999,    9
   232, 15615,19460109,-9999,    9
   232, 15615,19460110,-9999,    9
   232, 15615,19460111,-9999,    9
   232, 15615,19460112,-9999,    9
   232, 15615,19460113,-9999,    9
   232, 15615,19460114,-9999,    9
   232, 15615,19460115,-9999,    9
   232, 15615,19460116,-9999,    9
   232, 15615,19460117,-9999,    9
   232, 15615,19460118,-9999,    9
   232, 15615,19460119,-9999,    9
   232, 15615,19460120,-9999,    9
   232, 15615,19460121,-9999,    9
   232, 15615,19460122,-9999,    9
   232, 15615,19460123,-9999,    9
   232, 15615,19460124,-9999,    9
   232, 15615,19460125,-9999,    9
   232, 15615,19460126,-9999,    9
   232, 15615,19460127,-9999,    9
   232, 15615,19460128,-9999,    9
   232, 15615,19460129,-9999,    9
   232, 15615,19460130,-9999,    9
   232, 15615,19460131,-9999,    9
   232, 15615,19460201,-9999,    9
   232, 15615,19460202,-9999,    9
   232, 15615,19460203,-9999,    9
   232, 15615,19460204,-9999,    9
   232, 15615,19460205,-9999,    9
   232, 15615,19460206,-9999,    9
   232, 15615,19460207,-9999,    9
   232, 15615,19460208,-9999,    9
   232, 15615,19460209,-9999,    9
   232, 15615,19460210,-9999,    9
   232, 15615,19460211,-9999,    9
   232, 15615,19460212,-9999,    9
   232, 15615,19460213,-9999,    9
   232, 15615,19460214,-9999,    9
   232, 15615,19460215,-9999,    9
   232, 15615,19460216,-9999,    9
   232, 15615,19460217,-9999,    9
   232, 15615,19460218,-9999,    9
   232, 15615,19460219,-9999,    9
   232, 15615,19460220,-9999,    9
   232, 15615,19460221,-9999,    9
   232, 15615,19460222,-9999,    9
   232, 15615,19460223,-9999,    9
   232, 15615,19460224,-9999,    9
   232, 15615,19460225,-9999,    9
   232, 15615,19460226,-9999,    9
   232, 15615,19460227,-9999,    9
   232, 15615,19460228,-9999,    9
   232, 15615,19460301,-9999,    9
   232, 15615,19460302,-9999,    9
   232, 15615,19460303,-9999,    9
   232, 15615,19460304,-9999,    9
   232, 15615,19460305,-9999,    9
   232, 15615,19460306,-9999,    9
   232, 15615,19460307,-9999,    9
   232, 15615,19460308,-9999,    9
   232, 15615,19460309,-9999,    9
   232, 15615,19460310,-9999,    9
   232, 15615,19460311,-9999,    9
   232, 15615,19460312,-9999,    9
   232, 15615,19460313,-9999,    9
   232, 15615,19460314,-9999,    9
   232, 15615,19460315,-9999,    9
   232, 15615,19460316,-9999,    9
   232, 15615,19460317,-9999,    9
   232, 15615,19460318,-9999,    9
   232, 15615,19460319,-9999,    9
   232, 15615,19460320,-9999,    9
   232, 15615,19460321,-9999,    9
   232, 15615,19460322,-9999,    9
   232, 15615,19460323,-9999,    9
   232, 15615,19460324,-9999,    9
   232, 15615,19460325,-9999,    9
   232, 15615,19460326,-9999,    9
   232, 15615,19460327,-9999,    9
   232, 15615,19460328,-9999,    9
   232, 15615,19460329,-9999,    9
   232, 15615,19460330,-9999,    9
   232, 15615,19460331,-9999,    9
   232, 15615,19460401,-9999,    9
   232, 15615,19460402,-9999,    9
   232, 15615,19460403,-9999,    9
   232, 15615,19460404,-9999,    9
   232, 15615,19460405,-9999,    9
   232, 15615,19460406,-9999,    9
   232, 15615,19460407,-9999,    9
   232, 15615,19460408,-9999,    9
   232, 15615,19460409,-9999,    9
   232, 15615,19460410,-9999,    9
   232, 15615,19460411,-9999,    9
   232, 15615,19460412,-9999,    9
   232, 15615,19460413,-9999,    9
   232, 15615,19460414,-9999,    9
   232, 15615,19460415,-9999,    9
   232, 15615,19460416,-9999,    9
   232, 15615,19460417,-9999,    9
   232, 15615,19460418,-9999,    9
   232, 15615,19460419,-9999,    9
   232, 15615,19460420,-9999,    9
   232, 15615,19460421,-9999,    9
   232, 15615,19460422,-9999,    9
   232, 15615,19460423,-9999,    9
   232, 15615,19460424,-9999,    9
   232, 15615,19460425,-9999,    9
   232, 15615,19460426,-9999,    9
   232, 15615,19460427,-9999,    9
   232, 15615,19460428,-9999,    9
   232, 15615,19460429,-9999,    9
   232, 15615,19460430,-9999,    9
   232, 15615,19460501,-9999,    9
   232, 15615,19460502,-9999,    9
   232, 15615,19460503,-9999,    9
   232, 15615,19460504,-9999,    9
   232, 15615,19460505,-9999,    9
   232, 15615,19460506,-9999,    9
   232, 15615,19460507,-9999,    9
   232, 15615,19460508,-9999,    9
   232, 15615,19460509,-9999,    9
   232, 15615,19460510,-9999,    9
   232, 15615,19460511,-9999,    9
   232, 15615,19460512,-9999,    9
   232, 15615,19460513,-9999,    9
   232, 15615,19460514,-9999,    9
   232, 15615,19460515,-9999,    9
   232, 15615,19460516,-9999,    9
   232, 15615,19460517,-9999,    9
   232, 15615,19460518,-9999,    9
   232, 15615,19460519,-9999,    9
   232, 15615,19460520,-9999,    9
   232, 15615,19460521,-9999,    9
   232, 15615,19460522,-9999,    9
   232, 15615,19460523,-9999,    9
   232, 15615,19460524,-9999,    9
   232, 15615,19460525,-9999,    9
   232, 15615,19460526,-9999,    9
   232, 15615,19460527,-9999,    9
   232, 15615,19460528,-9999,    9
   232, 15615,19460529,-9999,    9
   232, 15615,19460530,-9999,    9
   232, 15615,19460531,-9999,    9
   232, 15615,19460601,-9999,    9
