STAID,SOUID,DATE,FG,Q_FG
   233, 15617,19450101,-9999,    9
   233, 15617,19450102,-9999,    9
   233, 15617,19450103,-9999,    9
   233, 15617,19450104,-9999,    9
   233, 15617,19450105,-9999,    9
   233, 15617,19450106,-9999,    9
   233, 15617,19450107,-9999,    9
   233, 15617,19450108,-9999,    9
   233, 15617,19450109,-9999,    9
   233, 15617,19450110,-9999,    9
   233, 15617,19450111,-9999,    9
   233, 15617,19450112,-9999,    9
   233, 15617,19450113,-9999,    9
   233, 15617,19450114,-9999,    9
   233, 15617,19450115,-9999,    9
   233, 15617,19450116,-9999,    9
   233, 15617,19450117,-9999,    9
   233, 15617,19450118,-9999,    9
   233, 15617,19450119,-9999,    9
   233, 15617,19450120,-9999,    9
   233, 15617,19450121,-9999,    9
   233, 15617,19450122,-9999,    9
   233, 15617,19450123,-9999,    9
   233, 15617,19450124,-9999,    9
   233, 15617,19450125,-9999,    9
   233, 15617,19450126,-9999,    9
   233, 15617,19450127,-9999,    9
   233, 15617,19450128,-9999,    9
   233, 15617,19450129,-9999,    9
   233, 15617,19450130,-9999,    9
   233, 15617,19450131,-9999,    9
   233, 15617,19450201,-9999,    9
   233, 15617,19450202,-9999,    9
   233, 15617,19450203,-9999,    9
   233, 15617,19450204,-9999,    9
   233, 15617,19450205,-9999,    9
   233, 15617,19450206,-9999,    9
   233, 15617,19450207,-9999,    9
   233, 15617,19450208,-9999,    9
   233, 15617,19450209,-9999,    9
   233, 15617,19450210,-9999,    9
   233, 15617,19450211,-9999,    9
   233, 15617,19450212,-9999,    9
   233, 15617,19450213,-9999,    9
   233, 15617,19450214,-9999,    9
   233, 15617,19450215,-9999,    9
   233, 15617,19450216,-9999,    9
   233, 15617,19450217,-9999,    9
   233, 15617,19450218,-9999,    9
   233, 15617,19450219,-9999,    9
   233, 15617,19450220,-9999,    9
   233, 15617,19450221,-9999,    9
   233, 15617,19450222,-9999,    9
   233, 15617,19450223,-9999,    9
   233, 15617,19450224,-9999,    9
   233, 15617,19450225,-9999,    9
   233, 15617,19450226,-9999,    9
   233, 15617,19450227,-9999,    9
   233, 15617,19450228,-9999,    9
   233, 15617,19450301,-9999,    9
   233, 15617,19450302,-9999,    9
   233, 15617,19450303,-9999,    9
   233, 15617,19450304,-9999,    9
   233, 15617,19450305,-9999,    9
   233, 15617,19450306,-9999,    9
   233, 15617,19450307,-9999,    9
   233, 15617,19450308,-9999,    9
   233, 15617,19450309,-9999,    9
   233, 15617,19450310,-9999,    9
   233, 15617,19450311,-9999,    9
   233, 15617,19450312,-9999,    9
   233, 15617,19450313,-9999,    9
   233, 15617,19450314,-9999,    9
   233, 15617,19450315,-9999,    9
   233, 15617,19450316,-9999,    9
   233, 15617,19450317,-9999,    9
   233, 15617,19450318,-9999,    9
   233, 15617,19450319,-9999,    9
   233, 15617,19450320,-9999,    9
   233, 15617,19450321,-9999,    9
   233, 15617,19450322,-9999,    9
   233, 15617,19450323,-9999,    9
   233, 15617,19450324,-9999,    9
   233, 15617,19450325,-9999,    9
   233, 15617,19450326,-9999,    9
   233, 15617,19450327,-9999,    9
   233, 15617,19450328,-9999,    9
   233, 15617,19450329,-9999,    9
   233, 15617,19450330,-9999,    9
   233, 15617,19450331,-9999,    9
   233, 15617,19450401,-9999,    9
   233, 15617,19450402,-9999,    9
   233, 15617,19450403,-9999,    9
   233, 15617,19450404,-9999,    9
   233, 15617,19450405,-9999,    9
   233, 15617,19450406,-9999,    9
   233, 15617,19450407,-9999,    9
   233, 15617,19450408,-9999,    9
   233, 15617,19450409,-9999,    9
   233, 15617,19450410,-9999,    9
   233, 15617,19450411,-9999,    9
   233, 15617,19450412,-9999,    9
   233, 15617,19450413,-9999,    9
   233, 15617,19450414,-9999,    9
   233, 15617,19450415,-9999,    9
   233, 15617,19450416,-9999,    9
   233, 15617,19450417,-9999,    9
   233, 15617,19450418,-9999,    9
   233, 15617,19450419,-9999,    9
   233, 15617,19450420,-9999,    9
   233, 15617,19450421,-9999,    9
   233, 15617,19450422,-9999,    9
   233, 15617,19450423,-9999,    9
   233, 15617,19450424,-9999,    9
   233, 15617,19450425,-9999,    9
   233, 15617,19450426,-9999,    9
   233, 15617,19450427,-9999,    9
   233, 15617,19450428,-9999,    9
   233, 15617,19450429,-9999,    9
   233, 15617,19450430,-9999,    9
   233, 15617,19450501,-9999,    9
   233, 15617,19450502,-9999,    9
   233, 15617,19450503,-9999,    9
   233, 15617,19450504,-9999,    9
   233, 15617,19450505,-9999,    9
   233, 15617,19450506,-9999,    9
   233, 15617,19450507,-9999,    9
   233, 15617,19450508,-9999,    9
   233, 15617,19450509,-9999,    9
   233, 15617,19450510,-9999,    9
   233, 15617,19450511,-9999,    9
   233, 15617,19450512,-9999,    9
   233, 15617,19450513,-9999,    9
   233, 15617,19450514,-9999,    9
   233, 15617,19450515,-9999,    9
   233, 15617,19450516,-9999,    9
   233, 15617,19450517,-9999,    9
   233, 15617,19450518,-9999,    9
   233, 15617,19450519,-9999,    9
   233, 15617,19450520,-9999,    9
   233, 15617,19450521,-9999,    9
   233, 15617,19450522,-9999,    9
   233, 15617,19450523,-9999,    9
   233, 15617,19450524,-9999,    9
   233, 15617,19450525,-9999,    9
   233, 15617,19450526,-9999,    9
   233, 15617,19450527,-9999,    9
   233, 15617,19450528,-9999,    9
   233, 15617,19450529,-9999,    9
   233, 15617,19450530,-9999,    9
   233, 15617,19450531,-9999,    9
   233, 15617,19450601,-9999,    9
   233, 15617,19450602,-9999,    9
   233, 15617,19450603,-9999,    9
   233, 15617,19450604,-9999,    9
   233, 15617,19450605,-9999,    9
   233, 15617,19450606,-9999,    9
   233, 15617,19450607,-9999,    9
   233, 15617,19450608,-9999,    9
   233, 15617,19450609,-9999,    9
   233, 15617,19450610,-9999,    9
   233, 15617,19450611,-9999,    9
   233, 15617,19450612,-9999,    9
   233, 15617,19450613,-9999,    9
   233, 15617,19450614,-9999,    9
   233, 15617,19450615,-9999,    9
   233, 15617,19450616,-9999,    9
   233, 15617,19450617,-9999,    9
   233, 15617,19450618,-9999,    9
   233, 15617,19450619,-9999,    9
   233, 15617,19450620,-9999,    9
   233, 15617,19450621,-9999,    9
   233, 15617,19450622,-9999,    9
   233, 15617,19450623,-9999,    9
   233, 15617,19450624,-9999,    9
   233, 15617,19450625,-9999,    9
   233, 15617,19450626,-9999,    9
   233, 15617,19450627,-9999,    9
   233, 15617,19450628,-9999,    9
   233, 15617,19450629,-9999,    9
   233, 15617,19450630,-9999,    9
   233, 15617,19450701,-9999,    9
   233, 15617,19450702,-9999,    9
   233, 15617,19450703,-9999,    9
   233, 15617,19450704,-9999,    9
   233, 15617,19450705,-9999,    9
   233, 15617,19450706,-9999,    9
   233, 15617,19450707,-9999,    9
   233, 15617,19450708,-9999,    9
   233, 15617,19450709,-9999,    9
   233, 15617,19450710,-9999,    9
   233, 15617,19450711,-9999,    9
   233, 15617,19450712,-9999,    9
   233, 15617,19450713,-9999,    9
   233, 15617,19450714,-9999,    9
   233, 15617,19450715,-9999,    9
   233, 15617,19450716,-9999,    9
   233, 15617,19450717,-9999,    9
   233, 15617,19450718,-9999,    9
   233, 15617,19450719,-9999,    9
   233, 15617,19450720,-9999,    9
   233, 15617,19450721,-9999,    9
   233, 15617,19450722,-9999,    9
   233, 15617,19450723,-9999,    9
   233, 15617,19450724,-9999,    9
   233, 15617,19450725,-9999,    9
   233, 15617,19450726,-9999,    9
   233, 15617,19450727,-9999,    9
   233, 15617,19450728,-9999,    9
   233, 15617,19450729,-9999,    9
   233, 15617,19450730,-9999,    9
   233, 15617,19450731,-9999,    9
   233, 15617,19450801,-9999,    9
   233, 15617,19450802,-9999,    9
   233, 15617,19450803,-9999,    9
   233, 15617,19450804,-9999,    9
   233, 15617,19450805,-9999,    9
   233, 15617,19450806,-9999,    9
   233, 15617,19450807,-9999,    9
   233, 15617,19450808,-9999,    9
   233, 15617,19450809,-9999,    9
   233, 15617,19450810,-9999,    9
   233, 15617,19450811,-9999,    9
   233, 15617,19450812,-9999,    9
   233, 15617,19450813,-9999,    9
   233, 15617,19450814,-9999,    9
   233, 15617,19450815,-9999,    9
   233, 15617,19450816,-9999,    9
   233, 15617,19450817,-9999,    9
   233, 15617,19450818,-9999,    9
   233, 15617,19450819,-9999,    9
   233, 15617,19450820,-9999,    9
   233, 15617,19450821,-9999,    9
   233, 15617,19450822,-9999,    9
   233, 15617,19450823,-9999,    9
   233, 15617,19450824,-9999,    9
   233, 15617,19450825,-9999,    9
   233, 15617,19450826,-9999,    9
   233, 15617,19450827,-9999,    9
   233, 15617,19450828,-9999,    9
   233, 15617,19450829,-9999,    9
   233, 15617,19450830,-9999,    9
   233, 15617,19450831,-9999,    9
   233, 15617,19450901,-9999,    9
   233, 15617,19450902,-9999,    9
   233, 15617,19450903,-9999,    9
   233, 15617,19450904,-9999,    9
   233, 15617,19450905,-9999,    9
   233, 15617,19450906,-9999,    9
   233, 15617,19450907,-9999,    9
   233, 15617,19450908,-9999,    9
   233, 15617,19450909,-9999,    9
   233, 15617,19450910,-9999,    9
   233, 15617,19450911,-9999,    9
   233, 15617,19450912,-9999,    9
   233, 15617,19450913,-9999,    9
   233, 15617,19450914,-9999,    9
   233, 15617,19450915,-9999,    9
   233, 15617,19450916,-9999,    9
   233, 15617,19450917,-9999,    9
   233, 15617,19450918,-9999,    9
   233, 15617,19450919,-9999,    9
   233, 15617,19450920,-9999,    9
   233, 15617,19450921,-9999,    9
   233, 15617,19450922,-9999,    9
   233, 15617,19450923,-9999,    9
   233, 15617,19450924,-9999,    9
   233, 15617,19450925,-9999,    9
   233, 15617,19450926,-9999,    9
   233, 15617,19450927,-9999,    9
   233, 15617,19450928,-9999,    9
   233, 15617,19450929,-9999,    9
   233, 15617,19450930,-9999,    9
   233, 15617,19451001,-9999,    9
   233, 15617,19451002,-9999,    9
   233, 15617,19451003,-9999,    9
   233, 15617,19451004,-9999,    9
   233, 15617,19451005,-9999,    9
   233, 15617,19451006,-9999,    9
   233, 15617,19451007,-9999,    9
   233, 15617,19451008,-9999,    9
   233, 15617,19451009,-9999,    9
   233, 15617,19451010,-9999,    9
   233, 15617,19451011,-9999,    9
   233, 15617,19451012,-9999,    9
   233, 15617,19451013,-9999,    9
   233, 15617,19451014,-9999,    9
   233, 15617,19451015,-9999,    9
   233, 15617,19451016,-9999,    9
   233, 15617,19451017,-9999,    9
   233, 15617,19451018,-9999,    9
   233, 15617,19451019,-9999,    9
   233, 15617,19451020,-9999,    9
   233, 15617,19451021,-9999,    9
   233, 15617,19451022,-9999,    9
   233, 15617,19451023,-9999,    9
   233, 15617,19451024,-9999,    9
   233, 15617,19451025,-9999,    9
   233, 15617,19451026,-9999,    9
   233, 15617,19451027,-9999,    9
   233, 15617,19451028,-9999,    9
   233, 15617,19451029,-9999,    9
   233, 15617,19451030,-9999,    9
   233, 15617,19451031,-9999,    9
   233, 15617,19451101,-9999,    9
   233, 15617,19451102,-9999,    9
   233, 15617,19451103,-9999,    9
   233, 15617,19451104,-9999,    9
   233, 15617,19451105,-9999,    9
   233, 15617,19451106,-9999,    9
   233, 15617,19451107,-9999,    9
   233, 15617,19451108,-9999,    9
   233, 15617,19451109,-9999,    9
   233, 15617,19451110,-9999,    9
   233, 15617,19451111,-9999,    9
   233, 15617,19451112,-9999,    9
   233, 15617,19451113,-9999,    9
   233, 15617,19451114,-9999,    9
   233, 15617,19451115,-9999,    9
   233, 15617,19451116,-9999,    9
   233, 15617,19451117,-9999,    9
   233, 15617,19451118,-9999,    9
   233, 15617,19451119,-9999,    9
   233, 15617,19451120,-9999,    9
   233, 15617,19451121,-9999,    9
   233, 15617,19451122,-9999,    9
   233, 15617,19451123,-9999,    9
   233, 15617,19451124,-9999,    9
   233, 15617,19451125,-9999,    9
   233, 15617,19451126,-9999,    9
   233, 15617,19451127,-9999,    9
   233, 15617,19451128,-9999,    9
   233, 15617,19451129,-9999,    9
   233, 15617,19451130,-9999,    9
   233, 15617,19451201,-9999,    9
   233, 15617,19451202,-9999,    9
   233, 15617,19451203,-9999,    9
   233, 15617,19451204,-9999,    9
   233, 15617,19451205,-9999,    9
   233, 15617,19451206,-9999,    9
   233, 15617,19451207,-9999,    9
   233, 15617,19451208,-9999,    9
   233, 15617,19451209,-9999,    9
   233, 15617,19451210,-9999,    9
   233, 15617,19451211,-9999,    9
   233, 15617,19451212,-9999,    9
   233, 15617,19451213,-9999,    9
   233, 15617,19451214,-9999,    9
   233, 15617,19451215,-9999,    9
   233, 15617,19451216,-9999,    9
   233, 15617,19451217,-9999,    9
   233, 15617,19451218,-9999,    9
   233, 15617,19451219,-9999,    9
   233, 15617,19451220,-9999,    9
   233, 15617,19451221,-9999,    9
   233, 15617,19451222,-9999,    9
   233, 15617,19451223,-9999,    9
   233, 15617,19451224,-9999,    9
   233, 15617,19451225,-9999,    9
   233, 15617,19451226,-9999,    9
   233, 15617,19451227,-9999,    9
   233, 15617,19451228,-9999,    9
   233, 15617,19451229,-9999,    9
   233, 15617,19451230,-9999,    9
   233, 15617,19451231,-9999,    9
   233, 15617,19460101,-9999,    9
   233, 15617,19460102,-9999,    9
   233, 15617,19460103,-9999,    9
   233, 15617,19460104,-9999,    9
   233, 15617,19460105,-9999,    9
   233, 15617,19460106,-9999,    9
   233, 15617,19460107,-9999,    9
   233, 15617,19460108,-9999,    9
   233, 15617,19460109,-9999,    9
   233, 15617,19460110,-9999,    9
   233, 15617,19460111,-9999,    9
   233, 15617,19460112,-9999,    9
   233, 15617,19460113,-9999,    9
   233, 15617,19460114,-9999,    9
   233, 15617,19460115,-9999,    9
   233, 15617,19460116,-9999,    9
   233, 15617,19460117,-9999,    9
   233, 15617,19460118,-9999,    9
   233, 15617,19460119,-9999,    9
   233, 15617,19460120,-9999,    9
   233, 15617,19460121,-9999,    9
   233, 15617,19460122,-9999,    9
   233, 15617,19460123,-9999,    9
   233, 15617,19460124,-9999,    9
   233, 15617,19460125,-9999,    9
   233, 15617,19460126,-9999,    9
   233, 15617,19460127,-9999,    9
   233, 15617,19460128,-9999,    9
   233, 15617,19460129,-9999,    9
   233, 15617,19460130,-9999,    9
   233, 15617,19460131,-9999,    9
   233, 15617,19460201,-9999,    9
   233, 15617,19460202,-9999,    9
   233, 15617,19460203,-9999,    9
   233, 15617,19460204,-9999,    9
   233, 15617,19460205,-9999,    9
   233, 15617,19460206,-9999,    9
   233, 15617,19460207,-9999,    9
   233, 15617,19460208,-9999,    9
   233, 15617,19460209,-9999,    9
   233, 15617,19460210,-9999,    9
   233, 15617,19460211,-9999,    9
   233, 15617,19460212,-9999,    9
   233, 15617,19460213,-9999,    9
   233, 15617,19460214,-9999,    9
   233, 15617,19460215,-9999,    9
   233, 15617,19460216,-9999,    9
   233, 15617,19460217,-9999,    9
   233, 15617,19460218,-9999,    9
   233, 15617,19460219,-9999,    9
   233, 15617,19460220,-9999,    9
   233, 15617,19460221,-9999,    9
   233, 15617,19460222,-9999,    9
   233, 15617,19460223,-9999,    9
   233, 15617,19460224,-9999,    9
   233, 15617,19460225,-9999,    9
   233, 15617,19460226,-9999,    9
   233, 15617,19460227,-9999,    9
   233, 15617,19460228,-9999,    9
   233, 15617,19460301,-9999,    9
   233, 15617,19460302,-9999,    9
   233, 15617,19460303,-9999,    9
   233, 15617,19460304,-9999,    9
   233, 15617,19460305,-9999,    9
   233, 15617,19460306,-9999,    9
   233, 15617,19460307,-9999,    9
   233, 15617,19460308,-9999,    9
   233, 15617,19460309,-9999,    9
   233, 15617,19460310,-9999,    9
   233, 15617,19460311,-9999,    9
   233, 15617,19460312,-9999,    9
   233, 15617,19460313,-9999,    9
   233, 15617,19460314,-9999,    9
   233, 15617,19460315,-9999,    9
   233, 15617,19460316,-9999,    9
   233, 15617,19460317,-9999,    9
   233, 15617,19460318,-9999,    9
   233, 15617,19460319,-9999,    9
   233, 15617,19460320,-9999,    9
   233, 15617,19460321,-9999,    9
   233, 15617,19460322,-9999,    9
   233, 15617,19460323,-9999,    9
   233, 15617,19460324,-9999,    9
   233, 15617,19460325,-9999,    9
   233, 15617,19460326,-9999,    9
   233, 15617,19460327,-9999,    9
   233, 15617,19460328,-9999,    9
   233, 15617,19460329,-9999,    9
   233, 15617,19460330,-9999,    9
   233, 15617,19460331,-9999,    9
   233, 15617,19460401,-9999,    9
   233, 15617,19460402,-9999,    9
   233, 15617,19460403,-9999,    9
   233, 15617,19460404,-9999,    9
   233, 15617,19460405,-9999,    9
   233, 15617,19460406,-9999,    9
   233, 15617,19460407,-9999,    9
   233, 15617,19460408,-9999,    9
   233, 15617,19460409,-9999,    9
   233, 15617,19460410,-9999,    9
   233, 15617,19460411,-9999,    9
   233, 15617,19460412,-9999,    9
   233, 15617,19460413,-9999,    9
   233, 15617,19460414,-9999,    9
   233, 15617,19460415,-9999,    9
   233, 15617,19460416,-9999,    9
   233, 15617,19460417,-9999,    9
   233, 15617,19460418,-9999,    9
   233, 15617,19460419,-9999,    9
   233, 15617,19460420,-9999,    9
   233, 15617,19460421,-9999,    9
   233, 15617,19460422,-9999,    9
   233, 15617,19460423,-9999,    9
   233, 15617,19460424,-9999,    9
   233, 15617,19460425,-9999,    9
   233, 15617,19460426,-9999,    9
   233, 15617,19460427,-9999,    9
   233, 15617,19460428,-9999,    9
   233, 15617,19460429,-9999,    9
   233, 15617,19460430,-9999,    9
   233, 15617,19460501,-9999,    9
   233, 15617,19460502,-9999,    9
   233, 15617,19460503,-9999,    9
   233, 15617,19460504,-9999,    9
   233, 15617,19460505,-9999,    9
   233, 15617,19460506,-9999,    9
   233, 15617,19460507,-9999,    9
   233, 15617,19460508,-9999,    9
   233, 15617,19460509,-9999,    9
   233, 15617,19460510,-9999,    9
   233, 15617,19460511,-9999,    9
   233, 15617,19460512,-9999,    9
   233, 15617,19460513,-9999,    9
   233, 15617,19460514,-9999,    9
   233, 15617,19460515,-9999,    9
   233, 15617,19460516,-9999,    9
   233, 15617,19460517,-9999,    9
   233, 15617,19460518,-9999,    9
   233, 15617,19460519,-9999,    9
   233, 15617,19460520,-9999,    9
   233, 15617,19460521,-9999,    9
   233, 15617,19460522,-9999,    9
   233, 15617,19460523,-9999,    9
   233, 15617,19460524,-9999,    9
   233, 15617,19460525,-9999,    9
   233, 15617,19460526,-9999,    9
   233, 15617,19460527,-9999,    9
   233, 15617,19460528,-9999,    9
   233, 15617,19460529,-9999,    9
   233, 15617,19460530,-9999,    9
   233, 15617,19460531,-9999,    9
