STAID,SOUID,DATE,FG,Q_FG
   234, 15619,19280101,-9999,    9
   234, 15619,19280102,-9999,    9
   234, 15619,19280103,-9999,    9
   234, 15619,19280104,-9999,    9
   234, 15619,19280105,-9999,    9
   234, 15619,19280106,-9999,    9
   234, 15619,19280107,-9999,    9
   234, 15619,19280108,-9999,    9
   234, 15619,19280109,-9999,    9
   234, 15619,19280110,-9999,    9
   234, 15619,19280111,-9999,    9
   234, 15619,19280112,-9999,    9
   234, 15619,19280113,-9999,    9
   234, 15619,19280114,-9999,    9
   234, 15619,19280115,-9999,    9
   234, 15619,19280116,-9999,    9
   234, 15619,19280117,-9999,    9
   234, 15619,19280118,-9999,    9
   234, 15619,19280119,-9999,    9
   234, 15619,19280120,-9999,    9
   234, 15619,19280121,-9999,    9
   234, 15619,19280122,-9999,    9
   234, 15619,19280123,-9999,    9
   234, 15619,19280124,-9999,    9
   234, 15619,19280125,-9999,    9
   234, 15619,19280126,-9999,    9
   234, 15619,19280127,-9999,    9
   234, 15619,19280128,-9999,    9
   234, 15619,19280129,-9999,    9
   234, 15619,19280130,-9999,    9
   234, 15619,19280131,-9999,    9
   234, 15619,19280201,-9999,    9
   234, 15619,19280202,-9999,    9
   234, 15619,19280203,-9999,    9
   234, 15619,19280204,-9999,    9
   234, 15619,19280205,-9999,    9
   234, 15619,19280206,-9999,    9
   234, 15619,19280207,-9999,    9
   234, 15619,19280208,-9999,    9
   234, 15619,19280209,-9999,    9
   234, 15619,19280210,-9999,    9
   234, 15619,19280211,-9999,    9
   234, 15619,19280212,-9999,    9
   234, 15619,19280213,-9999,    9
   234, 15619,19280214,-9999,    9
   234, 15619,19280215,-9999,    9
   234, 15619,19280216,-9999,    9
   234, 15619,19280217,-9999,    9
   234, 15619,19280218,-9999,    9
   234, 15619,19280219,-9999,    9
   234, 15619,19280220,-9999,    9
   234, 15619,19280221,-9999,    9
   234, 15619,19280222,-9999,    9
   234, 15619,19280223,-9999,    9
   234, 15619,19280224,-9999,    9
   234, 15619,19280225,-9999,    9
   234, 15619,19280226,-9999,    9
   234, 15619,19280227,-9999,    9
   234, 15619,19280228,-9999,    9
   234, 15619,19280229,-9999,    9
   234, 15619,19280301,-9999,    9
   234, 15619,19280302,-9999,    9
   234, 15619,19280303,-9999,    9
   234, 15619,19280304,-9999,    9
   234, 15619,19280305,-9999,    9
   234, 15619,19280306,-9999,    9
   234, 15619,19280307,-9999,    9
   234, 15619,19280308,-9999,    9
   234, 15619,19280309,-9999,    9
   234, 15619,19280310,-9999,    9
   234, 15619,19280311,-9999,    9
   234, 15619,19280312,-9999,    9
   234, 15619,19280313,-9999,    9
   234, 15619,19280314,-9999,    9
   234, 15619,19280315,-9999,    9
   234, 15619,19280316,-9999,    9
   234, 15619,19280317,-9999,    9
   234, 15619,19280318,-9999,    9
   234, 15619,19280319,-9999,    9
   234, 15619,19280320,-9999,    9
   234, 15619,19280321,-9999,    9
   234, 15619,19280322,-9999,    9
   234, 15619,19280323,-9999,    9
   234, 15619,19280324,-9999,    9
   234, 15619,19280325,-9999,    9
   234, 15619,19280326,-9999,    9
   234, 15619,19280327,-9999,    9
   234, 15619,19280328,-9999,    9
   234, 15619,19280329,-9999,    9
   234, 15619,19280330,-9999,    9
   234, 15619,19280331,-9999,    9
   234, 15619,19280401,-9999,    9
   234, 15619,19280402,-9999,    9
   234, 15619,19280403,-9999,    9
   234, 15619,19280404,-9999,    9
   234, 15619,19280405,-9999,    9
   234, 15619,19280406,-9999,    9
   234, 15619,19280407,-9999,    9
   234, 15619,19280408,-9999,    9
   234, 15619,19280409,-9999,    9
   234, 15619,19280410,-9999,    9
   234, 15619,19280411,-9999,    9
   234, 15619,19280412,-9999,    9
   234, 15619,19280413,-9999,    9
   234, 15619,19280414,-9999,    9
   234, 15619,19280415,-9999,    9
   234, 15619,19280416,-9999,    9
   234, 15619,19280417,-9999,    9
   234, 15619,19280418,-9999,    9
   234, 15619,19280419,-9999,    9
   234, 15619,19280420,-9999,    9
   234, 15619,19280421,-9999,    9
   234, 15619,19280422,-9999,    9
   234, 15619,19280423,-9999,    9
   234, 15619,19280424,-9999,    9
   234, 15619,19280425,-9999,    9
   234, 15619,19280426,-9999,    9
   234, 15619,19280427,-9999,    9
   234, 15619,19280428,-9999,    9
   234, 15619,19280429,-9999,    9
   234, 15619,19280430,-9999,    9
   234, 15619,19280501,-9999,    9
   234, 15619,19280502,-9999,    9
   234, 15619,19280503,-9999,    9
   234, 15619,19280504,-9999,    9
   234, 15619,19280505,-9999,    9
   234, 15619,19280506,-9999,    9
   234, 15619,19280507,-9999,    9
   234, 15619,19280508,-9999,    9
   234, 15619,19280509,-9999,    9
   234, 15619,19280510,-9999,    9
   234, 15619,19280511,-9999,    9
   234, 15619,19280512,-9999,    9
   234, 15619,19280513,-9999,    9
   234, 15619,19280514,-9999,    9
   234, 15619,19280515,-9999,    9
   234, 15619,19280516,-9999,    9
   234, 15619,19280517,-9999,    9
   234, 15619,19280518,-9999,    9
   234, 15619,19280519,-9999,    9
   234, 15619,19280520,-9999,    9
   234, 15619,19280521,-9999,    9
   234, 15619,19280522,-9999,    9
   234, 15619,19280523,-9999,    9
   234, 15619,19280524,-9999,    9
