STAID,SOUID,DATE,FG,Q_FG
   237, 15623,19371101,-9999,    9
   237, 15623,19371102,-9999,    9
   237, 15623,19371103,-9999,    9
   237, 15623,19371104,-9999,    9
   237, 15623,19371105,-9999,    9
   237, 15623,19371106,-9999,    9
   237, 15623,19371107,-9999,    9
   237, 15623,19371108,-9999,    9
   237, 15623,19371109,-9999,    9
   237, 15623,19371110,-9999,    9
   237, 15623,19371111,-9999,    9
   237, 15623,19371112,-9999,    9
   237, 15623,19371113,-9999,    9
   237, 15623,19371114,-9999,    9
   237, 15623,19371115,-9999,    9
   237, 15623,19371116,-9999,    9
   237, 15623,19371117,-9999,    9
   237, 15623,19371118,-9999,    9
   237, 15623,19371119,-9999,    9
   237, 15623,19371120,-9999,    9
   237, 15623,19371121,-9999,    9
   237, 15623,19371122,-9999,    9
   237, 15623,19371123,-9999,    9
   237, 15623,19371124,-9999,    9
   237, 15623,19371125,-9999,    9
   237, 15623,19371126,-9999,    9
   237, 15623,19371127,-9999,    9
   237, 15623,19371128,-9999,    9
   237, 15623,19371129,-9999,    9
   237, 15623,19371130,-9999,    9
   237, 15623,19371201,-9999,    9
   237, 15623,19371202,-9999,    9
   237, 15623,19371203,-9999,    9
   237, 15623,19371204,-9999,    9
   237, 15623,19371205,-9999,    9
   237, 15623,19371206,-9999,    9
   237, 15623,19371207,-9999,    9
   237, 15623,19371208,-9999,    9
   237, 15623,19371209,-9999,    9
   237, 15623,19371210,-9999,    9
   237, 15623,19371211,-9999,    9
   237, 15623,19371212,-9999,    9
   237, 15623,19371213,-9999,    9
   237, 15623,19371214,-9999,    9
   237, 15623,19371215,-9999,    9
   237, 15623,19371216,-9999,    9
   237, 15623,19371217,-9999,    9
   237, 15623,19371218,-9999,    9
   237, 15623,19371219,-9999,    9
   237, 15623,19371220,-9999,    9
   237, 15623,19371221,-9999,    9
   237, 15623,19371222,-9999,    9
   237, 15623,19371223,-9999,    9
   237, 15623,19371224,-9999,    9
   237, 15623,19371225,-9999,    9
   237, 15623,19371226,-9999,    9
   237, 15623,19371227,-9999,    9
   237, 15623,19371228,-9999,    9
   237, 15623,19371229,-9999,    9
   237, 15623,19371230,-9999,    9
   237, 15623,19371231,-9999,    9
   237, 15623,19380101,   86,    0
   237, 15623,19380102,   36,    0
   237, 15623,19380103,   28,    0
   237, 15623,19380104,    8,    0
   237, 15623,19380105,   17,    0
   237, 15623,19380106,   22,    0
   237, 15623,19380107,   31,    0
   237, 15623,19380108,   28,    0
   237, 15623,19380109,   75,    0
   237, 15623,19380110,   47,    0
   237, 15623,19380111,   33,    0
   237, 15623,19380112,   11,    0
   237, 15623,19380113,   11,    0
   237, 15623,19380114,    6,    0
   237, 15623,19380115,   36,    0
   237, 15623,19380116,    6,    0
   237, 15623,19380117,   11,    0
   237, 15623,19380118,    0,    0
   237, 15623,19380119,    8,    0
   237, 15623,19380120,    0,    0
   237, 15623,19380121,    3,    0
   237, 15623,19380122,   14,    0
   237, 15623,19380123,    3,    0
   237, 15623,19380124,    0,    0
   237, 15623,19380125,    0,    0
   237, 15623,19380126,    8,    0
   237, 15623,19380127,   61,    0
   237, 15623,19380128,   61,    0
   237, 15623,19380129,   36,    0
   237, 15623,19380130,   53,    0
   237, 15623,19380131,    6,    0
   237, 15623,19380201,    6,    0
