STAID,SOUID,DATE,FG,Q_FG
   238, 15625,19410101,-9999,    9
   238, 15625,19410102,-9999,    9
   238, 15625,19410103,-9999,    9
   238, 15625,19410104,-9999,    9
   238, 15625,19410105,-9999,    9
   238, 15625,19410106,-9999,    9
   238, 15625,19410107,-9999,    9
   238, 15625,19410108,-9999,    9
   238, 15625,19410109,-9999,    9
   238, 15625,19410110,-9999,    9
   238, 15625,19410111,-9999,    9
   238, 15625,19410112,-9999,    9
   238, 15625,19410113,-9999,    9
   238, 15625,19410114,-9999,    9
   238, 15625,19410115,-9999,    9
   238, 15625,19410116,-9999,    9
   238, 15625,19410117,-9999,    9
   238, 15625,19410118,-9999,    9
   238, 15625,19410119,-9999,    9
   238, 15625,19410120,-9999,    9
   238, 15625,19410121,-9999,    9
   238, 15625,19410122,-9999,    9
   238, 15625,19410123,-9999,    9
   238, 15625,19410124,-9999,    9
   238, 15625,19410125,-9999,    9
   238, 15625,19410126,-9999,    9
   238, 15625,19410127,-9999,    9
   238, 15625,19410128,-9999,    9
   238, 15625,19410129,-9999,    9
   238, 15625,19410130,-9999,    9
   238, 15625,19410131,-9999,    9
   238, 15625,19410201,-9999,    9
   238, 15625,19410202,-9999,    9
   238, 15625,19410203,-9999,    9
   238, 15625,19410204,-9999,    9
   238, 15625,19410205,-9999,    9
   238, 15625,19410206,-9999,    9
   238, 15625,19410207,-9999,    9
   238, 15625,19410208,-9999,    9
   238, 15625,19410209,-9999,    9
   238, 15625,19410210,-9999,    9
   238, 15625,19410211,-9999,    9
   238, 15625,19410212,-9999,    9
   238, 15625,19410213,-9999,    9
   238, 15625,19410214,-9999,    9
   238, 15625,19410215,-9999,    9
   238, 15625,19410216,-9999,    9
   238, 15625,19410217,-9999,    9
   238, 15625,19410218,-9999,    9
   238, 15625,19410219,-9999,    9
   238, 15625,19410220,-9999,    9
   238, 15625,19410221,-9999,    9
   238, 15625,19410222,-9999,    9
   238, 15625,19410223,-9999,    9
   238, 15625,19410224,-9999,    9
   238, 15625,19410225,-9999,    9
   238, 15625,19410226,-9999,    9
   238, 15625,19410227,-9999,    9
   238, 15625,19410228,-9999,    9
   238, 15625,19410301,-9999,    9
   238, 15625,19410302,-9999,    9
   238, 15625,19410303,-9999,    9
   238, 15625,19410304,-9999,    9
   238, 15625,19410305,-9999,    9
   238, 15625,19410306,-9999,    9
   238, 15625,19410307,-9999,    9
   238, 15625,19410308,-9999,    9
   238, 15625,19410309,-9999,    9
   238, 15625,19410310,-9999,    9
   238, 15625,19410311,-9999,    9
   238, 15625,19410312,-9999,    9
   238, 15625,19410313,-9999,    9
   238, 15625,19410314,-9999,    9
   238, 15625,19410315,-9999,    9
   238, 15625,19410316,-9999,    9
   238, 15625,19410317,-9999,    9
   238, 15625,19410318,-9999,    9
   238, 15625,19410319,-9999,    9
   238, 15625,19410320,-9999,    9
   238, 15625,19410321,-9999,    9
   238, 15625,19410322,-9999,    9
   238, 15625,19410323,-9999,    9
   238, 15625,19410324,-9999,    9
   238, 15625,19410325,-9999,    9
   238, 15625,19410326,-9999,    9
   238, 15625,19410327,-9999,    9
   238, 15625,19410328,-9999,    9
   238, 15625,19410329,-9999,    9
   238, 15625,19410330,-9999,    9
   238, 15625,19410331,-9999,    9
   238, 15625,19410401,-9999,    9
   238, 15625,19410402,-9999,    9
   238, 15625,19410403,-9999,    9
   238, 15625,19410404,-9999,    9
   238, 15625,19410405,-9999,    9
   238, 15625,19410406,-9999,    9
   238, 15625,19410407,-9999,    9
   238, 15625,19410408,-9999,    9
   238, 15625,19410409,-9999,    9
   238, 15625,19410410,-9999,    9
   238, 15625,19410411,-9999,    9
   238, 15625,19410412,-9999,    9
   238, 15625,19410413,-9999,    9
   238, 15625,19410414,-9999,    9
   238, 15625,19410415,-9999,    9
   238, 15625,19410416,-9999,    9
   238, 15625,19410417,-9999,    9
   238, 15625,19410418,-9999,    9
   238, 15625,19410419,-9999,    9
   238, 15625,19410420,-9999,    9
   238, 15625,19410421,-9999,    9
   238, 15625,19410422,-9999,    9
   238, 15625,19410423,-9999,    9
   238, 15625,19410424,-9999,    9
