STAID,SOUID,DATE,HU,Q_HU
   229,   995,19550101,   92,    0
   229,   995,19550102,   99,    0
   229,   995,19550103,   94,    0
   229,   995,19550104,   97,    0
   229,   995,19550105,   92,    0
   229,   995,19550106,   88,    0
   229,   995,19550107,   92,    0
   229,   995,19550108,   96,    0
   229,   995,19550109,   99,    0
   229,   995,19550110,   94,    0
   229,   995,19550111,   94,    0
   229,   995,19550112,   94,    0
   229,   995,19550113,   93,    0
   229,   995,19550114,   98,    0
   229,   995,19550115,   98,    0
   229,   995,19550116,   85,    0
   229,   995,19550117,   95,    0
   229,   995,19550118,   91,    0
   229,   995,19550119,   90,    0
   229,   995,19550120,   96,    0
   229,   995,19550121,   91,    0
   229,   995,19550122,   95,    0
   229,   995,19550123,   90,    0
   229,   995,19550124,   79,    0
   229,   995,19550125,   83,    0
   229,   995,19550126,   95,    0
   229,   995,19550127,   86,    0
   229,   995,19550128,   85,    0
   229,   995,19550129,   96,    0
   229,   995,19550130,   91,    0
   229,   995,19550131,   87,    0
   229,   995,19550201,   87,    0
   229,   995,19550202,   92,    0
   229,   995,19550203,   85,    0
   229,   995,19550204,   87,    0
   229,   995,19550205,   86,    0
   229,   995,19550206,   86,    0
   229,   995,19550207,   94,    0
   229,   995,19550208,   96,    0
   229,   995,19550209,   98,    0
   229,   995,19550210,   93,    0
   229,   995,19550211,   94,    0
   229,   995,19550212,   84,    0
   229,   995,19550213,   85,    0
   229,   995,19550214,   89,    0
   229,   995,19550215,   87,    0
   229,   995,19550216,   89,    0
   229,   995,19550217,   85,    0
   229,   995,19550218,   81,    0
   229,   995,19550219,   81,    0
   229,   995,19550220,   79,    0
   229,   995,19550221,   86,    0
   229,   995,19550222,   93,    0
   229,   995,19550223,   81,    0
   229,   995,19550224,   83,    0
   229,   995,19550225,   92,    0
   229,   995,19550226,   76,    0
   229,   995,19550227,   82,    0
   229,   995,19550228,   79,    0
   229,   995,19550301,   78,    0
   229,   995,19550302,   78,    0
   229,   995,19550303,   79,    0
   229,   995,19550304,   79,    0
   229,   995,19550305,   75,    0
   229,   995,19550306,   73,    0
   229,   995,19550307,   71,    0
   229,   995,19550308,   72,    0
   229,   995,19550309,   80,    0
   229,   995,19550310,   69,    0
   229,   995,19550311,   54,    0
   229,   995,19550312,   67,    0
   229,   995,19550313,   86,    0
   229,   995,19550314,   92,    0
   229,   995,19550315,   81,    0
   229,   995,19550316,   66,    0
   229,   995,19550317,   79,    0
   229,   995,19550318,   86,    0
   229,   995,19550319,   85,    0
   229,   995,19550320,   86,    0
   229,   995,19550321,   91,    0
   229,   995,19550322,   84,    0
   229,   995,19550323,   83,    0
   229,   995,19550324,   76,    0
   229,   995,19550325,   89,    0
   229,   995,19550326,   85,    0
   229,   995,19550327,   85,    0
   229,   995,19550328,   87,    0
   229,   995,19550329,   73,    0
   229,   995,19550330,   82,    0
   229,   995,19550331,   85,    0
   229,   995,19550401,-9999,    9
   229,   995,19550402,-9999,    9
   229,   995,19550403,-9999,    9
   229,   995,19550404,-9999,    9
   229,   995,19550405,-9999,    9
   229,   995,19550406,-9999,    9
   229,   995,19550407,-9999,    9
   229,   995,19550408,-9999,    9
   229,   995,19550409,-9999,    9
   229,   995,19550410,-9999,    9
   229,   995,19550411,-9999,    9
   229,   995,19550412,-9999,    9
   229,   995,19550413,-9999,    9
   229,   995,19550414,-9999,    9
   229,   995,19550415,-9999,    9
   229,   995,19550416,-9999,    9
   229,   995,19550417,-9999,    9
   229,   995,19550418,-9999,    9
   229,   995,19550419,-9999,    9
   229,   995,19550420,-9999,    9
   229,   995,19550421,-9999,    9
   229,   995,19550422,-9999,    9
   229,   995,19550423,-9999,    9
