STAID,SOUID,DATE,HU,Q_HU
   230,  1002,19200101,   79,    0
   230,  1002,19200102,   63,    0
   230,  1002,19200103,   81,    0
   230,  1002,19200104,   79,    0
   230,  1002,19200105,   71,    0
   230,  1002,19200106,   78,    0
   230,  1002,19200107,   73,    0
   230,  1002,19200108,   78,    0
   230,  1002,19200109,   82,    0
   230,  1002,19200110,   94,    0
   230,  1002,19200111,-9999,    9
   230,  1002,19200112,   98,    0
   230,  1002,19200113,   96,    0
   230,  1002,19200114,   88,    0
   230,  1002,19200115,   82,    0
   230,  1002,19200116,   81,    0
   230,  1002,19200117,   78,    0
   230,  1002,19200118,   78,    0
   230,  1002,19200119,-9999,    9
   230,  1002,19200120,   72,    0
   230,  1002,19200121,   77,    0
   230,  1002,19200122,   70,    0
   230,  1002,19200123,   64,    0
   230,  1002,19200124,   76,    0
   230,  1002,19200125,   77,    0
   230,  1002,19200126,   90,    0
   230,  1002,19200127,-9999,    9
   230,  1002,19200128,   89,    0
   230,  1002,19200129,   75,    0
   230,  1002,19200130,   92,    0
   230,  1002,19200131,   88,    0
   230,  1002,19200201,   78,    0
   230,  1002,19200202,   75,    0
   230,  1002,19200203,   81,    0
   230,  1002,19200204,   61,    0
   230,  1002,19200205,   72,    0
   230,  1002,19200206,   72,    0
   230,  1002,19200207,   76,    0
   230,  1002,19200208,   79,    0
   230,  1002,19200209,   61,    0
   230,  1002,19200210,   41,    0
   230,  1002,19200211,   53,    0
   230,  1002,19200212,   62,    0
   230,  1002,19200213,   68,    0
   230,  1002,19200214,   71,    0
   230,  1002,19200215,   76,    0
   230,  1002,19200216,   79,    0
   230,  1002,19200217,   76,    0
   230,  1002,19200218,   79,    0
   230,  1002,19200219,-9999,    9
   230,  1002,19200220,   96,    0
   230,  1002,19200221,   91,    0
   230,  1002,19200222,   79,    0
   230,  1002,19200223,   77,    0
   230,  1002,19200224,   84,    0
   230,  1002,19200225,   98,    0
   230,  1002,19200226,   92,    0
   230,  1002,19200227,   90,    0
   230,  1002,19200228,-9999,    9
   230,  1002,19200229,   81,    0
   230,  1002,19200301,-9999,    9
   230,  1002,19200302,   84,    0
   230,  1002,19200303,   71,    0
   230,  1002,19200304,   68,    0
   230,  1002,19200305,   81,    0
   230,  1002,19200306,-9999,    9
   230,  1002,19200307,-9999,    9
   230,  1002,19200308,   75,    0
   230,  1002,19200309,   48,    0
   230,  1002,19200310,   56,    0
   230,  1002,19200311,   60,    0
   230,  1002,19200312,-9999,    9
   230,  1002,19200313,   84,    0
   230,  1002,19200314,   62,    0
   230,  1002,19200315,-9999,    9
   230,  1002,19200316,-9999,    9
   230,  1002,19200317,   78,    0
   230,  1002,19200318,   80,    0
   230,  1002,19200319,   78,    0
   230,  1002,19200320,   67,    0
   230,  1002,19200321,   58,    0
   230,  1002,19200322,   53,    0
   230,  1002,19200323,   55,    0
   230,  1002,19200324,   55,    0
   230,  1002,19200325,   65,    0
   230,  1002,19200326,   69,    0
   230,  1002,19200327,   62,    0
   230,  1002,19200328,   79,    0
   230,  1002,19200329,-9999,    9
   230,  1002,19200330,   82,    0
   230,  1002,19200331,   61,    0
   230,  1002,19200401,   74,    0
   230,  1002,19200402,   52,    0
   230,  1002,19200403,   57,    0
   230,  1002,19200404,   64,    0
   230,  1002,19200405,   64,    0
   230,  1002,19200406,   67,    0
   230,  1002,19200407,   73,    0
   230,  1002,19200408,   82,    0
   230,  1002,19200409,   84,    0
   230,  1002,19200410,   84,    0
   230,  1002,19200411,   71,    0
   230,  1002,19200412,-9999,    9
   230,  1002,19200413,-9999,    9
   230,  1002,19200414,-9999,    9
   230,  1002,19200415,   77,    0
   230,  1002,19200416,   74,    0
   230,  1002,19200417,   80,    0
   230,  1002,19200418,   68,    0
   230,  1002,19200419,   64,    0
   230,  1002,19200420,   64,    0
   230,  1002,19200421,   48,    0
   230,  1002,19200422,   57,    0
   230,  1002,19200423,   58,    0
   230,  1002,19200424,   48,    0
   230,  1002,19200425,   49,    0
   230,  1002,19200426,   46,    0
   230,  1002,19200427,   45,    0
   230,  1002,19200428,   56,    0
   230,  1002,19200429,   58,    0
   230,  1002,19200430,   71,    0
   230,  1002,19200501,   64,    0
   230,  1002,19200502,   70,    0
   230,  1002,19200503,   71,    0
   230,  1002,19200504,   45,    0
   230,  1002,19200505,   35,    0
   230,  1002,19200506,   38,    0
   230,  1002,19200507,   44,    0
   230,  1002,19200508,   42,    0
   230,  1002,19200509,   45,    0
   230,  1002,19200510,   42,    0
   230,  1002,19200511,   44,    0
   230,  1002,19200512,   62,    0
   230,  1002,19200513,   70,    0
   230,  1002,19200514,   74,    0
   230,  1002,19200515,   71,    0
   230,  1002,19200516,   83,    0
   230,  1002,19200517,   71,    0
   230,  1002,19200518,   68,    0
   230,  1002,19200519,   68,    0
   230,  1002,19200520,   66,    0
   230,  1002,19200521,   66,    0
   230,  1002,19200522,   60,    0
   230,  1002,19200523,   76,    0
   230,  1002,19200524,   74,    0
   230,  1002,19200525,   72,    0
   230,  1002,19200526,   65,    0
   230,  1002,19200527,   57,    0
   230,  1002,19200528,   63,    0
   230,  1002,19200529,   67,    0
   230,  1002,19200530,   68,    0
   230,  1002,19200531,   66,    0
   230,  1002,19200601,   40,    0
   230,  1002,19200602,   54,    0
   230,  1002,19200603,   57,    0
   230,  1002,19200604,   51,    0
   230,  1002,19200605,   62,    0
   230,  1002,19200606,   61,    0
   230,  1002,19200607,-9999,    9
   230,  1002,19200608,   77,    0
   230,  1002,19200609,   58,    0
   230,  1002,19200610,   55,    0
   230,  1002,19200611,   71,    0
   230,  1002,19200612,   68,    0
   230,  1002,19200613,   55,    0
   230,  1002,19200614,   72,    0
   230,  1002,19200615,   62,    0
   230,  1002,19200616,   56,    0
   230,  1002,19200617,   41,    0
   230,  1002,19200618,   48,    0
   230,  1002,19200619,   46,    0
   230,  1002,19200620,   47,    0
   230,  1002,19200621,   45,    0
   230,  1002,19200622,   44,    0
   230,  1002,19200623,   47,    0
   230,  1002,19200624,   43,    0
   230,  1002,19200625,   47,    0
   230,  1002,19200626,   42,    0
   230,  1002,19200627,   61,    0
   230,  1002,19200628,   58,    0
   230,  1002,19200629,   60,    0
   230,  1002,19200630,   62,    0
   230,  1002,19200701,   53,    0
   230,  1002,19200702,   53,    0
   230,  1002,19200703,   48,    0
   230,  1002,19200704,   44,    0
   230,  1002,19200705,   44,    0
   230,  1002,19200706,   51,    0
   230,  1002,19200707,   49,    0
   230,  1002,19200708,   46,    0
   230,  1002,19200709,   37,    0
   230,  1002,19200710,   41,    0
   230,  1002,19200711,   46,    0
   230,  1002,19200712,   37,    0
   230,  1002,19200713,   28,    0
   230,  1002,19200714,   32,    0
   230,  1002,19200715,   34,    0
   230,  1002,19200716,   37,    0
   230,  1002,19200717,   37,    0
   230,  1002,19200718,-9999,    9
   230,  1002,19200719,   35,    0
   230,  1002,19200720,   51,    0
   230,  1002,19200721,   50,    0
