STAID,SOUID,DATE,HU,Q_HU
   231,  1006,19600101,-9999,    9
   231,  1006,19600102,-9999,    9
   231,  1006,19600103,-9999,    9
   231,  1006,19600104,-9999,    9
   231,  1006,19600105,-9999,    9
   231,  1006,19600106,-9999,    9
   231,  1006,19600107,-9999,    9
   231,  1006,19600108,-9999,    9
   231,  1006,19600109,-9999,    9
   231,  1006,19600110,-9999,    9
   231,  1006,19600111,-9999,    9
   231,  1006,19600112,-9999,    9
   231,  1006,19600113,-9999,    9
   231,  1006,19600114,-9999,    9
   231,  1006,19600115,-9999,    9
   231,  1006,19600116,-9999,    9
   231,  1006,19600117,-9999,    9
   231,  1006,19600118,-9999,    9
   231,  1006,19600119,-9999,    9
   231,  1006,19600120,-9999,    9
   231,  1006,19600121,-9999,    9
   231,  1006,19600122,-9999,    9
   231,  1006,19600123,-9999,    9
   231,  1006,19600124,-9999,    9
   231,  1006,19600125,-9999,    9
   231,  1006,19600126,-9999,    9
   231,  1006,19600127,-9999,    9
   231,  1006,19600128,-9999,    9
   231,  1006,19600129,-9999,    9
   231,  1006,19600130,-9999,    9
   231,  1006,19600131,-9999,    9
   231,  1006,19600201,-9999,    9
   231,  1006,19600202,-9999,    9
   231,  1006,19600203,-9999,    9
   231,  1006,19600204,-9999,    9
   231,  1006,19600205,-9999,    9
   231,  1006,19600206,-9999,    9
   231,  1006,19600207,-9999,    9
   231,  1006,19600208,-9999,    9
   231,  1006,19600209,-9999,    9
   231,  1006,19600210,-9999,    9
   231,  1006,19600211,-9999,    9
   231,  1006,19600212,-9999,    9
   231,  1006,19600213,-9999,    9
   231,  1006,19600214,-9999,    9
   231,  1006,19600215,-9999,    9
   231,  1006,19600216,-9999,    9
   231,  1006,19600217,-9999,    9
   231,  1006,19600218,-9999,    9
   231,  1006,19600219,-9999,    9
   231,  1006,19600220,-9999,    9
   231,  1006,19600221,-9999,    9
   231,  1006,19600222,-9999,    9
   231,  1006,19600223,-9999,    9
   231,  1006,19600224,-9999,    9
   231,  1006,19600225,-9999,    9
   231,  1006,19600226,-9999,    9
   231,  1006,19600227,-9999,    9
   231,  1006,19600228,-9999,    9
   231,  1006,19600229,-9999,    9
   231,  1006,19600301,-9999,    9
   231,  1006,19600302,-9999,    9
   231,  1006,19600303,-9999,    9
   231,  1006,19600304,-9999,    9
   231,  1006,19600305,-9999,    9
   231,  1006,19600306,-9999,    9
