STAID,SOUID,DATE,HU,Q_HU
   234,  1018,19500101,   82,    0
   234,  1018,19500102,   88,    0
   234,  1018,19500103,   87,    0
   234,  1018,19500104,   96,    0
   234,  1018,19500105,   80,    0
   234,  1018,19500106,   76,    0
   234,  1018,19500107,   35,    0
   234,  1018,19500108,   33,    0
   234,  1018,19500109,   70,    0
   234,  1018,19500110,   96,    0
   234,  1018,19500111,   95,    0
   234,  1018,19500112,   94,    0
   234,  1018,19500113,   85,    0
   234,  1018,19500114,   95,    0
   234,  1018,19500115,   96,    0
   234,  1018,19500116,   82,    0
   234,  1018,19500117,   81,    0
   234,  1018,19500118,   71,    0
   234,  1018,19500119,   75,    0
   234,  1018,19500120,   91,    0
   234,  1018,19500121,   92,    0
   234,  1018,19500122,   85,    0
   234,  1018,19500123,   82,    0
   234,  1018,19500124,   91,    0
   234,  1018,19500125,   77,    0
   234,  1018,19500126,   63,    0
   234,  1018,19500127,   67,    0
   234,  1018,19500128,   61,    0
   234,  1018,19500129,   80,    0
   234,  1018,19500130,   67,    0
   234,  1018,19500131,   70,    0
   234,  1018,19500201,   78,    0
   234,  1018,19500202,   42,    0
   234,  1018,19500203,   50,    0
   234,  1018,19500204,   54,    0
   234,  1018,19500205,   57,    0
   234,  1018,19500206,   67,    0
   234,  1018,19500207,   71,    0
   234,  1018,19500208,   80,    0
   234,  1018,19500209,   72,    0
   234,  1018,19500210,   63,    0
   234,  1018,19500211,   84,    0
   234,  1018,19500212,   55,    0
   234,  1018,19500213,   68,    0
   234,  1018,19500214,   69,    0
   234,  1018,19500215,   65,    0
   234,  1018,19500216,   40,    0
   234,  1018,19500217,   32,    0
   234,  1018,19500218,   43,    0
   234,  1018,19500219,   54,    0
   234,  1018,19500220,   58,    0
   234,  1018,19500221,   97,    0
   234,  1018,19500222,   89,    0
   234,  1018,19500223,   81,    0
   234,  1018,19500224,   54,    0
   234,  1018,19500225,   68,    0
   234,  1018,19500226,   81,    0
   234,  1018,19500227,   94,    0
   234,  1018,19500228,   87,    0
   234,  1018,19500301,   68,    0
   234,  1018,19500302,   57,    0
   234,  1018,19500303,   67,    0
   234,  1018,19500304,   80,    0
   234,  1018,19500305,   90,    0
   234,  1018,19500306,   43,    0
   234,  1018,19500307,   38,    0
   234,  1018,19500308,   50,    0
   234,  1018,19500309,   58,    0
   234,  1018,19500310,   96,    0
   234,  1018,19500311,   82,    0
   234,  1018,19500312,   77,    0
   234,  1018,19500313,   69,    0
   234,  1018,19500314,   55,    0
   234,  1018,19500315,   37,    0
   234,  1018,19500316,   61,    0
   234,  1018,19500317,   76,    0
   234,  1018,19500318,   72,    0
   234,  1018,19500319,   87,    0
   234,  1018,19500320,   81,    0
   234,  1018,19500321,   84,    0
   234,  1018,19500322,  100,    0
   234,  1018,19500323,   81,    0
   234,  1018,19500324,   98,    0
   234,  1018,19500325,   68,    0
   234,  1018,19500326,   96,    0
   234,  1018,19500327,   91,    0
   234,  1018,19500328,   74,    0
   234,  1018,19500329,   92,    0
   234,  1018,19500330,   69,    0
   234,  1018,19500331,   65,    0
   234,  1018,19500401,   90,    0
   234,  1018,19500402,   95,    0
   234,  1018,19500403,   80,    0
   234,  1018,19500404,   92,    0
   234,  1018,19500405,   87,    0
   234,  1018,19500406,   46,    0
   234,  1018,19500407,   43,    0
   234,  1018,19500408,   73,    0
   234,  1018,19500409,   93,    0
   234,  1018,19500410,   81,    0
   234,  1018,19500411,   81,    0
   234,  1018,19500412,   81,    0
   234,  1018,19500413,   90,    0
   234,  1018,19500414,   85,    0
   234,  1018,19500415,   91,    0
   234,  1018,19500416,   84,    0
   234,  1018,19500417,   76,    0
   234,  1018,19500418,   93,    0
   234,  1018,19500419,   94,    0
   234,  1018,19500420,   91,    0
   234,  1018,19500421,   87,    0
   234,  1018,19500422,   92,    0
   234,  1018,19500423,   94,    0
   234,  1018,19500424,   88,    0
   234,  1018,19500425,   68,    0
   234,  1018,19500426,   74,    0
   234,  1018,19500427,   88,    0
   234,  1018,19500428,   84,    0
   234,  1018,19500429,   71,    0
   234,  1018,19500430,   56,    0
   234,  1018,19500501,   89,    0
   234,  1018,19500502,   87,    0
   234,  1018,19500503,   84,    0
   234,  1018,19500504,   81,    0
   234,  1018,19500505,   73,    0
   234,  1018,19500506,   76,    0
   234,  1018,19500507,   82,    0
   234,  1018,19500508,   90,    0
   234,  1018,19500509,   95,    0
   234,  1018,19500510,   78,    0
   234,  1018,19500511,   59,    0
   234,  1018,19500512,   59,    0
   234,  1018,19500513,   93,    0
   234,  1018,19500514,   74,    0
   234,  1018,19500515,   85,    0
   234,  1018,19500516,   77,    0
   234,  1018,19500517,   67,    0
   234,  1018,19500518,   77,    0
   234,  1018,19500519,   57,    0
   234,  1018,19500520,   49,    0
   234,  1018,19500521,   72,    0
   234,  1018,19500522,   60,    0
   234,  1018,19500523,   77,    0
   234,  1018,19500524,   59,    0
   234,  1018,19500525,   55,    0
   234,  1018,19500526,   85,    0
   234,  1018,19500527,   84,    0
   234,  1018,19500528,   88,    0
   234,  1018,19500529,   83,    0
   234,  1018,19500530,   92,    0
   234,  1018,19500531,   98,    0
   234,  1018,19500601,   84,    0
   234,  1018,19500602,   93,    0
   234,  1018,19500603,   84,    0
   234,  1018,19500604,   79,    0
   234,  1018,19500605,   74,    0
   234,  1018,19500606,   96,    0
   234,  1018,19500607,   91,    0
   234,  1018,19500608,   47,    0
   234,  1018,19500609,   62,    0
   234,  1018,19500610,   73,    0
   234,  1018,19500611,   91,    0
   234,  1018,19500612,   83,    0
   234,  1018,19500613,   90,    0
   234,  1018,19500614,   84,    0
   234,  1018,19500615,   79,    0
   234,  1018,19500616,   78,    0
   234,  1018,19500617,   84,    0
   234,  1018,19500618,   75,    0
   234,  1018,19500619,   86,    0
   234,  1018,19500620,   86,    0
   234,  1018,19500621,   78,    0
   234,  1018,19500622,   85,    0
   234,  1018,19500623,   81,    0
   234,  1018,19500624,   78,    0
   234,  1018,19500625,   87,    0
   234,  1018,19500626,   79,    0
   234,  1018,19500627,   83,    0
   234,  1018,19500628,   80,    0
   234,  1018,19500629,   40,    0
   234,  1018,19500630,   94,    0
   234,  1018,19500701,   89,    0
   234,  1018,19500702,   89,    0
   234,  1018,19500703,   60,    0
   234,  1018,19500704,   91,    0
   234,  1018,19500705,   87,    0
   234,  1018,19500706,   83,    0
   234,  1018,19500707,   73,    0
   234,  1018,19500708,   72,    0
   234,  1018,19500709,   86,    0
   234,  1018,19500710,   79,    0
   234,  1018,19500711,   76,    0
   234,  1018,19500712,   79,    0
   234,  1018,19500713,   83,    0
   234,  1018,19500714,   78,    0
   234,  1018,19500715,   73,    0
   234,  1018,19500716,   89,    0
   234,  1018,19500717,   80,    0
   234,  1018,19500718,   76,    0
   234,  1018,19500719,   85,    0
   234,  1018,19500720,   86,    0
   234,  1018,19500721,   92,    0
   234,  1018,19500722,   80,    0
   234,  1018,19500723,   77,    0
   234,  1018,19500724,   81,    0
   234,  1018,19500725,   90,    0
   234,  1018,19500726,   86,    0
   234,  1018,19500727,   92,    0
   234,  1018,19500728,   91,    0
   234,  1018,19500729,   78,    0
   234,  1018,19500730,   80,    0
   234,  1018,19500731,   81,    0
   234,  1018,19500801,   88,    0
   234,  1018,19500802,   79,    0
   234,  1018,19500803,   80,    0
   234,  1018,19500804,   76,    0
   234,  1018,19500805,   70,    0
   234,  1018,19500806,   81,    0
   234,  1018,19500807,   90,    0
   234,  1018,19500808,   80,    0
   234,  1018,19500809,   82,    0
   234,  1018,19500810,   99,    0
   234,  1018,19500811,   84,    0
   234,  1018,19500812,   85,    0
   234,  1018,19500813,   81,    0
   234,  1018,19500814,   87,    0
   234,  1018,19500815,   88,    0
   234,  1018,19500816,   88,    0
   234,  1018,19500817,   86,    0
   234,  1018,19500818,   81,    0
   234,  1018,19500819,   73,    0
   234,  1018,19500820,   60,    0
   234,  1018,19500821,   75,    0
   234,  1018,19500822,   83,    0
   234,  1018,19500823,   93,    0
   234,  1018,19500824,   78,    0
   234,  1018,19500825,   83,    0
   234,  1018,19500826,   76,    0
   234,  1018,19500827,   86,    0
   234,  1018,19500828,   95,    0
   234,  1018,19500829,   78,    0
   234,  1018,19500830,   81,    0
   234,  1018,19500831,   81,    0
   234,  1018,19500901,   77,    0
   234,  1018,19500902,   95,    0
   234,  1018,19500903,   79,    0
   234,  1018,19500904,   84,    0
   234,  1018,19500905,   97,    0
   234,  1018,19500906,   85,    0
   234,  1018,19500907,   75,    0
   234,  1018,19500908,   91,    0
   234,  1018,19500909,   88,    0
   234,  1018,19500910,   96,    0
   234,  1018,19500911,   86,    0
   234,  1018,19500912,   91,    0
   234,  1018,19500913,   88,    0
   234,  1018,19500914,   87,    0
   234,  1018,19500915,   69,    0
   234,  1018,19500916,   59,    0
   234,  1018,19500917,   92,    0
   234,  1018,19500918,   79,    0
   234,  1018,19500919,   84,    0
   234,  1018,19500920,   85,    0
   234,  1018,19500921,   86,    0
   234,  1018,19500922,   81,    0
   234,  1018,19500923,   79,    0
   234,  1018,19500924,   74,    0
   234,  1018,19500925,   88,    0
   234,  1018,19500926,   90,    0
   234,  1018,19500927,   86,    0
   234,  1018,19500928,   85,    0
   234,  1018,19500929,   70,    0
   234,  1018,19500930,   71,    0
