STAID,SOUID,DATE,HU,Q_HU
   238,  1030,19500101,-9999,    9
   238,  1030,19500102,-9999,    9
   238,  1030,19500103,-9999,    9
   238,  1030,19500104,-9999,    9
   238,  1030,19500105,-9999,    9
   238,  1030,19500106,-9999,    9
   238,  1030,19500107,-9999,    9
   238,  1030,19500108,-9999,    9
   238,  1030,19500109,-9999,    9
   238,  1030,19500110,-9999,    9
   238,  1030,19500111,-9999,    9
   238,  1030,19500112,-9999,    9
   238,  1030,19500113,-9999,    9
   238,  1030,19500114,-9999,    9
   238,  1030,19500115,-9999,    9
   238,  1030,19500116,-9999,    9
   238,  1030,19500117,-9999,    9
   238,  1030,19500118,-9999,    9
   238,  1030,19500119,-9999,    9
   238,  1030,19500120,-9999,    9
   238,  1030,19500121,-9999,    9
   238,  1030,19500122,-9999,    9
   238,  1030,19500123,-9999,    9
   238,  1030,19500124,-9999,    9
   238,  1030,19500125,-9999,    9
   238,  1030,19500126,-9999,    9
   238,  1030,19500127,-9999,    9
   238,  1030,19500128,-9999,    9
   238,  1030,19500129,-9999,    9
   238,  1030,19500130,-9999,    9
   238,  1030,19500131,-9999,    9
   238,  1030,19500201,-9999,    9
   238,  1030,19500202,-9999,    9
   238,  1030,19500203,-9999,    9
   238,  1030,19500204,-9999,    9
   238,  1030,19500205,-9999,    9
   238,  1030,19500206,-9999,    9
   238,  1030,19500207,-9999,    9
   238,  1030,19500208,-9999,    9
   238,  1030,19500209,-9999,    9
   238,  1030,19500210,-9999,    9
   238,  1030,19500211,-9999,    9
   238,  1030,19500212,-9999,    9
   238,  1030,19500213,-9999,    9
   238,  1030,19500214,-9999,    9
   238,  1030,19500215,-9999,    9
   238,  1030,19500216,-9999,    9
   238,  1030,19500217,-9999,    9
   238,  1030,19500218,-9999,    9
   238,  1030,19500219,-9999,    9
   238,  1030,19500220,-9999,    9
   238,  1030,19500221,-9999,    9
   238,  1030,19500222,-9999,    9
   238,  1030,19500223,-9999,    9
