STAID,SOUID,DATE,RR,Q_RR
   230,   710,19200101,    0,    0
   230,   710,19200102,    0,    0
   230,   710,19200103,   14,    0
   230,   710,19200104,    0,    0
   230,   710,19200105,    0,    0
   230,   710,19200106,    0,    0
   230,   710,19200107,    0,    0
   230,   710,19200108,    0,    0
   230,   710,19200109,    0,    0
   230,   710,19200110,    0,    0
   230,   710,19200111,    0,    0
   230,   710,19200112,    2,    0
   230,   710,19200113,    0,    0
   230,   710,19200114,    0,    0
   230,   710,19200115,    0,    0
   230,   710,19200116,    0,    0
   230,   710,19200117,    0,    0
   230,   710,19200118,    0,    0
   230,   710,19200119,    0,    0
   230,   710,19200120,    0,    0
   230,   710,19200121,    0,    0
   230,   710,19200122,    0,    0
   230,   710,19200123,    0,    0
   230,   710,19200124,    0,    0
   230,   710,19200125,    0,    0
   230,   710,19200126,    8,    0
   230,   710,19200127,    0,    0
   230,   710,19200128,    4,    0
   230,   710,19200129,    0,    0
   230,   710,19200130,    0,    0
   230,   710,19200131,    0,    0
   230,   710,19200201,    0,    0
   230,   710,19200202,    0,    0
   230,   710,19200203,    0,    0
   230,   710,19200204,    0,    0
   230,   710,19200205,    0,    0
   230,   710,19200206,    0,    0
   230,   710,19200207,    0,    0
   230,   710,19200208,    0,    0
   230,   710,19200209,    0,    0
   230,   710,19200210,    0,    0
   230,   710,19200211,    0,    0
   230,   710,19200212,    0,    0
   230,   710,19200213,    0,    0
   230,   710,19200214,    0,    0
   230,   710,19200215,    0,    0
   230,   710,19200216,   15,    0
   230,   710,19200217,   25,    0
   230,   710,19200218,  245,    0
   230,   710,19200219,  262,    0
   230,   710,19200220,  144,    0
   230,   710,19200221,    1,    0
   230,   710,19200222,    0,    0
   230,   710,19200223,    0,    0
   230,   710,19200224,   77,    0
   230,   710,19200225,   19,    0
   230,   710,19200226,   60,    0
   230,   710,19200227,   18,    0
   230,   710,19200228,   28,    0
   230,   710,19200229,    0,    0
   230,   710,19200301,    5,    0
   230,   710,19200302,   39,    0
   230,   710,19200303,   31,    0
   230,   710,19200304,    0,    0
   230,   710,19200305,    0,    0
   230,   710,19200306,    0,    0
   230,   710,19200307,   82,    0
   230,   710,19200308,    6,    0
   230,   710,19200309,    0,    0
   230,   710,19200310,    0,    0
   230,   710,19200311,    0,    0
   230,   710,19200312,    0,    0
   230,   710,19200313,    0,    0
   230,   710,19200314,    6,    0
