STAID,SOUID,DATE,RR,Q_RR
   231,   713,19420101,-9999,    9
   231,   713,19420102,-9999,    9
   231,   713,19420103,-9999,    9
   231,   713,19420104,-9999,    9
   231,   713,19420105,-9999,    9
   231,   713,19420106,-9999,    9
   231,   713,19420107,-9999,    9
   231,   713,19420108,-9999,    9
   231,   713,19420109,-9999,    9
   231,   713,19420110,-9999,    9
   231,   713,19420111,-9999,    9
   231,   713,19420112,-9999,    9
   231,   713,19420113,-9999,    9
   231,   713,19420114,-9999,    9
   231,   713,19420115,-9999,    9
   231,   713,19420116,-9999,    9
   231,   713,19420117,-9999,    9
   231,   713,19420118,-9999,    9
   231,   713,19420119,-9999,    9
   231,   713,19420120,-9999,    9
   231,   713,19420121,-9999,    9
   231,   713,19420122,-9999,    9
   231,   713,19420123,-9999,    9
   231,   713,19420124,-9999,    9
   231,   713,19420125,-9999,    9
   231,   713,19420126,-9999,    9
   231,   713,19420127,-9999,    9
   231,   713,19420128,-9999,    9
   231,   713,19420129,-9999,    9
   231,   713,19420130,-9999,    9
   231,   713,19420131,-9999,    9
   231,   713,19420201,-9999,    9
   231,   713,19420202,-9999,    9
   231,   713,19420203,-9999,    9
   231,   713,19420204,-9999,    9
   231,   713,19420205,-9999,    9
   231,   713,19420206,-9999,    9
   231,   713,19420207,-9999,    9
   231,   713,19420208,-9999,    9
   231,   713,19420209,-9999,    9
   231,   713,19420210,-9999,    9
   231,   713,19420211,-9999,    9
   231,   713,19420212,-9999,    9
   231,   713,19420213,-9999,    9
   231,   713,19420214,-9999,    9
   231,   713,19420215,-9999,    9
   231,   713,19420216,-9999,    9
   231,   713,19420217,-9999,    9
   231,   713,19420218,-9999,    9
   231,   713,19420219,-9999,    9
   231,   713,19420220,-9999,    9
   231,   713,19420221,-9999,    9
   231,   713,19420222,-9999,    9
   231,   713,19420223,-9999,    9
   231,   713,19420224,-9999,    9
   231,   713,19420225,-9999,    9
   231,   713,19420226,-9999,    9
   231,   713,19420227,-9999,    9
   231,   713,19420228,-9999,    9
   231,   713,19420301,-9999,    9
   231,   713,19420302,-9999,    9
   231,   713,19420303,-9999,    9
   231,   713,19420304,-9999,    9
   231,   713,19420305,-9999,    9
   231,   713,19420306,-9999,    9
   231,   713,19420307,-9999,    9
   231,   713,19420308,-9999,    9
   231,   713,19420309,-9999,    9
   231,   713,19420310,-9999,    9
   231,   713,19420311,-9999,    9
   231,   713,19420312,-9999,    9
   231,   713,19420313,-9999,    9
   231,   713,19420314,-9999,    9
   231,   713,19420315,-9999,    9
   231,   713,19420316,-9999,    9
   231,   713,19420317,-9999,    9
   231,   713,19420318,-9999,    9
   231,   713,19420319,-9999,    9
   231,   713,19420320,-9999,    9
   231,   713,19420321,-9999,    9
   231,   713,19420322,-9999,    9
   231,   713,19420323,-9999,    9
   231,   713,19420324,-9999,    9
   231,   713,19420325,-9999,    9
   231,   713,19420326,-9999,    9
   231,   713,19420327,-9999,    9
   231,   713,19420328,-9999,    9
   231,   713,19420329,-9999,    9
   231,   713,19420330,-9999,    9
   231,   713,19420331,-9999,    9
   231,   713,19420401,-9999,    9
   231,   713,19420402,-9999,    9
   231,   713,19420403,-9999,    9
   231,   713,19420404,-9999,    9
   231,   713,19420405,-9999,    9
   231,   713,19420406,-9999,    9
   231,   713,19420407,-9999,    9
   231,   713,19420408,-9999,    9
   231,   713,19420409,-9999,    9
   231,   713,19420410,-9999,    9
   231,   713,19420411,-9999,    9
   231,   713,19420412,-9999,    9
   231,   713,19420413,-9999,    9
   231,   713,19420414,-9999,    9
   231,   713,19420415,-9999,    9
   231,   713,19420416,-9999,    9
   231,   713,19420417,-9999,    9
   231,   713,19420418,-9999,    9
   231,   713,19420419,-9999,    9
   231,   713,19420420,-9999,    9
   231,   713,19420421,-9999,    9
   231,   713,19420422,-9999,    9
