STAID,SOUID,DATE,RR,Q_RR
   232,   716,19460101,   10,    0
   232,   716,19460102,    0,    0
   232,   716,19460103,    0,    0
   232,   716,19460104,    0,    0
   232,   716,19460105,    0,    0
   232,   716,19460106,    0,    0
   232,   716,19460107,    0,    0
   232,   716,19460108,    0,    0
   232,   716,19460109,    0,    0
   232,   716,19460110,    0,    0
   232,   716,19460111,    0,    0
   232,   716,19460112,    0,    0
   232,   716,19460113,    0,    0
   232,   716,19460114,    0,    0
   232,   716,19460115,    0,    0
   232,   716,19460116,   30,    0
   232,   716,19460117,  120,    0
   232,   716,19460118,   20,    0
   232,   716,19460119,   20,    0
   232,   716,19460120,    0,    0
   232,   716,19460121,    0,    0
   232,   716,19460122,    0,    0
   232,   716,19460123,   20,    0
   232,   716,19460124,    0,    0
   232,   716,19460125,    0,    0
   232,   716,19460126,    0,    0
   232,   716,19460127,    0,    0
   232,   716,19460128,    0,    0
   232,   716,19460129,    0,    0
   232,   716,19460130,   60,    0
   232,   716,19460131,    0,    0
   232,   716,19460201,    0,    0
   232,   716,19460202,   20,    0
   232,   716,19460203,    0,    0
   232,   716,19460204,    0,    0
   232,   716,19460205,    0,    0
   232,   716,19460206,    0,    0
   232,   716,19460207,    0,    0
   232,   716,19460208,    0,    0
   232,   716,19460209,    0,    0
   232,   716,19460210,    0,    0
   232,   716,19460211,    0,    0
   232,   716,19460212,    0,    0
   232,   716,19460213,    0,    0
   232,   716,19460214,    0,    0
   232,   716,19460215,    0,    0
   232,   716,19460216,    0,    0
   232,   716,19460217,    0,    0
   232,   716,19460218,    0,    0
   232,   716,19460219,    0,    0
   232,   716,19460220,    0,    0
   232,   716,19460221,    0,    0
   232,   716,19460222,    0,    0
   232,   716,19460223,    0,    0
   232,   716,19460224,    0,    0
   232,   716,19460225,    0,    0
   232,   716,19460226,    0,    0
   232,   716,19460227,   40,    0
   232,   716,19460228,  100,    0
   232,   716,19460301,   20,    0
   232,   716,19460302,   60,    0
   232,   716,19460303,    0,    0
   232,   716,19460304,  100,    0
   232,   716,19460305,   20,    0
   232,   716,19460306,   80,    0
   232,   716,19460307,   80,    0
   232,   716,19460308,   20,    0
   232,   716,19460309,   40,    0
   232,   716,19460310,   60,    0
   232,   716,19460311,   20,    0
   232,   716,19460312,   80,    0
   232,   716,19460313,   60,    0
   232,   716,19460314,   60,    0
   232,   716,19460315,   20,    0
   232,   716,19460316,   20,    0
   232,   716,19460317,    0,    0
   232,   716,19460318,    0,    0
   232,   716,19460319,    0,    0
   232,   716,19460320,    0,    0
   232,   716,19460321,    0,    0
   232,   716,19460322,    0,    0
   232,   716,19460323,    0,    0
   232,   716,19460324,    0,    0
   232,   716,19460325,    0,    0
   232,   716,19460326,   20,    0
   232,   716,19460327,    0,    0
   232,   716,19460328,    0,    0
   232,   716,19460329,    0,    0
   232,   716,19460330,    0,    0
   232,   716,19460331,   20,    0
   232,   716,19460401,   40,    0
   232,   716,19460402,   30,    0
   232,   716,19460403,  220,    0
   232,   716,19460404,  220,    0
   232,   716,19460405,   40,    0
   232,   716,19460406,   80,    0
   232,   716,19460407,   10,    0
   232,   716,19460408,    0,    0
   232,   716,19460409,    0,    0
   232,   716,19460410,  440,    0
   232,   716,19460411,  100,    0
   232,   716,19460412,  360,    0
   232,   716,19460413,  240,    0
   232,   716,19460414,  230,    0
   232,   716,19460415,   80,    0
   232,   716,19460416,    0,    0
   232,   716,19460417,    0,    0
   232,   716,19460418,   10,    0
   232,   716,19460419,   20,    0
   232,   716,19460420,  160,    0
   232,   716,19460421,  240,    0
   232,   716,19460422,   60,    0
   232,   716,19460423,   20,    0
   232,   716,19460424,   40,    0
   232,   716,19460425,    0,    0
   232,   716,19460426,   20,    0
   232,   716,19460427,   60,    0
   232,   716,19460428,   60,    0
   232,   716,19460429,   60,    0
   232,   716,19460430,   80,    0
   232,   716,19460501,  700,    0
   232,   716,19460502,   20,    0
   232,   716,19460503,    0,    0
   232,   716,19460504,   20,    0
   232,   716,19460505,  260,    0
   232,   716,19460506,   60,    0
   232,   716,19460507,   20,    0
   232,   716,19460508,   20,    0
   232,   716,19460509,   80,    0
   232,   716,19460510,   80,    0
   232,   716,19460511,  100,    0
   232,   716,19460512,   20,    0
   232,   716,19460513,  250,    0
   232,   716,19460514,  300,    0
   232,   716,19460515,   40,    0
   232,   716,19460516,    0,    0
   232,   716,19460517,   10,    0
   232,   716,19460518,    0,    0
   232,   716,19460519,   60,    0
   232,   716,19460520,   80,    0
   232,   716,19460521,  100,    0
   232,   716,19460522,    0,    0
   232,   716,19460523,    0,    0
   232,   716,19460524,    0,    0
   232,   716,19460525,   80,    0
   232,   716,19460526,   80,    0
   232,   716,19460527,    0,    0
   232,   716,19460528,   40,    0
   232,   716,19460529,   50,    0
   232,   716,19460530,    0,    0
   232,   716,19460531,    0,    0
   232,   716,19460601,    0,    0
   232,   716,19460602,   80,    0
   232,   716,19460603,    0,    0
   232,   716,19460604,    0,    0
   232,   716,19460605,    0,    0
   232,   716,19460606,    0,    0
   232,   716,19460607,    0,    0
   232,   716,19460608,  140,    0
   232,   716,19460609,    0,    0
   232,   716,19460610,    0,    0
   232,   716,19460611,    0,    0
   232,   716,19460612,    0,    0
   232,   716,19460613,    0,    0
   232,   716,19460614,    0,    0
   232,   716,19460615,    0,    0
   232,   716,19460616,    0,    0
   232,   716,19460617,    0,    0
   232,   716,19460618,    0,    0
   232,   716,19460619,    0,    0
   232,   716,19460620,    0,    0
   232,   716,19460621,    0,    0
   232,   716,19460622,    0,    0
   232,   716,19460623,    0,    0
   232,   716,19460624,    0,    0
   232,   716,19460625,    0,    0
   232,   716,19460626,    0,    0
   232,   716,19460627,    0,    0
   232,   716,19460628,    0,    0
   232,   716,19460629,    0,    0
   232,   716,19460630,    0,    0
   232,   716,19460701,    0,    0
   232,   716,19460702,    0,    0
   232,   716,19460703,    0,    0
   232,   716,19460704,    0,    0
   232,   716,19460705,    0,    0
   232,   716,19460706,    0,    0
   232,   716,19460707,    0,    0
   232,   716,19460708,    0,    0
   232,   716,19460709,    0,    0
   232,   716,19460710,    0,    0
   232,   716,19460711,    0,    0
   232,   716,19460712,    0,    0
   232,   716,19460713,    0,    0
   232,   716,19460714,    0,    0
   232,   716,19460715,    0,    0
   232,   716,19460716,    0,    0
   232,   716,19460717,    0,    0
   232,   716,19460718,    0,    0
   232,   716,19460719,    0,    0
   232,   716,19460720,    0,    0
   232,   716,19460721,    0,    0
   232,   716,19460722,    0,    0
   232,   716,19460723,    0,    0
   232,   716,19460724,    0,    0
   232,   716,19460725,    0,    0
   232,   716,19460726,    0,    0
   232,   716,19460727,    0,    0
   232,   716,19460728,    0,    0
   232,   716,19460729,    0,    0
   232,   716,19460730,    0,    0
   232,   716,19460731,    0,    0
   232,   716,19460801,   40,    0
   232,   716,19460802,   20,    0
   232,   716,19460803,    0,    0
   232,   716,19460804,    0,    0
   232,   716,19460805,    0,    0
   232,   716,19460806,    0,    0
   232,   716,19460807,    0,    0
   232,   716,19460808,    0,    0
   232,   716,19460809,    0,    0
   232,   716,19460810,    0,    0
   232,   716,19460811,    0,    0
   232,   716,19460812,    0,    0
   232,   716,19460813,    0,    0
   232,   716,19460814,    0,    0
   232,   716,19460815,    0,    0
   232,   716,19460816,    0,    0
   232,   716,19460817,  150,    0
   232,   716,19460818,   40,    0
   232,   716,19460819,    0,    0
   232,   716,19460820,    0,    0
   232,   716,19460821,    0,    0
   232,   716,19460822,    0,    0
   232,   716,19460823,    0,    0
   232,   716,19460824,    0,    0
   232,   716,19460825,    0,    0
   232,   716,19460826,    0,    0
   232,   716,19460827,    0,    0
   232,   716,19460828,    0,    0
   232,   716,19460829,   20,    0
   232,   716,19460830,   20,    0
   232,   716,19460831,    0,    0
   232,   716,19460901,    0,    0
   232,   716,19460902,    0,    0
   232,   716,19460903,    0,    0
   232,   716,19460904,   60,    0
   232,   716,19460905,    0,    0
   232,   716,19460906,    0,    0
   232,   716,19460907,    0,    0
   232,   716,19460908,    0,    0
   232,   716,19460909,    0,    0
   232,   716,19460910,    0,    0
   232,   716,19460911,    0,    0
   232,   716,19460912,    0,    0
   232,   716,19460913,    0,    0
   232,   716,19460914,    0,    0
   232,   716,19460915,    0,    0
   232,   716,19460916,    0,    0
   232,   716,19460917,    0,    0
   232,   716,19460918,    0,    0
   232,   716,19460919,    0,    0
   232,   716,19460920,    0,    0
   232,   716,19460921,    0,    0
   232,   716,19460922,    0,    0
   232,   716,19460923,    0,    0
   232,   716,19460924,    0,    0
   232,   716,19460925,   40,    0
   232,   716,19460926,   60,    0
   232,   716,19460927,    0,    0
   232,   716,19460928,  170,    0
   232,   716,19460929,   80,    0
   232,   716,19460930,    0,    0
   232,   716,19461001,    0,    0
   232,   716,19461002,    0,    0
   232,   716,19461003,    0,    0
   232,   716,19461004,    0,    0
   232,   716,19461005,    0,    0
   232,   716,19461006,    0,    0
   232,   716,19461007,    0,    0
   232,   716,19461008,    0,    0
   232,   716,19461009,    5,    0
   232,   716,19461010,   40,    0
   232,   716,19461011,    0,    0
   232,   716,19461012,    0,    0
   232,   716,19461013,    0,    0
   232,   716,19461014,    0,    0
   232,   716,19461015,    0,    0
   232,   716,19461016,    0,    0
   232,   716,19461017,   20,    0
   232,   716,19461018,    0,    0
   232,   716,19461019,  130,    0
   232,   716,19461020,   20,    0
   232,   716,19461021,   40,    0
   232,   716,19461022,   20,    0
   232,   716,19461023,    0,    0
   232,   716,19461024,   20,    0
   232,   716,19461025,    0,    0
   232,   716,19461026,   20,    0
   232,   716,19461027,    0,    0
   232,   716,19461028,    0,    0
   232,   716,19461029,    0,    0
   232,   716,19461030,   30,    0
   232,   716,19461031,    0,    0
   232,   716,19461101,    0,    0
   232,   716,19461102,    0,    0
   232,   716,19461103,    0,    0
   232,   716,19461104,    0,    0
   232,   716,19461105,    0,    0
   232,   716,19461106,    0,    0
   232,   716,19461107,    0,    0
   232,   716,19461108,    0,    0
   232,   716,19461109,    0,    0
   232,   716,19461110,   10,    0
   232,   716,19461111,    0,    0
   232,   716,19461112,    0,    0
   232,   716,19461113,    0,    0
   232,   716,19461114,  100,    0
   232,   716,19461115,   20,    0
   232,   716,19461116,   40,    0
   232,   716,19461117,   40,    0
   232,   716,19461118,  280,    0
   232,   716,19461119,  250,    0
   232,   716,19461120,   50,    0
   232,   716,19461121,    0,    0
   232,   716,19461122,   20,    0
   232,   716,19461123,    0,    0
   232,   716,19461124,    0,    0
   232,   716,19461125,   80,    0
   232,   716,19461126,    0,    0
   232,   716,19461127,    0,    0
   232,   716,19461128,    0,    0
   232,   716,19461129,   10,    0
   232,   716,19461130,    0,    0
   232,   716,19461201,    0,    0
   232,   716,19461202,    0,    0
   232,   716,19461203,    0,    0
   232,   716,19461204,  100,    0
   232,   716,19461205,   40,    0
   232,   716,19461206,    0,    0
   232,   716,19461207,   10,    0
   232,   716,19461208,   60,    0
   232,   716,19461209,   80,    0
   232,   716,19461210,    0,    0
   232,   716,19461211,   60,    0
   232,   716,19461212,   40,    0
   232,   716,19461213,    0,    0
   232,   716,19461214,    0,    0
   232,   716,19461215,    0,    0
   232,   716,19461216,    0,    0
   232,   716,19461217,    0,    0
   232,   716,19461218,    0,    0
   232,   716,19461219,    0,    0
   232,   716,19461220,    0,    0
   232,   716,19461221,   10,    0
   232,   716,19461222,    0,    0
   232,   716,19461223,   20,    0
   232,   716,19461224,   40,    0
   232,   716,19461225,    0,    0
   232,   716,19461226,   20,    0
   232,   716,19461227,   10,    0
   232,   716,19461228,   30,    0
   232,   716,19461229,    0,    0
   232,   716,19461230,    0,    0
   232,   716,19461231,   20,    0
   232,   716,19470101,   20,    0
   232,   716,19470102,   10,    0
   232,   716,19470103,    0,    0
   232,   716,19470104,    0,    0
   232,   716,19470105,   60,    0
   232,   716,19470106,   40,    0
   232,   716,19470107,    0,    0
   232,   716,19470108,    0,    0
   232,   716,19470109,   30,    0
   232,   716,19470110,    0,    0
   232,   716,19470111,   60,    0
   232,   716,19470112,   20,    0
   232,   716,19470113,    0,    0
   232,   716,19470114,    0,    0
   232,   716,19470115,    0,    0
   232,   716,19470116,    0,    0
   232,   716,19470117,    0,    0
   232,   716,19470118,    0,    0
   232,   716,19470119,    0,    0
   232,   716,19470120,   30,    0
   232,   716,19470121,   40,    0
   232,   716,19470122,    0,    0
   232,   716,19470123,    0,    0
   232,   716,19470124,   40,    0
   232,   716,19470125,   50,    0
   232,   716,19470126,   30,    0
   232,   716,19470127,   30,    0
   232,   716,19470128,   20,    0
   232,   716,19470129,   60,    0
   232,   716,19470130,    0,    0
   232,   716,19470131,   20,    0
   232,   716,19470201,   10,    0
   232,   716,19470202,   60,    0
   232,   716,19470203,   70,    0
   232,   716,19470204,   80,    0
   232,   716,19470205,    0,    0
   232,   716,19470206,   40,    0
   232,   716,19470207,  100,    0
   232,   716,19470208,   70,    0
   232,   716,19470209,   60,    0
   232,   716,19470210,   10,    0
   232,   716,19470211,   20,    0
