STAID,SOUID,DATE,RR,Q_RR
   233,   719,19450101,    0,    0
   233,   719,19450102,    0,    0
   233,   719,19450103,   24,    0
   233,   719,19450104,    0,    0
   233,   719,19450105,    0,    0
   233,   719,19450106,    0,    0
   233,   719,19450107,    0,    0
   233,   719,19450108,   12,    0
   233,   719,19450109,    0,    0
   233,   719,19450110,    0,    0
   233,   719,19450111,    0,    0
   233,   719,19450112,    0,    0
   233,   719,19450113,   20,    0
   233,   719,19450114,   30,    0
   233,   719,19450115,   10,    0
   233,   719,19450116,    0,    0
   233,   719,19450117,    0,    0
   233,   719,19450118,   30,    0
   233,   719,19450119,    0,    0
   233,   719,19450120,    0,    0
   233,   719,19450121,    0,    0
   233,   719,19450122,    0,    0
   233,   719,19450123,    0,    0
   233,   719,19450124,    0,    0
   233,   719,19450125,   42,    0
   233,   719,19450126,    0,    0
   233,   719,19450127,    0,    0
   233,   719,19450128,  140,    0
   233,   719,19450129,    0,    0
   233,   719,19450130,    0,    0
   233,   719,19450131,    0,    0
   233,   719,19450201,    0,    0
   233,   719,19450202,   27,    0
   233,   719,19450203,    0,    0
   233,   719,19450204,    0,    0
   233,   719,19450205,    0,    0
   233,   719,19450206,    0,    0
   233,   719,19450207,    0,    0
   233,   719,19450208,    0,    0
   233,   719,19450209,    0,    0
   233,   719,19450210,    0,    0
   233,   719,19450211,    0,    0
   233,   719,19450212,    0,    0
   233,   719,19450213,    0,    0
   233,   719,19450214,    0,    0
   233,   719,19450215,   36,    0
   233,   719,19450216,    0,    0
   233,   719,19450217,    0,    0
   233,   719,19450218,    0,    0
   233,   719,19450219,    0,    0
   233,   719,19450220,    0,    0
   233,   719,19450221,    0,    0
   233,   719,19450222,    0,    0
   233,   719,19450223,    0,    0
   233,   719,19450224,    0,    0
   233,   719,19450225,    0,    0
   233,   719,19450226,    0,    0
   233,   719,19450227,    0,    0
   233,   719,19450228,    0,    0
   233,   719,19450301,    0,    0
   233,   719,19450302,    0,    0
   233,   719,19450303,    0,    0
   233,   719,19450304,    0,    0
   233,   719,19450305,    0,    0
   233,   719,19450306,    0,    0
   233,   719,19450307,    0,    0
   233,   719,19450308,    0,    0
   233,   719,19450309,    0,    0
   233,   719,19450310,    0,    0
   233,   719,19450311,    0,    0
   233,   719,19450312,    0,    0
   233,   719,19450313,    0,    0
   233,   719,19450314,    0,    0
   233,   719,19450315,    0,    0
   233,   719,19450316,    0,    0
   233,   719,19450317,    0,    0
   233,   719,19450318,    0,    0
   233,   719,19450319,    0,    0
   233,   719,19450320,    0,    0
   233,   719,19450321,    0,    0
   233,   719,19450322,    0,    0
   233,   719,19450323,   45,    0
   233,   719,19450324,   44,    0
   233,   719,19450325,   52,    0
   233,   719,19450326,   18,    0
   233,   719,19450327,    0,    0
   233,   719,19450328,    0,    0
   233,   719,19450329,    0,    0
   233,   719,19450330,    0,    0
   233,   719,19450331,    0,    0
   233,   719,19450401,    0,    0
   233,   719,19450402,    0,    0
   233,   719,19450403,    0,    0
   233,   719,19450404,    0,    0
   233,   719,19450405,    0,    0
   233,   719,19450406,    0,    0
   233,   719,19450407,    0,    0
   233,   719,19450408,    0,    0
   233,   719,19450409,    4,    0
   233,   719,19450410,    0,    0
   233,   719,19450411,  169,    0
   233,   719,19450412,    0,    0
   233,   719,19450413,    0,    0
   233,   719,19450414,    0,    0
