STAID,SOUID,DATE,RR,Q_RR
   234,   722,19280101,   76,    0
   234,   722,19280102,  104,    0
   234,   722,19280103,   96,    0
   234,   722,19280104,    0,    0
   234,   722,19280105,   40,    0
   234,   722,19280106,    0,    0
   234,   722,19280107,    0,    0
   234,   722,19280108,    0,    0
   234,   722,19280109,   32,    0
   234,   722,19280110,    0,    0
   234,   722,19280111,   85,    0
   234,   722,19280112,    0,    0
   234,   722,19280113,    3,    0
   234,   722,19280114,  204,    0
   234,   722,19280115,  216,    0
   234,   722,19280116,  205,    0
   234,   722,19280117,    0,    0
   234,   722,19280118,    0,    0
   234,   722,19280119,    0,    0
   234,   722,19280120,    0,    0
   234,   722,19280121,   48,    0
   234,   722,19280122,  121,    0
   234,   722,19280123,    2,    0
   234,   722,19280124,   55,    0
   234,   722,19280125,    0,    0
   234,   722,19280126,  185,    0
   234,   722,19280127,   88,    0
   234,   722,19280128,   18,    0
   234,   722,19280129,  121,    0
   234,   722,19280130,   92,    0
   234,   722,19280131,    7,    0
   234,   722,19280201,   32,    0
   234,   722,19280202,   65,    0
   234,   722,19280203,   28,    0
   234,   722,19280204,    3,    0
   234,   722,19280205,   22,    0
   234,   722,19280206,    5,    0
   234,   722,19280207,    0,    0
   234,   722,19280208,    0,    0
   234,   722,19280209,    0,    0
   234,   722,19280210,    0,    0
   234,   722,19280211,    0,    0
   234,   722,19280212,    0,    0
   234,   722,19280213,    0,    0
   234,   722,19280214,    0,    0
   234,   722,19280215,    0,    0
   234,   722,19280216,    0,    0
   234,   722,19280217,    0,    0
   234,   722,19280218,    0,    0
   234,   722,19280219,    0,    0
   234,   722,19280220,    0,    0
   234,   722,19280221,    0,    0
   234,   722,19280222,    0,    0
   234,   722,19280223,    0,    0
   234,   722,19280224,    0,    0
   234,   722,19280225,    0,    0
   234,   722,19280226,    0,    0
   234,   722,19280227,    0,    0
   234,   722,19280228,    0,    0
   234,   722,19280229,  265,    0
   234,   722,19280301,    0,    0
   234,   722,19280302,    0,    0
   234,   722,19280303,    0,    0
   234,   722,19280304,    0,    0
   234,   722,19280305,    0,    0
   234,   722,19280306,    0,    0
   234,   722,19280307,    0,    0
   234,   722,19280308,  122,    0
   234,   722,19280309,   37,    0
   234,   722,19280310,    0,    0
   234,   722,19280311,   56,    0
   234,   722,19280312,  111,    0
   234,   722,19280313,    0,    0
   234,   722,19280314,  141,    0
   234,   722,19280315,    0,    0
   234,   722,19280316,    0,    0
   234,   722,19280317,  173,    0
   234,   722,19280318,  136,    0
   234,   722,19280319,  208,    0
   234,   722,19280320,  110,    0
   234,   722,19280321,    4,    0
   234,   722,19280322,    4,    0
   234,   722,19280323,  117,    0
   234,   722,19280324,  174,    0
   234,   722,19280325,   71,    0
   234,   722,19280326,   62,    0
   234,   722,19280327,   88,    0
   234,   722,19280328,   84,    0
   234,   722,19280329,    0,    0
   234,   722,19280330,    0,    0
   234,   722,19280331,  147,    0
   234,   722,19280401,-9999,    9
   234,   722,19280402,-9999,    9
   234,   722,19280403,-9999,    9
   234,   722,19280404,-9999,    9
   234,   722,19280405,-9999,    9
   234,   722,19280406,-9999,    9
   234,   722,19280407,-9999,    9
   234,   722,19280408,-9999,    9
   234,   722,19280409,-9999,    9
   234,   722,19280410,-9999,    9
   234,   722,19280411,-9999,    9
   234,   722,19280412,-9999,    9
   234,   722,19280413,-9999,    9
   234,   722,19280414,-9999,    9
   234,   722,19280415,-9999,    9
   234,   722,19280416,-9999,    9
   234,   722,19280417,-9999,    9
   234,   722,19280418,-9999,    9
   234,   722,19280419,-9999,    9
   234,   722,19280420,-9999,    9
   234,   722,19280421,-9999,    9
   234,   722,19280422,-9999,    9
   234,   722,19280423,-9999,    9
   234,   722,19280424,-9999,    9
   234,   722,19280425,-9999,    9
   234,   722,19280426,-9999,    9
   234,   722,19280427,-9999,    9
   234,   722,19280428,-9999,    9
   234,   722,19280429,-9999,    9
   234,   722,19280430,-9999,    9
   234,   722,19280501,    0,    0
   234,   722,19280502,    5,    0
   234,   722,19280503,   19,    0
   234,   722,19280504,    0,    0
   234,   722,19280505,    2,    0
   234,   722,19280506,  347,    0
   234,   722,19280507,  105,    0
   234,   722,19280508,    2,    0
   234,   722,19280509,    0,    0
   234,   722,19280510,   53,    0
   234,   722,19280511,    0,    0
   234,   722,19280512,    0,    0
   234,   722,19280513,   14,    0
   234,   722,19280514,  217,    0
   234,   722,19280515,    3,    0
   234,   722,19280516,   80,    0
   234,   722,19280517,    2,    0
   234,   722,19280518,   68,    0
   234,   722,19280519,   10,    0
   234,   722,19280520,   22,    0
   234,   722,19280521,    7,    0
   234,   722,19280522,  214,    0
   234,   722,19280523,    0,    0
   234,   722,19280524,    0,    0
   234,   722,19280525,    1,    0
   234,   722,19280526,    0,    0
   234,   722,19280527,    0,    0
   234,   722,19280528,    0,    0
   234,   722,19280529,    4,    0
   234,   722,19280530,   57,    0
   234,   722,19280531,   26,    0
   234,   722,19280601,    3,    0
   234,   722,19280602,    0,    0
   234,   722,19280603,   26,    0
   234,   722,19280604,    0,    0
   234,   722,19280605,    0,    0
   234,   722,19280606,   96,    0
   234,   722,19280607,    4,    0
   234,   722,19280608,    0,    0
   234,   722,19280609,   38,    0
   234,   722,19280610,   79,    0
   234,   722,19280611,    0,    0
   234,   722,19280612,    0,    0
   234,   722,19280613,    0,    0
   234,   722,19280614,   32,    0
   234,   722,19280615,    0,    0
   234,   722,19280616,    0,    0
   234,   722,19280617,    0,    0
   234,   722,19280618,    4,    0
   234,   722,19280619,   30,    0
   234,   722,19280620,    0,    0
   234,   722,19280621,    0,    0
   234,   722,19280622,    0,    0
   234,   722,19280623,    3,    0
   234,   722,19280624,    0,    0
   234,   722,19280625,   15,    0
   234,   722,19280626,    4,    0
   234,   722,19280627,    0,    0
   234,   722,19280628,    0,    0
   234,   722,19280629,    0,    0
   234,   722,19280630,    0,    0
   234,   722,19280701,    0,    0
   234,   722,19280702,    0,    0
   234,   722,19280703,    1,    0
   234,   722,19280704,    0,    0
   234,   722,19280705,    1,    0
   234,   722,19280706,   10,    0
   234,   722,19280707,   36,    0
   234,   722,19280708,    0,    0
   234,   722,19280709,    5,    0
   234,   722,19280710,    0,    0
   234,   722,19280711,    0,    0
   234,   722,19280712,    0,    0
   234,   722,19280713,    0,    0
   234,   722,19280714,    0,    0
   234,   722,19280715,    0,    0
   234,   722,19280716,    0,    0
   234,   722,19280717,    0,    0
   234,   722,19280718,    0,    0
   234,   722,19280719,    0,    0
   234,   722,19280720,    0,    0
   234,   722,19280721,    0,    0
   234,   722,19280722,    0,    0
   234,   722,19280723,    0,    0
   234,   722,19280724,    0,    0
   234,   722,19280725,    2,    0
   234,   722,19280726,    6,    0
   234,   722,19280727,  104,    0
   234,   722,19280728,    0,    0
   234,   722,19280729,    0,    0
   234,   722,19280730,    0,    0
   234,   722,19280731,    0,    0
   234,   722,19280801,    0,    0
   234,   722,19280802,   12,    0
   234,   722,19280803,    3,    0
   234,   722,19280804,   71,    0
   234,   722,19280805,    0,    0
   234,   722,19280806,    0,    0
   234,   722,19280807,    0,    0
   234,   722,19280808,    0,    0
   234,   722,19280809,    0,    0
   234,   722,19280810,    0,    0
   234,   722,19280811,   91,    0
   234,   722,19280812,  218,    0
   234,   722,19280813,   39,    0
   234,   722,19280814,   56,    0
   234,   722,19280815,  103,    0
   234,   722,19280816,    0,    0
   234,   722,19280817,    0,    0
   234,   722,19280818,    0,    0
   234,   722,19280819,   58,    0
   234,   722,19280820,    0,    0
   234,   722,19280821,   14,    0
   234,   722,19280822,    0,    0
   234,   722,19280823,   24,    0
   234,   722,19280824,    5,    0
   234,   722,19280825,    0,    0
   234,   722,19280826,   36,    0
   234,   722,19280827,  140,    0
   234,   722,19280828,    0,    0
   234,   722,19280829,  236,    0
   234,   722,19280830,    3,    0
   234,   722,19280831,    0,    0
   234,   722,19280901,    0,    0
   234,   722,19280902,    0,    0
   234,   722,19280903,    0,    0
   234,   722,19280904,    0,    0
   234,   722,19280905,   59,    0
   234,   722,19280906,   14,    0
