STAID,SOUID,DATE,RR,Q_RR
   235,   726,19270101,   26,    0
   235,   726,19270102,    0,    0
   235,   726,19270103,    0,    0
   235,   726,19270104,    0,    0
   235,   726,19270105,    0,    0
   235,   726,19270106,    0,    0
   235,   726,19270107,    0,    0
   235,   726,19270108,    0,    0
   235,   726,19270109,    0,    0
   235,   726,19270110,    0,    0
   235,   726,19270111,    0,    0
   235,   726,19270112,    0,    0
   235,   726,19270113,    0,    0
   235,   726,19270114,   53,    0
   235,   726,19270115,    0,    0
   235,   726,19270116,    0,    0
   235,   726,19270117,    0,    0
   235,   726,19270118,   61,    0
   235,   726,19270119,    0,    0
   235,   726,19270120,    0,    0
   235,   726,19270121,    0,    0
   235,   726,19270122,    0,    0
   235,   726,19270123,    0,    0
   235,   726,19270124,    0,    0
   235,   726,19270125,    0,    0
   235,   726,19270126,    0,    0
   235,   726,19270127,    0,    0
   235,   726,19270128,    0,    0
   235,   726,19270129,    0,    0
   235,   726,19270130,    0,    0
   235,   726,19270131,    0,    0
   235,   726,19270201,    0,    0
   235,   726,19270202,   19,    0
   235,   726,19270203,   17,    0
   235,   726,19270204,    0,    0
   235,   726,19270205,    0,    0
   235,   726,19270206,    0,    0
   235,   726,19270207,    0,    0
   235,   726,19270208,   13,    0
   235,   726,19270209,   53,    0
   235,   726,19270210,    0,    0
   235,   726,19270211,   23,    0
   235,   726,19270212,    0,    0
   235,   726,19270213,  185,    0
   235,   726,19270214,   28,    0
   235,   726,19270215,    0,    0
   235,   726,19270216,   53,    0
   235,   726,19270217,    0,    0
   235,   726,19270218,    0,    0
   235,   726,19270219,    0,    0
   235,   726,19270220,    0,    0
   235,   726,19270221,    0,    0
   235,   726,19270222,    0,    0
   235,   726,19270223,    0,    0
   235,   726,19270224,    0,    0
   235,   726,19270225,    0,    0
   235,   726,19270226,    0,    0
   235,   726,19270227,    0,    0
   235,   726,19270228,    0,    0
   235,   726,19270301,    0,    0
   235,   726,19270302,    0,    0
   235,   726,19270303,    0,    0
   235,   726,19270304,    0,    0
   235,   726,19270305,    0,    0
   235,   726,19270306,    0,    0
   235,   726,19270307,    0,    0
   235,   726,19270308,    0,    0
   235,   726,19270309,    0,    0
   235,   726,19270310,    0,    0
   235,   726,19270311,    0,    0
   235,   726,19270312,    0,    0
   235,   726,19270313,    0,    0
   235,   726,19270314,    0,    0
   235,   726,19270315,    0,    0
   235,   726,19270316,   23,    0
   235,   726,19270317,    0,    0
   235,   726,19270318,    0,    0
   235,   726,19270319,    0,    0
   235,   726,19270320,    0,    0
   235,   726,19270321,    0,    0
   235,   726,19270322,    0,    0
   235,   726,19270323,    0,    0
   235,   726,19270324,    0,    0
   235,   726,19270325,    0,    0
   235,   726,19270326,    0,    0
   235,   726,19270327,    0,    0
   235,   726,19270328,    0,    0
   235,   726,19270329,    0,    0
   235,   726,19270330,    0,    0
   235,   726,19270331,    0,    0
   235,   726,19270401,    0,    0
   235,   726,19270402,    0,    0
   235,   726,19270403,    0,    0
   235,   726,19270404,    0,    0
   235,   726,19270405,    0,    0
   235,   726,19270406,    0,    0
   235,   726,19270407,    0,    0
   235,   726,19270408,    0,    0
   235,   726,19270409,    0,    0
   235,   726,19270410,    0,    0
   235,   726,19270411,    0,    0
   235,   726,19270412,   13,    0
   235,   726,19270413,   29,    0
   235,   726,19270414,    0,    0
   235,   726,19270415,    0,    0
   235,   726,19270416,    0,    0
   235,   726,19270417,    0,    0
   235,   726,19270418,    0,    0
   235,   726,19270419,    0,    0
   235,   726,19270420,    0,    0
   235,   726,19270421,    0,    0
   235,   726,19270422,    0,    0
   235,   726,19270423,    0,    0
   235,   726,19270424,    0,    0
   235,   726,19270425,    0,    0
   235,   726,19270426,    0,    0
   235,   726,19270427,    0,    0
   235,   726,19270428,    5,    0
   235,   726,19270429,    0,    0
   235,   726,19270430,    0,    0
   235,   726,19270501,    0,    0
   235,   726,19270502,    0,    0
   235,   726,19270503,    6,    0
   235,   726,19270504,    0,    0
   235,   726,19270505,    0,    0
   235,   726,19270506,   21,    0
   235,   726,19270507,    0,    0
   235,   726,19270508,    0,    0
   235,   726,19270509,    0,    0
   235,   726,19270510,   20,    0
   235,   726,19270511,    0,    0
   235,   726,19270512,    0,    0
   235,   726,19270513,    0,    0
   235,   726,19270514,    0,    0
   235,   726,19270515,    0,    0
   235,   726,19270516,    0,    0
   235,   726,19270517,    0,    0
   235,   726,19270518,    0,    0
   235,   726,19270519,    0,    0
   235,   726,19270520,    0,    0
   235,   726,19270521,    0,    0
   235,   726,19270522,    0,    0
   235,   726,19270523,    0,    0
   235,   726,19270524,    0,    0
   235,   726,19270525,    0,    0
   235,   726,19270526,    9,    0
   235,   726,19270527,    0,    0
   235,   726,19270528,    0,    0
   235,   726,19270529,    0,    0
   235,   726,19270530,    0,    0
   235,   726,19270531,   10,    0
   235,   726,19270601,   15,    0
   235,   726,19270602,    0,    0
   235,   726,19270603,   60,    0
   235,   726,19270604,    0,    0
   235,   726,19270605,    0,    0
   235,   726,19270606,    0,    0
   235,   726,19270607,    0,    0
   235,   726,19270608,    0,    0
   235,   726,19270609,    0,    0
   235,   726,19270610,    0,    0
   235,   726,19270611,    0,    0
   235,   726,19270612,    0,    0
   235,   726,19270613,    0,    0
   235,   726,19270614,   13,    0
   235,   726,19270615,    0,    0
   235,   726,19270616,    0,    0
   235,   726,19270617,    0,    0
   235,   726,19270618,    0,    0
   235,   726,19270619,    0,    0
   235,   726,19270620,    0,    0
   235,   726,19270621,    0,    0
   235,   726,19270622,    0,    0
   235,   726,19270623,    0,    0
