STAID,SOUID,DATE,RR,Q_RR
   237,   732,19371101,    0,    0
   237,   732,19371102,    0,    0
   237,   732,19371103,    0,    0
   237,   732,19371104,    0,    0
   237,   732,19371105,    0,    0
   237,   732,19371106,    0,    0
   237,   732,19371107,    0,    0
   237,   732,19371108,    0,    0
   237,   732,19371109,    0,    0
   237,   732,19371110,    0,    0
   237,   732,19371111,    0,    0
   237,   732,19371112,    0,    0
   237,   732,19371113,    0,    0
   237,   732,19371114,    0,    0
   237,   732,19371115,    0,    0
   237,   732,19371116,    0,    0
   237,   732,19371117,    0,    0
   237,   732,19371118,    0,    0
   237,   732,19371119,    0,    0
   237,   732,19371120,    0,    0
   237,   732,19371121,    0,    0
   237,   732,19371122,    0,    0
   237,   732,19371123,    0,    0
   237,   732,19371124,    0,    0
   237,   732,19371125,    0,    0
   237,   732,19371126,    0,    0
   237,   732,19371127,    0,    0
   237,   732,19371128,    0,    0
   237,   732,19371129,    0,    0
   237,   732,19371130,    0,    0
   237,   732,19371201,    0,    0
   237,   732,19371202,    0,    0
   237,   732,19371203,    0,    0
   237,   732,19371204,    0,    0
   237,   732,19371205,    0,    0
   237,   732,19371206,    0,    0
   237,   732,19371207,    0,    0
   237,   732,19371208,    0,    0
   237,   732,19371209,    0,    0
   237,   732,19371210,    0,    0
   237,   732,19371211,    0,    0
   237,   732,19371212,    0,    0
   237,   732,19371213,    0,    0
   237,   732,19371214,    0,    0
   237,   732,19371215,    0,    0
   237,   732,19371216,    0,    0
   237,   732,19371217,    0,    0
   237,   732,19371218,    0,    0
   237,   732,19371219,    0,    0
   237,   732,19371220,    0,    0
   237,   732,19371221,    0,    0
   237,   732,19371222,    0,    0
   237,   732,19371223,    0,    0
   237,   732,19371224,    0,    0
   237,   732,19371225,    0,    0
   237,   732,19371226,    0,    0
   237,   732,19371227,    0,    0
   237,   732,19371228,    0,    0
   237,   732,19371229,    0,    0
   237,   732,19371230,    0,    0
   237,   732,19371231,    0,    0
   237,   732,19380101,  227,    0
   237,   732,19380102,  140,    0
   237,   732,19380103,    0,    0
   237,   732,19380104,    0,    0
   237,   732,19380105,    0,    0
   237,   732,19380106,    0,    0
   237,   732,19380107,    0,    0
   237,   732,19380108,    0,    0
   237,   732,19380109,    0,    0
   237,   732,19380110,    0,    0
   237,   732,19380111,    0,    0
   237,   732,19380112,    0,    0
   237,   732,19380113,    0,    0
   237,   732,19380114,    0,    0
   237,   732,19380115,    0,    0
   237,   732,19380116,    0,    0
   237,   732,19380117,    0,    0
   237,   732,19380118,    0,    0
   237,   732,19380119,    0,    0
   237,   732,19380120,    0,    0
   237,   732,19380121,    0,    0
   237,   732,19380122,    0,    0
   237,   732,19380123,    0,    0
   237,   732,19380124,    0,    0
   237,   732,19380125,    0,    0
   237,   732,19380126,    0,    0
   237,   732,19380127,    0,    0
   237,   732,19380128,    0,    0
   237,   732,19380129,    0,    0
   237,   732,19380130,    0,    0
   237,   732,19380131,    0,    0
   237,   732,19380201,    0,    0
   237,   732,19380202,    0,    0
   237,   732,19380203,    0,    0
   237,   732,19380204,    0,    0
   237,   732,19380205,    0,    0
   237,   732,19380206,    0,    0
   237,   732,19380207,    0,    0
   237,   732,19380208,    0,    0
   237,   732,19380209,    0,    0
   237,   732,19380210,    0,    0
   237,   732,19380211,    0,    0
   237,   732,19380212,    0,    0
   237,   732,19380213,    0,    0
   237,   732,19380214,    0,    0
   237,   732,19380215,    0,    0
   237,   732,19380216,    0,    0
   237,   732,19380217,    0,    0
   237,   732,19380218,    0,    0
   237,   732,19380219,    0,    0
   237,   732,19380220,    0,    0
   237,   732,19380221,    0,    0
   237,   732,19380222,    0,    0
   237,   732,19380223,    0,    0
   237,   732,19380224,    0,    0
   237,   732,19380225,    0,    0
   237,   732,19380226,    0,    0
   237,   732,19380227,    0,    0
   237,   732,19380228,    0,    0
   237,   732,19380301,    0,    0
   237,   732,19380302,    0,    0
   237,   732,19380303,    0,    0
   237,   732,19380304,    0,    0
   237,   732,19380305,    0,    0
   237,   732,19380306,    0,    0
   237,   732,19380307,    0,    0
   237,   732,19380308,    0,    0
   237,   732,19380309,    0,    0
   237,   732,19380310,    0,    0
   237,   732,19380311,    0,    0
   237,   732,19380312,    0,    0
   237,   732,19380313,    0,    0
   237,   732,19380314,    0,    0
   237,   732,19380315,    0,    0
   237,   732,19380316,    0,    0
   237,   732,19380317,    0,    0
   237,   732,19380318,    0,    0
   237,   732,19380319,    0,    0
   237,   732,19380320,    0,    0
   237,   732,19380321,    0,    0
   237,   732,19380322,   29,    0
   237,   732,19380323,    0,    0
   237,   732,19380324,    0,    0
   237,   732,19380325,    0,    0
   237,   732,19380326,    0,    0
   237,   732,19380327,    0,    0
   237,   732,19380328,    0,    0
   237,   732,19380329,    0,    0
   237,   732,19380330,    0,    0
   237,   732,19380331,    0,    0
   237,   732,19380401,    0,    0
   237,   732,19380402,    0,    0
   237,   732,19380403,    0,    0
   237,   732,19380404,    0,    0
   237,   732,19380405,    8,    0
   237,   732,19380406,    0,    0
   237,   732,19380407,    0,    0
   237,   732,19380408,    0,    0
   237,   732,19380409,    0,    0
   237,   732,19380410,   10,    0
   237,   732,19380411,    0,    0
   237,   732,19380412,    0,    0
   237,   732,19380413,    0,    0
   237,   732,19380414,    0,    0
   237,   732,19380415,    0,    0
   237,   732,19380416,    6,    0
   237,   732,19380417,    0,    0
   237,   732,19380418,    0,    0
   237,   732,19380419,    0,    0
   237,   732,19380420,    0,    0
   237,   732,19380421,    5,    0
   237,   732,19380422,   66,    0
   237,   732,19380423,    0,    0
   237,   732,19380424,    0,    0
   237,   732,19380425,    0,    0
   237,   732,19380426,    0,    0
   237,   732,19380427,   20,    0
   237,   732,19380428,    4,    0
   237,   732,19380429,    0,    0
   237,   732,19380430,    9,    0
   237,   732,19380501,   86,    0
   237,   732,19380502,    2,    0
   237,   732,19380503,    0,    0
   237,   732,19380504,  245,    0
   237,   732,19380505,   45,    0
   237,   732,19380506,    0,    0
   237,   732,19380507,    0,    0
   237,   732,19380508,   38,    0
   237,   732,19380509,   60,    0
   237,   732,19380510,    0,    0
   237,   732,19380511,    0,    0
   237,   732,19380512,    0,    0
   237,   732,19380513,    0,    0
   237,   732,19380514,    0,    0
   237,   732,19380515,  104,    0
   237,   732,19380516,    2,    0
   237,   732,19380517,    0,    0
   237,   732,19380518,    0,    0
   237,   732,19380519,    0,    0
   237,   732,19380520,    0,    0
   237,   732,19380521,    0,    0
   237,   732,19380522,    0,    0
   237,   732,19380523,    0,    0
   237,   732,19380524,    0,    0
   237,   732,19380525,    0,    0
   237,   732,19380526,    0,    0
   237,   732,19380527,    0,    0
   237,   732,19380528,    0,    0
   237,   732,19380529,    0,    0
   237,   732,19380530,    0,    0
   237,   732,19380531,    0,    0
   237,   732,19380601,   48,    0
   237,   732,19380602,    0,    0
   237,   732,19380603,    0,    0
   237,   732,19380604,    0,    0
   237,   732,19380605,    0,    0
   237,   732,19380606,    0,    0
   237,   732,19380607,    0,    0
   237,   732,19380608,    0,    0
   237,   732,19380609,    0,    0
   237,   732,19380610,    1,    0
   237,   732,19380611,   63,    0
   237,   732,19380612,    0,    0
   237,   732,19380613,    0,    0
   237,   732,19380614,    0,    0
   237,   732,19380615,    0,    0
   237,   732,19380616,    0,    0
   237,   732,19380617,    0,    0
   237,   732,19380618,    0,    0
   237,   732,19380619,    0,    0
   237,   732,19380620,    0,    0
   237,   732,19380621,    0,    0
   237,   732,19380622,    0,    0
   237,   732,19380623,    0,    0
   237,   732,19380624,    0,    0
   237,   732,19380625,    0,    0
   237,   732,19380626,    0,    0
   237,   732,19380627,    0,    0
   237,   732,19380628,    0,    0
   237,   732,19380629,    0,    0
   237,   732,19380630,    0,    0
   237,   732,19380701,    0,    0
   237,   732,19380702,   29,    0
   237,   732,19380703,    0,    0
   237,   732,19380704,    0,    0
   237,   732,19380705,    0,    0
   237,   732,19380706,    0,    0
   237,   732,19380707,    0,    0
   237,   732,19380708,    0,    0
   237,   732,19380709,    0,    0
   237,   732,19380710,    0,    0
   237,   732,19380711,    0,    0
   237,   732,19380712,    0,    0
   237,   732,19380713,    0,    0
   237,   732,19380714,    0,    0
   237,   732,19380715,    0,    0
   237,   732,19380716,    0,    0
   237,   732,19380717,    0,    0
   237,   732,19380718,    0,    0
   237,   732,19380719,    0,    0
   237,   732,19380720,    0,    0
   237,   732,19380721,    0,    0
   237,   732,19380722,    0,    0
   237,   732,19380723,    0,    0
   237,   732,19380724,    0,    0
   237,   732,19380725,    0,    0
   237,   732,19380726,    0,    0
   237,   732,19380727,    0,    0
   237,   732,19380728,    0,    0
   237,   732,19380729,    0,    0
   237,   732,19380730,    0,    0
   237,   732,19380731,    0,    0
   237,   732,19380801,    0,    0
   237,   732,19380802,    0,    0
   237,   732,19380803,    0,    0
   237,   732,19380804,    0,    0
   237,   732,19380805,    0,    0
   237,   732,19380806,    0,    0
   237,   732,19380807,    0,    0
   237,   732,19380808,    0,    0
   237,   732,19380809,    0,    0
   237,   732,19380810,    0,    0
   237,   732,19380811,    0,    0
   237,   732,19380812,    0,    0
   237,   732,19380813,    0,    0
   237,   732,19380814,    0,    0
   237,   732,19380815,    0,    0
   237,   732,19380816,    0,    0
   237,   732,19380817,    0,    0
   237,   732,19380818,    0,    0
   237,   732,19380819,    0,    0
   237,   732,19380820,    0,    0
   237,   732,19380821,   11,    0
   237,   732,19380822,    0,    0
   237,   732,19380823,    0,    0
   237,   732,19380824,  103,    0
   237,   732,19380825,    1,    0
   237,   732,19380826,    0,    0
   237,   732,19380827,   40,    0
   237,   732,19380828,    0,    0
   237,   732,19380829,    0,    0
   237,   732,19380830,    0,    0
   237,   732,19380831,    0,    0
   237,   732,19380901,    0,    0
   237,   732,19380902,    0,    0
   237,   732,19380903,   61,    0
   237,   732,19380904,    0,    0
   237,   732,19380905,    0,    0
   237,   732,19380906,    0,    0
   237,   732,19380907,    0,    0
   237,   732,19380908,    0,    0
   237,   732,19380909,    0,    0
   237,   732,19380910,    0,    0
   237,   732,19380911,   22,    0
   237,   732,19380912,    0,    0
   237,   732,19380913,    0,    0
   237,   732,19380914,    0,    0
   237,   732,19380915,    0,    0
   237,   732,19380916,   76,    0
   237,   732,19380917,    0,    0
   237,   732,19380918,    0,    0
   237,   732,19380919,    0,    0
