STAID,SOUID,DATE,RR,Q_RR
   238,   735,19410101,  166,    0
   238,   735,19410102,   16,    0
   238,   735,19410103,    0,    0
   238,   735,19410104,    0,    0
   238,   735,19410105,    0,    0
   238,   735,19410106,    0,    0
   238,   735,19410107,    0,    0
   238,   735,19410108,   14,    0
   238,   735,19410109,    6,    0
   238,   735,19410110,  117,    0
   238,   735,19410111,   51,    0
   238,   735,19410112,    0,    0
   238,   735,19410113,   47,    0
   238,   735,19410114,  120,    0
   238,   735,19410115,    5,    0
   238,   735,19410116,    0,    0
   238,   735,19410117,    0,    0
   238,   735,19410118,    0,    0
   238,   735,19410119,    0,    0
   238,   735,19410120,    0,    0
   238,   735,19410121,    0,    0
   238,   735,19410122,    3,    0
   238,   735,19410123,   17,    0
   238,   735,19410124,    0,    0
   238,   735,19410125,    0,    0
   238,   735,19410126,    0,    0
   238,   735,19410127,    2,    0
   238,   735,19410128,   21,    0
   238,   735,19410129,    0,    0
   238,   735,19410130,   32,    0
   238,   735,19410131,    0,    0
   238,   735,19410201,    0,    0
   238,   735,19410202,   37,    0
   238,   735,19410203,    6,    0
   238,   735,19410204,    0,    0
   238,   735,19410205,    0,    0
   238,   735,19410206,    0,    0
   238,   735,19410207,    0,    0
   238,   735,19410208,    0,    0
   238,   735,19410209,    0,    0
   238,   735,19410210,    0,    0
   238,   735,19410211,    0,    0
   238,   735,19410212,   19,    0
   238,   735,19410213,    0,    0
   238,   735,19410214,    0,    0
   238,   735,19410215,    0,    0
   238,   735,19410216,    0,    0
   238,   735,19410217,    2,    0
   238,   735,19410218,   35,    0
   238,   735,19410219,    0,    0
   238,   735,19410220,    3,    0
   238,   735,19410221,    0,    0
   238,   735,19410222,   72,    0
   238,   735,19410223,   66,    0
   238,   735,19410224,    9,    0
   238,   735,19410225,   12,    0
   238,   735,19410226,    0,    0
   238,   735,19410227,    0,    0
   238,   735,19410228,    0,    0
   238,   735,19410301,    0,    0
   238,   735,19410302,    0,    0
   238,   735,19410303,    0,    0
   238,   735,19410304,   15,    0
   238,   735,19410305,    7,    0
   238,   735,19410306,    0,    0
   238,   735,19410307,   29,    0
   238,   735,19410308,    0,    0
   238,   735,19410309,    0,    0
   238,   735,19410310,    0,    0
   238,   735,19410311,    0,    0
   238,   735,19410312,    0,    0
   238,   735,19410313,    2,    0
   238,   735,19410314,    0,    0
